filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	tubg1_nwt	tubg1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_C02	201204	1	NJ736	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0847232	0	1	14.480472	15.483468	14.968079	4.7981736	20.030991	1	10	10	207511	5321	4928	2890	1120	39	5.944e+08	1	3702779	120728	139	236	176	101	27	679467	2626	10600.627	10452.486	2.78e+07	-1819.484	-1.25e+08	21	4164.565	1074671	1435696	37_TUBG1	1	1	1	3.266667	1	1	2	.4972006	.4972006	0	-.2410404	.1196481	.1891184	-.1891184	.0696849	1.085325	-.6744897	-1.085325	.1479871	0	-1.465234	-1.465234	-1.980752	-1.179761	-.5894558	-.5084881	-.2104284	-.0696849	-1.085325	-1.382994	-1.382994	-.3554904	-.3554904	-.0696849	-.2104284	-.2104284	-.5084881
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_A03	201204	1	NJ740	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.614486	1	2							14	14	442276	7898	6759	6269	1693	56	2.797e+09	1	4662785	144956	141	214	201	121	164	742660	13374	13002.829	11409.283	1.74e+08	-585.0585	4637236	5	4236.296	1163690	1570189	37_TUBG1	1	1	1	3.816667	1	1	2	.6374841	.9674216	.7916386	1.465234	.6374841	.5977601	.4537622						.6374841	.2410404	.2410404	.1196481	.3661064	.0696849	.6744897	1.382994	1.914506	-.0696849	-.2104284	-1.085325	.2104284	.0696849	.2104284	-.5084881	.8616341	.3554904
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_A02	201204	1	NJ734	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	1	1	2	10.054774	15.177202	16.680529	5.9211504	19.797166	1	8	8															230	340880	21311	11221.396	8442.5193	2.39e+08	1254.459	1.22e+08	101	3462.384	864109.5	947954.4	37_TUBG1	1	1	1	3.116667	1	1	2	-1.465234	-.7916386	-1.465234	1.980752	-1.465234	-1.439531	-.9345893	-.0696849	.8616341	.5084881	-.8616341	-.8207921	-1.179761	1.179761	1.179761	.9674216	1.179761													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_A04	201204	1	NJ748	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0758223	0	1	19.570024	17.627333	25.639178	5.5127952	18.783926	1	22	22	371182	8248	6046	8279	2751	45	2.832e+09	1	4378190	162282	130	268	195	104	179	699130	17605	13899.782	11957.803	2.45e+08	-357.5759	6.58e+07	4	4003.814	1086724	1517672	37_TUBG1	1	1	1	4.55	1	1	2	-.1196481	.6374841	.4972006	0	1.179761	.755415	-.0627068	.6744897	.6744897	0	1.382994	1.351702	.2410404	.5659488	.9674216	1.179761	.9674216	-.3554904	-.0696849	1.914506	1.085325	.0696849	.6744897	.8616341	.0696849	.3554904	-.3554904	-.0696849	.2104284	-.3554904
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_C04	201204	1	NJ750	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0217474	0	1	17.910388	11.638123	25.100073	6.9080088	13.17213	1	24	24	530913	5771	4909	6782	2341	92	3.631e+09	2	7047474	261567	165	314	229	127	203	676489	15271	12489.992	11397.88	1.91e+08	-1083.977	2.17e+07	33	4322.446	1097431	1583962	37_TUBG1	1	1	1	4.716667	1	1	2	.7916386	.7916386	.9674216	.4972006	.2410404	-.3186394	.5977601	-.5084881	-.0696849	.6744897	.8616341	1.049131	-.1196481	.9674216	.7916386	.4972006	.6374841	1.085325	1.382994	.2104284	-.2104284	1.382994	-.0696849	.2104284	1.085325	1.914506	1.593219	.8616341	1.382994	.6744897
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_C03	201204	1	NJ742	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.5532646	1	2		22.255358	21.120213	5.4787656	4.2088464	1	16	16	130633	4505	3987	4316	1930	29	5.884e+08	1	2049072	89540	104	204	141	97	80	347668	5472	6033.1473	5018.1184	3.30e+07	245.7087	-2.38e+07	185	4122.037	881964.1	1216850	37_TUBG1	1	1	1	4.033333	1	1	2	.2410404	-.6374841	-.4972006	.2410404	-.9674216	-.4537622	.3186394	1.914506	-1.914506	-.2104284	.5084881		-.9674216	-.6374841	-.7916386	-1.179761	0	-1.22064	-1.085325	-.6744897	-1.085325	-1.382994	-1.085325	-.3554904	-.8616341	-.8616341	-.8616341	-.6744897	-.8616341	-.8616341
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_E04	201204	1	NJ751	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.7074468	1	2							25	25															87	721771	6559	14320.424	12460.384	9.39e+07	-550.3367	-9.38e+07	0	3845.731	932507.3	1366237	37_TUBG1	1	1	1	4.816667	1	1	2	-.4972006	-.1196481	-.1196481	-1.179761	-.4972006	.0627068	.9345893						.4972006	-.4972006	-.4972006	-.2410404	-.7916386													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_G02	201204	1	NJ738	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0775399	0	1	13.705975	10.821413	16.823233	5.444736	9.8985832	1	12	12	394962	4072	4177	7320	2328	97	2.863e+09	1	6595083	217641	152	296	211	135	75	1022574	7448	16005.253	12918.472	1.19e+08	575.3932	-7.66e+07	17	4670.607	1288927	1784848	37_TUBG1	1	1	1	3.516667	1	1	2	1.465234	1.179761	1.179761	-.1196481	1.465234		1.959964	-.6744897	-.8616341	-.3554904	-.6744897	-.1479871	1.465234	-.7916386	-.3661064	-.1196481	-.6374841	1.914506	.2104284	-1.382994	-.6744897	.2104284	.0696849	.0696849	.8616341	.8616341	.5084881	.5084881	1.085325	1.382994
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_E03	201204	1	NJ744	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0996491	0	1	17.135891	17.491214	12.954365	8.3712816	14.185371	1	18	18	418024	6147	5779	8330	2669	68	3.574e+09	2	5678240	188594	155	359	194	98	55	709380	4799	13249.117	11421.6	6.36e+07	-353.8028	-1.06e+08		4141.936	1058641	1481170	37_TUBG1	1	1	1	4.233333	1	1	2	.3661064	.2410404	.3661064	.3661064	.3661064	-.5977601	1.150349	.5084881	.3554904	1.914506	-1.914506	.6289042	.3661064	-.9674216	-.9674216	-.6374841	-.9674216	.2104284	.3554904	.3554904	.5084881	.8616341	.8616341	.6744897	.5084881	.5084881	.7647097	1.382994	.0696849	-.6744897
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_A01	201204	1	NJ727	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	0	0	1							1	1	439793	5497	5422	7554	2559	80	3.246e+09	1	5786137	202531	134	313	200	128	467	863318	47095	17724.043	12908.771	8.35e+08	2306.023	6.39e+08		4481.472	1062888	1561127	37_TUBG1	1	1	1	2.383333	1	1	2	.9674216	.3661064	.6374841	.7916386	.4972006	.4537622	-.5977601						1.179761	1.980752	1.980752	1.980752	1.980752	.8616341	.5084881	-.0696849	.2104284	.5084881	.3554904	.5084881	.6744897	.6744897	-.2104284	.6744897	.6744897	.8616341
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_C01	201204	1	NJ729	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0809369	0	1	27.425638	12.352745	20.470117	3.7772856	8.183868	1	3	3	619012	6585	5591	5660	1759	94	3.519e+09	1	8576	2078	24	36	23	18	36	1206153	3056	13729.437	12107.631	4.20e+07	-710.787	-1.40e+08		4885.317	1722626	2013773	37_TUBG1	1	1	1	2.533333	1	1	2	1.980752	1.980752	1.980752	.9674216	1.980752	-.0627068	-1.150349	-.2104284	-1.085325	-1.085325	.3554904	1.88951	1.980752	-1.179761	-1.179761	-.7916386	-1.980752	1.382994	1.914506	.6744897	.3554904	.6744897	-.8616341	-.8616341	-1.914506	-1.914506	-1.914506	-1.914506	-1.914506	-1.914506
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_G01	201204	1	NJ732	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0699781	0	1	17.246533	6.0572688	14.841231	5.3766768	10.600058	1	6	6															151	698350	11672	19727.324	15595.388	2.30e+08	1030.275	-1.27e+07	35	3864.885	916222.8	1305525	37_TUBG1	1	1	1	2.9	1	1	2	-.3661064	-.3661064	-.3661064	-.7916386	-.1196481	-.755415	-.755415	-1.085325	-.5084881	-.5084881	-1.382994	.8207921	.1196481	.1196481	.1196481	.7916386	.1196481													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_B03	201204	1	NJ741	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	1	1	2	13.48469	19.669109	16.854945	5.8871208	6.235328	1	15	15	375744	4944	4078	6067	1907	76	2.280e+09	1	4704198	159796	155	276	189	106	140	350476	10606	17734.31	14805.008	1.88e+08	1.924108	-4.09e+07	58	3800.271	909867.6	1113940	37_TUBG1	1	2	1	3.933333	2	1	2	-.6374841	-.4972006	-.6374841	-.4972006	-.6374841	1.150349	-1.959964	1.085325	-1.382994	.3554904	-.4307273	-.2993069	-.7916386	0	0	.2410404	-.4972006	.5084881	.0696849	-.5084881	-.8616341	-.3554904	-.3554904	-.5084881	.3554904	.2104284	.7647097	.1397103	-.0696849	-.2104284
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_H01	201204	1	NJ733	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	1	1	2	10.165417	10.787383	17.124497	4.6280256	12.938306	1	7	7	126805	4373	3805	7967	2998	29	1.036e+09	1	2002719	68694	107	165	160	91	167	299326	15088	6105.865	4841.3822	9.21e+07	534.1337	3.84e+07	43	3611.053	725534.4	1023156	37_TUBG1	1	2	1	3.033333	2	1	2	-.7916386	-1.980752	-1.179761	1.179761	0	.3186394	.0627068	-.8616341	-.2104284	-.8616341	-.2104284	-.6289042	-1.465234	.3661064	.6374841	-.3661064	.7916386	-1.22064	-1.382994	-.8616341	-1.382994	-.6744897	.5084881	1.382994	-1.085325	-1.085325	-.6744897	-1.382994	-.4307273	-1.085325
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_F03	201204	1	NJ745	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.8124239	1	2	9.6122044	12.216626	19.82002	5.5127952	15.354495	1	19	19	16508	2358	1543	1764	821	7	26466072	1	647063	29914	61	176	108	62	94	202270	5480	7134.5502	6157.4936	3.91e+07	-43.50151	-3.78e+07		3330.029	770410.1	921665.9	37_TUBG1	1	2	1	4.3	2	1	2	-1.980752	-.9674216	-1.980752	.6374841	-1.179761	-.9345893		-.3554904	.5084881	0	.2104284	-1.049131	-1.980752	-.3661064	-.6374841	-.9674216	-.3661064	-1.914506	-1.914506	-1.914506	-1.914506	-1.914506	-1.914506	-1.914506	-1.382994	-1.382994	-1.382994	-1.085325	-1.382994	-1.382994
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TUBG1_201204_D03	201204	1	NJ743	insH2Bfabp	CD15	TUBG1	1	0	0	2	1	10	.0243633	0	1	15.808181	20.247612	21.548326	7.6906896	39.282566	1	17	17	287311	5525	4200	8512	2462	52	2.309e+09	1	3714740	122429	159	190	160	153	179	850348	13939	13659.601	12425.875	1.90e+08	-1169.042	3252074		4059.102	1049579	1449050	37_TUBG1	1	2	1	4.133333	2	1	2	0	.1196481	.2410404	.1196481	.9674216	-.1891184	.1891184	1.382994	1.914506	1.085325	.6744897	.2993069	.7916386	.5659488	.3661064	.3661064	.2410404	-.0696849	-.3554904	.0696849	-.5084881	-.2104284	1.085325	.3554904	-.2104284	-.2104284	1.085325	-.8616341	-.4307273	1.914506
