filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	anapc5_nwt	anapc5_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_D02	201207	2	NH126	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	0	0	1	12.463349	2.4841608	.87208088	.9528288	5.6117952	1	22	71															6	657528	544	12808.296	12315.864	6967713	-2388.694	-1.81e+08	0	3816.974	957584.6	1347455	38_ANAPC5	1	1	2	8.566667	1	1	3	.5375191	.3690087	.773217	.0189907	.3690087	-.1598289	1.77585	-1.833915	1.361571	-.5631492	-.8902469	.2219866	.7621911	-2.048199	-2.048199	-1.82788	-2.469942													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_G07	201207	1	NH104	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	0	0	1	9.848351	3.2668416	.95136096	1.531332	2.727956	1	49	49	243881	5189	5624	7938	2361	47	1.985e+09	1	3781524	120172	103	271	261	103	138	520672	10593	12455.848	10421.033	1.32e+08	-348.4549	-1.57e+07	99	3754.159	846374.5	1200057	38_ANAPC5	1	1	1	6.4	1	1	3	.2888094	-.4516583	-.1333212	-.4516583	-.5819415	.409	-.8254945	.0836517	.2018935	.8416212	-.7063026	-.6533766	-.0169375	.0169375	-.0508319	.0508319	-.3275615	-.1903223	-.6597193	-.7197189	.2876889	-.7197189	-.3878687	-.5462332	.3373553	-.3878687	-.9929082	.5462332	1.672937	-.6894088
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A07	201207	1	NH098	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9907737	1	2		3.40296	1.014785	1.020888	1.4808904	1	43	43	143488	4100	3490	9292	3586	35	1.235e+09	1	1550102	70788	117	180	145	76	151	360460	12520	6106.1415	5356.4087	7.64e+07	-302.833	3.57e+07	16	3675.125	728674.6	1033564	38_ANAPC5	1	1	1	5.966667	1	1	3	.0189907	-1.290233	-1.062786	-1.062786	-1.207414	-1.593219	-1.48947	.3054808	-.5053211	-.4124631	-.4676988		-1.82788	.1530252	.3275615	-.4745116	.5916962	-1.073562	-1.505968	-1.906358	-1.505968	-1.672937	.1423641	.4921101	-1.37281	-1.37281	-.4655894	-1.672937	-.9182451	-1.777587
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D02	201207	1	NH064	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0185491	0	1	15.729825	2.9605752	1.014785	1.0889472	4.5985544	1	9	9	423627	7993	7143	7989	2504	53	3.354e+09	1	4408970	163706	119	278	192	124	189	741290	15138	7566.6495	6783.022	1.15e+08	-643.7737	4.37e+07		4068.898	1052106	1469581	38_ANAPC5	1	1	1	3.1	1	1	3	.9982012	1.062786	1.290233	1.48947	-.2888094	-.3661064	-.0569997	-.6027625	.9153651	-.2533471	-.4676988	.9061341	1.35419	.785036	.8082982	-.0847849	.7176502	.2876889	1.161883	1.505968	1.505968	.4393922	-.3373553	-.3878687	.7197189	.8483799	-.3624964	.8827738	.7507051	.7507051
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_A02	201207	2	NH123	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0352982	0	1	10.552626	2.4841608	1.0464971	1.1229768	3.8191384	1	19	68	270248	5405	4640	13292	4429	50	3.438e+09	1	3730042	116932	147	218	152	121	55	527525	4608	10846.669	9496.7744	5.00e+07	-790.531	-7.81e+07	10	3325.758	757460.3	1038199	38_ANAPC5	1	1	2	8.3	1	1	3	-1.48947	-1.062786	-.9375322	-.9982012	-.3487557	-.5894558	-.773217	-1.833915	.6850168	-.2018935	-.2706416	-.3999556	.0169375	-1.201055	-1.273889	-.9061341	-1.273889	0	-.4393922	-.5189816	-.4921101	.6020065	1.37281	1.161883	.2876889	-.4393922	1.260339	-.5462332	-.6597193	.6020065
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D08	201207	1	NH108	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.927487	1	2	8.2729561	3.2668416	.82451283	1.0549176	1.6367736	1	4	53	246950	5368	5034	7677	2817	46	1.996e+09	2	3589642	135937	139	257	158	105										3503.576	750043.3	1019178	38_ANAPC5	1	1	2	6.683333	1	1	3	-.6275435	-1.13214	-1.207414	-.2494273	-1.77585	2.411822	-1.290233	.0836517	-.3763366	-.3230377	-1.080319	-1.273889						-.3124258	-.6020065	-.6020065	-.1423641	-.5462332	-.4921101	-.1423641	.0947312	.0947312	.4921101	.4393922	-.5189816	-.4393922
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D06	201207	1	NH093	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9302685	1	2	7.4327455	3.1987824	.99892901	.9187992	.7014744	1	38	38															53	393888	4096	9517.1731	6626.7564	3.90e+07	1504.073	-2.86e+07	15	3459.756	681092.3	969188.6	38_ANAPC5	1	1	1	5.35	1	1	3	-.8801318	-2.428737	-2.000424	-2.000424	-1.290233	-.409	-.9982012	-.0836517	-1.080319	-.6640369	-.5828415	-1.548003	-1.013522	-1.35419	-1.444321	-1.13409	-.4745116													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_G02	201207	1	NH066	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	13.209193	3.3349008	1.5856016	1.70148	3.1956056	1	11	11	382080	7960	5911	8847	3682	48	3.495e+09	1	4403779	147704	146	267	160	111	229	566894	17765	8928.9747	7429.6449	1.59e+08	-97.96822	7.41e+07	7	3752.333	904992.7	1337092	38_ANAPC5	1	1	1	3.283333	1	1	3	.2104284	.0950912	.6744897	-.8254945	.2888094	-.3238762	1.290233	.2189787	.3763366	1.174987	.9153651	.3816746	.2219866	1.548003	1.13409	.2568465	1.273889	-.118514	.8483799	1.37281	.5738966	.6597193	-.0947312	.6597193	.6597193	.6020065	1.073562	.4921101	-.2387225	-.0473125
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_B01	201207	2	NH119	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.5356176	1	2	16.539558	3.1987824	1.8551539	.340296	.2338248	1	15	64															134	556614	10128	14928.754	11978.635	1.51e+08	157.5963	-2.93e+07	45	3979.671	968440.9	1384944	38_ANAPC5	1	1	2	7.983333	1	1	3	.773217	.4516583	.8801318	.2888094	.4516583	-.9057289	.4516583	-.0836517	-1.678071	-1.554774	1.281552	1.201055	.1188359	-.0169375	-.0847849	.1530252	-.5127759													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A09	201207	1	NH113	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9720766	1	2	11.423746	3.232812	.87208088	1.4292432	2.4941312	1	9	58	446485	5799	4398	10503	3449	77	4.936e+09	1	4809234	168686	142	308	182	103	257	560532	19995	11746.003	10135.678	2.35e+08	-697.97	9.33e+07	32	3813.219	848258.7	1202076	38_ANAPC5	1	1	2	7.116667	1	1	3	.4941332	-.4099833	-.0569997	-.9375322	0	-.6374841	1.48947	0	.1004337	.4864239	-.8902469	-.1701847	.1530252	1.82788	1.82788	.6744897	1.35419	1.906358	1.505968	-.1423641	-.7197189	1.505968	.4393922	.3373553	1.161883	.9929082	.6894088	1.260339	.3124258	-.6894088
