filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ssr1_nwt	ssr1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_G01	201209	1	NJ434	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9468497	1	2	14.987005	1.4973024	1.2526253	.9868584	2.8058976	1	5	5	418919	8056	7439	6662	2545	52	2.657e+09	3	5719704	172017	168	264	213	114	38	634567	4000	5692.1517	4458.2448	2.28e+07	578.5132	-1.74e+07	0	4122.917	1009533	1434724	39_SSR1	1	1	1	.7	1	1	5	.7573856	.6560203	.8963259	-.0988469	.3842578	-1.064822	1.387287	-2.066729	-.9218839	-.473777	-.9830529	1.026433	.4200915	-1.720887	-1.346025	-1.391538	-.5675913	-.2039612	.7478586	1.690622	1.955661	-.3894143	-1.051717	-.714776	1.247754	.6198546	1.690622	.416878	1.120205	-.1269375
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D08	201209	1	NJ480	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	6.2739092	1.8375984	1.014785	.9528288	2.2603064	1	2	51	119713	3521	4048	5830	2236	34	7.406e+08	1	1766708	72760	92	252	113	91	98	390894	7505	4659.901	4260.6947	3.50e+07	-223.3482	-778047	254	3535.266	722199.7	1029138	39_SSR1	1	1	2	3.883333	1	1	5	-1.633508	-2.060298	-1.917944	-.5842456	-1.633508	-.1311557	-.3212361	-1.346025	-1.813418	-.5177236	-1.679661	-1.637325	-1.570585	-.5066462	-.5741128	-1.026433	-.1474048	-1.639976	-1.955661	-1.955661	-.9878373	-1.690622	-1.194396	-1.096804	-1.807354	-1.807354	-1.807354	.1653267	-2.166107	-1.335178
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D09	201209	1	NJ488	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	12.943193	3.7772856	2.5369626	2.4161016	9.1191672	1	10	59															187	547197	15318	5557.9657	5221.7352	8.51e+07	-446.0806	2.78e+07	62	4165.846	1000442	1402784	39_SSR1	1	1	2	4.366667	1	1	5	.9569694	.5609918	.6560203	.1585597	-.0592463	-.8572543	-.4271208	.656305	1.370462	2.662688	1.507108	.4998403	-.2553541	.8360962	.9989282	.5675913	.8727259													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D07	201209	1	NJ472	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9689847	1	2	11.975071	2.1778944	2.2039862	1.2931248	3.507372	1	43	43	413942	5519	5009	16549	5076	75	6.922e+09	1	4518765	189192	133	211	187	144	97	723590	8710	7036.2656	5890.7826	6.13e+07	251.954	-1.11e+07	33	4110.519	1054215	1474875	39_SSR1	1	1	1	3.483333	1	1	5	.6806974	.9886495	1.090278	.3420896	.5153632	0	.7573856	-.9989282	-.2553541	.0583267	.9218839	.167232	.8499573	-.5513477	-.316085	.0293788	-.3916559	1.194396	.6824579	-.2822162	-.0253222	1.690622	1.593219	1.366707	.5302197	1.008673	-.0126601	-.852495	.3757931	1.508944
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_G02	201209	1	NJ441	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	12.943193	4.2537	2.4101144	2.3480424	6.4691528	1	12	12	57319	1737	1611	13870	3567	33	7.862e+08	1	1384731	60182	78	225	139	69	86	525766	6528	6976.8289	4974.0655	4.55e+07	1261.623	-6217079	0	3930.621	919064	1259887	39_SSR1	1	1	1	1.1	1	1	5	-.0790311	-.2391057	-.1785797	.3842578	-.5609918	.8261912	.0197385	1.174212	.6088322	2.269206	1.395747	.4998403	-.441412	-.7560614	-.7954417	-.6622477	-.2675282	-1.876359	-2.572352	-2.166107	-2.166107	-1.593219	.9277537	.1269375	-1.955661	-2.166107	-2.166107	-.3894143	-1.22064	-1.955661
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D03	201209	1	NJ446	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9767609	1	2	9.0707055	1.7695392	.68180869	.7826808	3.507372	1	17	17	163450	4418	4380	3801	910	37	6.261e+08	1	2152160	79575	96	159	145	121	52	455988	3495	6152.9299	4880.571	2.15e+07	546.7605	-2.82e+07	88	3813.344	893807.4	1228634	39_SSR1	1	1	1	1.4	1	1	5	-.5609918	-.4488452	-.4055961	-.2594662	-.8110746	-.5495782	-.8672103	-1.477525	-.2553541	-.7431938	-2.662688	-.5907506	-.7690553	-1.421957	-1.507108	-1.445073	-.8444151	-1.399657	-1.593219	-1.051717	-.6985257	-1.955661	-1.690622	-1.807354	-1.366707	-1.690622	-1.690622	-2.322575	-.9878373	.2690661
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D06	201209	1	NJ467	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9434653	1	2	7.9950146	3.40296	1.1257771	.5444736	3.5853136	1	38	38	178730	4583	4345	3436	1000	39	6.268e+08	1	3065381	137331	136	195	177	135	142	527482	11544	8210.3677	5810.5793	9.48e+07	1519.592	2.42e+07	0	3499.431	859279.5	1077797	39_SSR1	1	1	1	2.85	1	1	5	-2.060298	-.7313475	-1.246452	1.387287	-.4271208	.9558848	-1.021354	.1757821	-.1856577	-1.082411	-1.322365	-.8444151	-.4200915	.2353289	.3780057	.7118422	.8167654	-1.275817	-1.304923	-.8894945	-.7817808	-1.807354	-1.955661	-1.690622	-.6198546	-.152506	.191052	-1.275817	.0760316	1.073987
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_A02	201209	2	NJ500	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	12.420408	4.083552	2.2991223	1.361184	3.1956056	1	22	71	365220	5217	4577	12435	4933	70	4.323e+09	2	3937847	152486	130	264	195	102	69	716566	5464	5908.1367	5233.0412	3.23e+07	-109.0951	-2.53e+07	16	4104.728	983947.8	1386409	39_SSR1	1	1	2	5.266667	1	1	5	.6560203	.3842578	.5380375	-.0790311	-.2594662	.0217985	-.0790311	.9830529	-.4200915	.2453292	1.048141	.3497018	.822394	-.9674216	-1.031459	-1.209261	-.763253	.9277537	.2822162	-.5302197	-.5012977	.5012977	.5012977	1.008673	.0253222	.0760316	-.2298841	.416878	.6352697	-.6824579
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_D02	201209	2	NJ503	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	10.915075	2.6883384	1.5697456	1.361184	2.6500144	1	25	74	301288	5685	4192	10656	3072	53	3.231e+09	1	2898883	116010	122	206	144	120	143	613024	12307	6900.7387	5601.6053	8.49e+07	453.6753	1.91e+07	21	4038.373	979835.5	1344838	39_SSR1	1	1	2	5.416667	1	1	5	.363093	.363093	.3005213	.7057961	.6078197	-.7663329	1.164814	-.441412	-1.136341	.2453292	-.225352	-.088238	.2754823	.2957227	.4629351	.5447325	.5907506	-.1014517	-.2559625	-.0760316	-.9277537	-.0506606	.152506	-.2298841	-.7817808	-.5894558	-.7312173	-1.029957	-1.073987	.152506
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D04	201209	1	NJ453	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.0217089	0	1	7.8874455	2.9265456	2.0612821	1.2931248	3.0397224	1	24	24	219396	7077	6577	18339	6670	31	4.077e+09	2	662736	42813	74	159	92	72	99	438118	6964	7315.8965	6459.9544	5.09e+07	-132.2022	-3.42e+07	0	3779.668	826232	1186883	39_SSR1	1	1	1	2	1	1	5	-.6560203	-1.164814	-.7057961	-1.387287	-.3420896	-1.281552	-.6806974	-.326315	-.6443017	.0583267	.656305	-.9165567	-.9674216	-.4846749	-.6929004	-.4559339	-1.131577	-2.572352	-.9277537	.8894945	1.366707	.416878	2.166107	2.166107	-2.572352	-2.572352	-2.572352	-2.322575	-2.572352	-1.807354
