filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	lmna_nwt	lmna_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C09	200808	1	NB258	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	5.3596811	.340296	.33297634	.1361184	1.0132408	1	10	59																							1	3554.259	719657.6	1005496	3_LMNA	1	1	2	8.466666	1	1	7	-1.23942	-2.075128	-1.478625	-1.857141	-1.310954	-.8462095	-.5316958	-.1536793	-.0574353	-.9032142	.3110992	-.7764218																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_A03	200808	1	NB215	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	7.1209402	.4083552	.34883235	.170148	.7014744	1	16	16																							1	3396.341	720644.5	957285.4	3_LMNA	1	1	1	5.1	1	1	7	-2.075128	-1.857141	-2.075128	-.2895613	-.3564294	-.3101982	-.6063177	1.10959	-.4447664	-.5531617	.5869282	-.291285																		
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_C03	200808	2	NB276	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2		.340296	.26955227	.2382072	.8573576	1	28	77															136	392352	11033	27942.377	25228.189	3.08e+08	-897.8547	2.31e+07	0	3487.892	788264.8	1031889	3_LMNA	1	1	2	9.983334	1	1	7	-1.478625	-.9506695	-1.173722	.4954916	-1.389907	.4484255	-1.580799	-.1536793	-.1730713	.2811101	-.8334692		-1.062786	.6065981	.6065981	.2487277	.4389272													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_A01	200808	2	NB264	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	10.117856	.340296	.3012643	.2722368	1.4029488	1	16	65	233514	3384	3223	7443	2504	69	1.700e+09	1	3122424	128440	129	248	141	110	74	1019085	6144	37053.233	31555.512	2.28e+08	1551.065	-1.45e+08	157	3923.135	893672.8	1186674	3_LMNA	1	1	2	9.183333	1	1	7	.1915416	.0953326	0	-.2566249	.0953326	.5207167	-.3228149	-.1536793	.3312469	.5756001	-.1633676	.6420614	1.207414	.0922863	.0553215	-.1121376	-.1121376	.7677715	-1.245046	-2.400036	-2.400036	-1.439531	-.9345893	-.4537622	-.3786901	-.2491061	0	.2917317	-1.245046	-.7404675
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C01	200808	1	NB201	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	18.459045	.340296	.3012643	.2382072	.5455912	1	2	2	438419	10439	9628	7411	2003	42	3.191e+09	1	3491983	128131	104	238	184	153	93	723223	8112	44795.803	34580.819	3.63e+08	6108.338	-5.11e+07	21	3926.844	917374.3	1261038	3_LMNA	1	1	1	4.183333	1	1	7	.2566249	.2566249	.3904518	2.493243	-.4249322	1.047494	-1.055626	-.1536793	-.6330246	.2811101	-.1633676	2.310991	.3690087	.3576728	.2800857	.4389272	.2028072	-.7677715	.423225	1.739384	2.400036	-.1891184	-1.001331	-1.150349	-.0822773	-.2917317	-1.290949	.0616775	.3786901	1.339746
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G02	200808	1	NB213	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	4.2588942	.3062664	.34883235	0	0	1	14	14	441852	9205	8114	7903	2053	48	3.444e+09	1	3777577	137412	146	213	158	127	0	1498457	0		19875.387				0	3446.944	791838.7	1110919	3_LMNA	1	1	1	4.966667	1	1	7	-1.702789	-.9019402	-.6844819	-.6449072	-.4599256	-1.303783	-.8552639	-.9472499	-2.425978	-2.667861	.5869282	-1.202508	1.616156	-1.351702	-1.351702			-.2491061	.4686158	1.245046	1.57718	.0627068	-.7009514	-1.001331	.0822773	-.0822773	.6874435	-.6113263	-.5867419	.2491061
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C05	200808	1	NB231	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	8.5519632	.3062664	.60252861	.2041776	1.8705984	1	32	32	490299	11959	5883	11861	3606	41	5.932e+09	1	3661030	149436	128	244	173	118	33	812128	3195	39944.08	43588.822	1.28e+08	-8227.767	-4.11e+08	17	3946.888	927946.5	1337421	3_LMNA	1	1	1	6.25	1	1	7	.3564294	.2895613	.5316958	.0953326	.6063177	.4842547	.9506695	-.9472499	.6330246	-.1246971	1.648566	.3462343	.8254945	-.3576728	-.3186394	-.7028602	-1.699178	-1.012131	.8241822	2.400036	0	1.23544	.6484922	.9345893	.0411038	.3348942	-.0411038	.1651163	-.0616775	-.3786901
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E04	200808	1	NB225	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	9.5426714	.340296	.52324853	.2382072	1.2470656	1	26	26	260773	6686	5401	12070	3563	39	3.144e+09	1	2678986	105175	121	210	160	102	139	653390	11694	35944.829	30597.598	4.20e+08	1451.233	6.09e+07	27	4067.923	914129.3	1332008	3_LMNA	1	1	1	5.866667	1	1	7	.7670732	.2239646	.4954916	-.1915416	.4954916	-.2434042	-.3564294	-.1536793	.2316706	.2811101	1.457283	.5791321	-.0569997	.6515277	.697813	.5398714	.4887764	-1.160362	-.8241822	-.2491061	-.3786901	-.2749777	.8122178	.8122178	-.8241822	-1.012131	-.2279667	-.6616482	-.4008581	-1.047038
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E03	200808	1	NB218	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	4.5891303	.3743256	.33297634	.0680592	.3117664	1	19	19																							0	3775.434	760451.1	1016547	3_LMNA	1	1	1	5.316667	1	1	7	-.4954916	-1.23942	-1.310954	-1.112734	-1.580799	.5958401	-1.857141	.5420468	-1.330948	-1.820373	.3110992	-1.00999																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C02	200808	1	NB209	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	5.9100746	.3743256	.23784024	.1020888	.0779416	1	10	10	355099	9597	8547	8155	2690	37	2.693e+09	1	3298834	126874	131	226	162	120	0	1897641	0		25215.988				9				3_LMNA	1	1	1	4.7	1	1	7								.5420468	-1.931388	-1.330948	-1.243346	-.6102946	2.000424	-1.351702	-1.351702			-1.290949	-.0411038	1.448272	1.739384	-.755415	-.5977601	-.2749777	-.2491061	-.3348942	.0411038	-.2703575	-.3348942	-.2917317
