filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	atp2a3_nwt	atp2a3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_A04	201210	1	NH330	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	9.9918637	16.810622	10.433259	8.4733704	35.151662	1	22	22	263463	6127	4718	2945	1236	43	7.287e+08	1	3791398	147820	135	352	177	83	120	516918	9104	7968.5997	6668.045	7.25e+07	126.325	-2613773	62	3988.451	922413.6	1305361	40_ATP2A3	1	1	1	8.4	1	1	5	-.1153556	-.2985202	-.1670294	.0383762	-.3253741	-.9178534	-1.493078	-.0238749	2.592656	1.538979	-.3155015	-.2410404	-.1885222	.0820846	0	.0354786	-.04687	-.4591118	-.6624353	-.1159498	-.3543496	-1.993984	-1.993984	-1.19838	-.1548709	.1940281	.0772036	1.993984	-.019283	-1.541986
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_G01	201210	1	NH314	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	9.0675994	19.60105	14.175278	8.0650152	20.264816	1	6	6	269964	7713	5640	4553	1426	35	1.225e+09	1	3205730	111955	141	208	152	112	182	443352	13412	5472.0589	4931.8166	7.34e+07	-244.6708	3.46e+07	56	3678.062	780758.1	1086769	40_ATP2A3	1	1	1	7.216667	1	1	5	-1.090461	-1.588183	-1.36114	-1.802743	-.7742626	-1.326172	-1.577923	.6084982	1.00627	1.179761	.6374841	-.4046779	-.9427782	.7734564	.7117243	.0828608	.9068503	-1.37468	-.5691847	1.053073	.4377901	-.9271548	-.8144545	-.8694237	-.5244005	-.6624353	.3749572	-1.053073	-.8144545	-.2933812
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_C04	201210	1	NH332	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	10.710736	20.247612	11.892012	8.6435184	16.367736	1	24	24	437526	5402	5611	4166	1538	81	1.703e+09	1	5397	1518	21	29	20	16	84	587598	7631	6779.0523	5767.17	5.17e+07	39.65683	-4575959	96	4045.661	948059.1	1332935	40_ATP2A3	1	1	1	8.516666	1	1	5	.0383762	-.1411454	-.0383762	-.0127893	-.0127893		-.7588928	.7279133	.0477635	1.718451	.0477635	-.0956362	.2124247	-.3094104	-.2364492	-.3248653	-.1174013	1.993984	.8694237	-.8694237	.3957253	-.4377901	-.9271548	-.8144545	-2.423196	-2.423196	-2.423196	-2.423196	-2.423196	-2.423196
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_G02	201210	1	NH321	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0419719	0	1	13.997009	16.334208	14.444831	9.2220216	19.797166	1	13	13															114	599838	9880	6163.7939	5113.4212	6.09e+07	224.7382	1.83e+07	26	4443.126	1084630	1547654	40_ATP2A3	1	1	1	7.766667	1	1	5	1.36114	.8452716	1.299194	.920823	1.090461	.0681677	-.0130557	-.167894	.948535	1.902217	.6971414	.4176672	.260611	.0117135	.1410246	-.1543186	.4350152													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_E01	201210	1	NH312	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0391309	0	1	14.407793	14.938994	10.338122	4.2877296	18.861867	1	4	4															80	708974	6655	5370.7274	4551.1552	3.57e+07	120.0154	4883347	36	4268.054	1064772	1480049	40_ATP2A3	1	1	1	7.1	1	1	5	.7401917	.7069592	.6744897	.809257	.611579	-.1504181	-1.031976	-.4438613	.7593904	-.2656923	-.3661064	.5244005	.8720565	-.3589585	-.3840592	-.6162404	.1885222													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_C03	201210	1	NH324	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	7.5271589	19.022546	8.0865682	6.635772	20.888349	1	16	16															201	502769	14812	6870.567	6161.0417	1.02e+08	-351.0185	3.72e+07	114	3834.955	897755.1	1158113	40_ATP2A3	1	1	1	7.983333	1	1	5	-.5810237	-.4074555	-.809257	-.0896424	-.1153556	1.470951	-1.28751	.5519941	1.229064	.6084982	-1.281552	-.7593904	-.3840592	1.122424	1.018561	.426407	.9799662													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_E03	201210	1	NH326	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0337475	0	1	8.8622073	12.216626	8.8635129	11.02559	18.238334	1	18	18															68	436183	4688	5036.9034	4354.5952	2.36e+07	26.82618	-3132348	0	3923.63	874517.2	1237486	40_ATP2A3	1	1	1	8.1	1	1	5	-.3524647	-.5510015	-.4074555	-.920823	-.2985202	.5912576	1.493078	-1.00627	.4570723	2.18935	-.8587541	-.4972006	-1.018561	-.6238741	-.8054488	-1.094844	-.0703373													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_E02	201210	1	NH319	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0290006	0	1	9.6837756	13.237514	11.717596	7.0781568	18.783926	1	11	11	328112	6191	5112	3313	1138	53	1.178e+09	2	4106205	139894	130	327	194	89	74	477988	6254	5061.4763	4397.1312	3.17e+07	-.6747627	4018952	0	3970.297	880573.4	1289929	40_ATP2A3	1	1	1	7.583333	1	1	5	-.1670294	-.4637077	-.2454314	.3798165	-.3524647	.3765316	1.417797	-.6971414	.667016	.8247319	-.0119366	-.2905068	-.5405975	-.5405975	-.4609147	-.7664708	.1410246	.0578776	-.0772036	-.0385731	-.1159498	-1.053073	-1.608653	-1.37468	.313572	-.0385731	-.0772036	1.768825	.7363159	-1.238894
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_G04	201210	1	NH336	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	4.4462779	12.829159	10.242986	5.2065288	16.835386	1	28	28	300025	4839	3684	3461	1237	62	1.001e+09	1	4136459	157582	124	253	192	123	200	498232	14184	8088.7055	6899.8004	1.15e+08	-37.29153	3.47e+07	36	3821.123	875279.9	1208805	40_ATP2A3	1	1	1	8.766666	1	1	5	-.6427163	-.521468	-.5810237	.7742626	-.27188	2.136868	.1705427	-.7916386	.167894	0	-.4176672	-1.718451	-.4094043	1.058737	.9427782	.7985898	.9427782	.5691847	-.2334853	-1.608653	-2.423196	-1.281552	-1.19838	-1.122762	.3957253	.4377901	-.313572	-.0772036	.6151411	.4166655
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_A01	201210	1	NH309	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	9.2729915	22.221329	2.2198422	7.9288968	.0779416	1	1	1															53	399080	3990	7409.2441	5812.1657	2.96e+07	614.7636	-2.77e+07	14	4141.289	1113611	1379187	40_ATP2A3	1	1	1	6.866667	1	1	5	.3524647	1.188354	.1930258	1.503722	1.951308	.5275293	-1.125407	1.00627	-2.592656	1.088917	-2.592656	-.3533721	-1.348275	-.8550502	-.8720565	-.9003679	-.4609147													
