filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	fgf19_nwt	fgf19_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_G09	201221	1	NH679	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	3.8652589	1.1229768	.63424064	1.020888	1.4029488	1	8	57	131056	3744	4188	5789	2809	35	7.189e+08	1	2491808	77116	112	205	145	81	13	270142	896	1397.2076	1362.5159	1251898	233.3795	6.55e+07	48				41_FGF19	1	1	2	7.761111	1	1	5								-.4154975	-.8819982	-.9454201	-.6833558	-1.909639	-2.52324	-1.894644	-1.990721	-2.519125	1.435436	-.8366706	-1.429788	-1.339046	-.5688699	-1.184763	-.3740954	.741594	-.3003779	-.9399909	-.3740954	-.5894558	-.2461637	-1.339046
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_A02	201221	2	NH688	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.9466163	1	2	19.509872	1.7695392	1.2367692	1.7355096	5.5338536	1	17	66	255821	5016	4177	3519	1199	51	9.433e+08	1	4089103	132290	126	230	179	113	37	733238	3120	6497.7558	5716.2645	2.03e+07	11.85855	-1.85e+07	68	4311.922	1072428	1535467	41_FGF19	1	1	2	8.616667	1	1	5	.9333305	.7379805	1.096804	.3888753	1.039222	-.1982402	.9244287	.8025719	1.501086	.1962117	1.639431	1.639431	.7496121	-.7304482	-.7115489	-.7407855	-.6383348	.3928308	.1926639	-.4499066	-.6102946	-.8871465	-1.658472	-1.429788	.8366706	.3003779	.3928308	.0522452	.5688699	.4307273
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A09	201221	1	NH674	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.0264644	0	1	11.39604	.9868584	.3012643	1.4973024	2.1823648	1	3	52	244446	5201	4032	7330	2675	47	1.778e+09	1	2921193	111910	119	202	158	107	59	512325	3701	6339.1832	5770.7617	2.35e+07	-213.332	-1.66e+07	1	3905.449	908402.1	1223744	41_FGF19	1	1	2	7.216667	1	1	5	-.2973049	-.3186394	-.3661064	1.150349	.4727891	.4637077	-.7379805	-.8416212	-.2677537	-.1256613	-1.758563	-.0845939	-.2805315	-.2805315	-.568394	-.6652629	-.4683492	.017408	.0522452	-.2282596	-.7882413	.017408	.2282596	.6527943	.017408	.017408	.017408	-.741594	.1046335	.0522452
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A07	201221	1	NH660	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.0119214	0	1	22.310216	2.9605752	.96721698	2.9605752	8.3397512	1	38	38	446355	8752	6050	5218	1500	51	2.333e+09	1	4788910	163753	112	333	224	134	100	749084	7295	7920.8711	6593.864	5.78e+07	362.1868	-1709585	35	4466.592	1132228	1575019	41_FGF19	1	1	1	6.15	1	1	5	1.465234	1.289085	1.690622	.8749908	1.465234		-.1824072	2.539185	2.539185	2.539185	.8138509	2.535274	1.006961	.2805315	.2503385	.2993069	-.1315391	.3928308	1.429788	2.460124	1.258162	.6965074	-.741594	-1.258162	1.184763	1.184763	-.3740954	2.036834	1.815517	1.815517
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_C01	201221	2	NH682	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	15.060554	1.191036	.6976647	1.531332	4.9103208	1	11	60															66	685308	4903	5809.146	5164.0822	2.85e+07	-1.757642	2799607	0	3959.263	941524.4	1324726	41_FGF19	1	1	2	8.15	1	1	5	-.0325594	-.0164917	.1305846	-.0164917	.0325594	-.7201566	.8276041	-.1820346	1.110772	-.0836517	-.2854742	.6482026	.6029956	-.0729317	-.2203721	-.4253408	.0145739													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_F09	201221	1	NH678	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	5.9389523	1.6334208	.4915365	1.2931248	1.7147152	1	7	56															48	411618	3696	3681.1937	3265.1477	1.36e+07	191.5681	3.28e+07	61	3384.141	698019.7	919183.6	41_FGF19	1	1	2	7.6	1	1	5	-1.465234	-2.059215	-2.064598	-.3888753	-2.064598	-.0896424	.9762363	.4460577	-.4770404	-.2822162	-1.130117	-1.495318	-1.108973	-.5011308	-.6029956	-.8628221	.7496121													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_A01	201221	2	NH680	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.1044079	0	1	19.105388	2.8244568	.6976647	1.0889472	1.558832	1	9	58	452688	5956	6164	6371	1854	76	3.035e+09	1	213173	18160	50	132	75	39	21	778980	1872	5578.4001	5286.3111	1.04e+07	-381.9174	-1.81e+07	7				41_FGF19	1	1	2	7.922222	1	1	5								2.128045	-.6744897	-.6571085	-.2854742	1.539856	1.164587	-1.288206	-1.193795	-1.217197	-.6029956	1.815517	1.534121	.4499066	1.534121	1.258162	-.0871459	-.4887764	-2.036834	-2.036834	-2.036834	-2.036834	-2.036834	-2.036834
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_G05	201221	1	NH653	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.9332528	1	2	10.74119	1.2931248	.6976647	1.7695392	2.8058976	1	31	31	239945	5713	5093	8052	2451	42	1.880e+09	1	2915260	123465	119	233	168	101	151	490530	12699	6986.6577	6117.8806	8.87e+07	9.820567	4.05e+07	0	3577.899	772757.9	1077692	41_FGF19	1	1	1	5.216667	1	1	5	-.8841349	-1.21679	-.9333305	-1.684395	-1.296494	.1256613	1.561435	.0139262	.1116372	.2822162	-.2854742	-.329771	-.4360634	.7887937	.9596939	.6289042	.9144792	-.2822162	-.017408	.2282596	.1926639	.0871459	.6527943	.3370077	-.017408	.1573107	.017408	.1221531	.3003779	-.3740954
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_G01	201221	1	NH628	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.9598873	1	2	10.850331	1.4292432	.6976647	1.2931248	1.0911824	1	6	6	43172	2272	2980	672	133	19	29719536	3	1042261	46858	64	256	111	70	12	387566	896	5903.9609	5726.3853	5289949	-594.3081	-3.37e+07	171	3298.683	808526.9	1113775	41_FGF19	1	1	1	2.85	1	1	5	-1.845705	-.9244287	-.7478586	-.5357877	-.3315094	.5450571	1.088633	.1537869	-1.085325	-.2822162	-.2854742	-.2417308	-1.288206	-2.109706	-1.990721	-1.88951	-.9596939	-2.036834	-2.036834	-2.036834	-1.534121	-2.460124	-2.460124	-2.460124	-1.534121	-1.815517	-1.815517	.5283993	-1.731664	-1.534121
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_F01	201221	2	NH685	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.9785679	1	2	16.948143	.85074	.57081658	.9868584	1.0132408	1	14	63	411350	6328	6143	4896	2039	65	2.112e+09	2	6150896	182633	142	329	246	101	61	800968	5842	4889.4651	4741.3976	2.86e+07	-404.7443	1.29e+07	28	4532.405	1183324	1648172	41_FGF19	1	1	2	8.383333	1	1	5	1.845705	1.839855	2.064598	1.21679	1.845705	-1.414746	1.839855	-1.110772	-1.191816	-1.136959	-.8741759	1.244045	1.358142	-.2203721	-.0145739	-.3932733	.2805315	1.258162	1.339046	.7882413	1.429788	.3003779	-1.054472	-.1573107	1.658472	1.534121	1.117247	1.815517	2.460124	-.3740954
