filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	scda_nwt	scdb_nwt	scd_nwt	scd_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_A08	201216	1	NJ275	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	12.153827	9.3921696	20.089572	4.3217592	17.458918	1	48	48	290420	6179	5479	14593	4878	47	4.363e+09	2	6929	1772	21	31	23	18	351	935620	26317	19739.382	16261.025	5.19e+08	-540.3289	9.55e+07	65	4129.164	1093603	1492445	42_SCD	1	1	1	6.566667	1	1	3	0	.8157657	.8157657	-.1225808	.6554235	.7791397	-.4419345	-.0855575	.9523705	-.7478586	1.150349	.5707313	1.408136	1.823803	1.823803	1.823803	1.268707	-.656305	-.5513477	.0583267	.0583267	.1757821	1.255486	1.136341	-1.813418	-1.813418	-2.269206	-1.990721	-1.813418	-1.813418
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_A01	201216	1	NJ224	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	11.55736	7.3503936	18.456403	5.6489136	8.0279848	1	1	1	341212	4945	4260	7753	2565	69	2.582e+09	1	4434477	171604	135	265	185	133	146	661754	10468	9244.9455	8035.5079	9.68e+07	-629.6917	-1.06e+07	66	4149.031	987581.5	1356846	42_SCD	1	1	1	2.533333	1	1	3	.1225808	-.0611754	-.1844524	-.581393	.0611754	-1.342336	-.9042674	-.7860842	-1.046231	.0284883	.142907	.3791918	-.142907	.2592342	-.0284883	-.142907	-.2007308	.8499573	-.1757821	-.9368471	-.9368471	-.8499573	-1.255486	-.9368471	.3572158	.2957227	.1462539	.2654048	.1168527	.6205683
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_D04	201216	1	NJ248	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.0186521	.0206201	.0196361	0	1	12.551472	10.991561	18.218562	7.4524824	10.755941	1	24	24	503675	6716	6707	9956	3277	75	4.823e+09	1	6767070	214917	151	296	268	105	301	1068646	24994	14850.598	11779.972	3.71e+08	239.3065	1.20e+08	0	4470.927	1215863	1636658	42_SCD	1	1	1	5	1	1	3	2.250926	2.250926	2.250926	1.791764	1.791764	1.521218	.7332358	.5048896	-.4411686	1.408136	-.0284883	.7106959	1.582058	1.408136	1.408136	1.268707	1.582058	1.031459	1.136341	.4200915	.9368471	.7690553	-.3572158	-.3572158	1.570585	1.136341	.9368471	.656305	2.269206	-.8499573
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_G05	201216	1	NJ258	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	11.259127	8.337252	16.981793	4.6280256	19.95305	1	34	34	432525	5211	4938	11328	4196	83	4.597e+09	2	6196184	227768	148	282	187	154	74	655484	7518	12171.004	10063.576	9.15e+07	-269.088	-9.40e+07	6	4156.235	1057564	1425364	42_SCD	1	1	1	5.533333	1	1	3	.1844524	.581393	.3106094	-.0611754	.247039	.9674216	.1844524	-.3791918	1.408136	-.4727891	-.3186394	.142907	-.2007308	-.7860842	-.5707313	-.2592342	-1.582058	1.813418	.5513477	-.6929004	-.4200915	.4200915	.0583267	.4200915	1.136341	1.395747	.7690553	.4200915	.2054644	1.813418
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_A05	201216	1	NJ252	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	14.04264	10.106791	20.05786	2.211924	21.278057	1	28	28	506416	6330	5557	13499	4400	80	6.581e+09	1	6134307	231242	154	351	168	147	181	922582	14294	14280.779	10542.362	2.04e+08	1235.033	236410.8	11	4324.468	1093019	1504109	42_SCD	1	1	1	5.233333	1	1	3	1.107003	.7332358	1.107003	.6554235	.3754618	1.075723	.3754618	.0284883	2.277988	-1.823803	1.046231	1.408136	1.268707	.5707313	.5707313	.7106959	.142907	1.395747	1.255486	.1757821	.1757821	1.813418	.6205683	.6929004	1.031459	1.570585	1.136341	1.813418	-.4846749	1.255486
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_E07	201216	1	NJ271	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.9585244	.9886733	.9735988	1	3	8.4756142	9.1539624	15.967008	5.8530912	15.822145	1	44	44	395115	5131	5487	13434	4075	77	5.298e+09	1	4695268	174654	123	345	192	130	195	674214	15127	15210.777	12236.269	2.30e+08	22.28218	-3.90e+07	47	3886.447	981061.7	1290960	42_SCD	1	1	1	6.366667	1	1	3	-.581393	-.1225808	-.5104216	-.5104216	0	.0643168	-.247039	-.2007308	.5707313	.142907	-.7106959	-.7860842	.0284883	.639147	.7106959	.8662307	-.5707313	1.136341	.2957227	-.7690553	.1168527	1.136341	.5513477	.3572158	.5513477	.3572158	-.2353289	1.570585	.3572158	.3572158
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_G07	201216	1	NJ273	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	0	0	0	1	11.55736	3.743256	19.391908	3.3008712	10.288291	1	46	46	336603	5518	4930	13509	3732	61	4.605e+09	1	4030794	167483	119	291	199	131	88	669790	7197	8673.1899	7167.8114	6.24e+07	-103.8328	-1.16e+07	0	4107.689	1001877	1400451	42_SCD	1	1	1	6.483333	1	1	3	-.1225808	.0611754	.1844524	1.369856	-.247039	-.2599896	-.8157657	-1.582058	-.5707313	-1.046231	.639147	.3791918	-.0284883	-.5707313	-.639147	-.5707313	-.2592342	.0875522	-.2353289	-.4846749	-.4846749	.4846749	.6929004	0	-.1168527	.1757821	-.5177236	.4846749	.6205683	.4200915
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_D05	201216	1	NJ255	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.8906152	.9070477	.8988315	1	3	15.832041	7.2483048	19.518756	4.6960848	13.328014	1	31	31	325712	6786	5091	13961	5398	48	4.120e+09	2	3889516	161098	138	232	162	151	7	536240	768	11079.814	7604.3073	8509297	1750.635	-8.23e+07	41	3906.53	939206.6	1296822	42_SCD	1	1	1	5.366667	1	1	3	-.5104216	-.5104216	-.4419345	-.3754618	-.4084725	-1.521218	-1.107003	-.8662307	.2007308	-.3791918	.7478586	1.823803	-.7860842	-2.277988	-2.277988	-1.823803	-1.046231	-.4846749	-.3572158	.4846749	-.2353289	.0583267	.8499573	2.269206	-.1757821	-.0583267	.2957227	-.3572158	-.6205683	1.395747
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_A04	201216	1	NJ245	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.7040967	1	.8520483	1	3	9.8673706	10.787383	22.943655	6.5677128	7.5603352	1	21	21	132159	4263	2857	9780	2736	31	1.318e+09	1	1916167	73165	89	213	178	80	98	483568	7968	8283.5753	7078.8516	6.60e+07	-380.9156	-4578928	102	3805.597	869806.8	1234615	42_SCD	1	1	1	4.85	1	1	3	-.8157657	-.8157657	-.6554235	-1.546635	-1.369856	-1.768825	0	.3791918	-1.150349	.8662307	1.582058	-.4411686	-1.046231	-.2592342	-.3791918	-.5048896	-.0855575	-1.395747	-1.570585	-1.395747	-2.269206	-1.395747	-.4200915	-.6205683	-1.031459	-1.255486	-1.255486	-.8499573	-.1757821	-1.570585
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_A06	201216	1	NJ260	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.5960824	.56236		1	3	10.066193	12.284686	15.031503	6.0912984	16.211853	1	36	36	283312	5902	5620	9690	3872	48	2.842e+09	1	4425714	149340	121	266	183	133	109	554446	9680	10609.571	7906.8446	1.03e+08	897.6893	248720.7	41	4072.681	1022558	1446418	42_SCD	1	1	1	5.65	1	1	3	-.1844524	.247039	.4419345	1.227826	.8157657	1.768825	1.791764	.8254945	.7860842	.3791918	-.8662307	-.3791918	-.639147	-.1717471	-.142907	-.0284883	.2007308	-.4846749	-.6205683	-.1757821	.2957227	-.6929004	-.4846749	.1757821	.2957227	-.2353289	-.4200915	.3572158	0	.6205683
