filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	rfx6_nwt	rfx6_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_E03	201217	1	NJ061	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	11.159123	7.0441272	10.829659	4.4578776	22.447181	1	16	16															63	728300	6500	8898.8998	8114.902	5.78e+07	-360.8726	-6400500	0	4293.671	1076451	1494494	43_RFX6	1	1	1	2.766667	1	1	2	.7000902	.807541	.7000902	.9252446	.807541	.8010945	-.2104284	-1.096804	.9674216	-1.096804	.0760316	.5595922	.7835004	.9027348	.9027348	1.014499	.4770404													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_G04	201217	1	NJ070	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	10.497617	10.379028	7.4523275	7.8948672	20.732466	1	22	22															12	557150	909	7232.9879	8315.4625	6574786	-2252.194	-6.21e+07	24	3974.135	933464.4	1327597	43_RFX6	1	1	1	3.566667	1	1	2	.4159872	.0809473	.3292913	-.6001788	.2450062	-.0482231	.0417893	-.2298841	.6508373	.3086658	-.9674216	.3894143	-.3853205	-.7835004	-.9027348	-.8791677	-2.128045													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_A02	201217	1	NJ051	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	12.671135	15.27929	9.925866	6.80592	23.616305	1	8	8	552152	9687	8261	14181	4314	57	7.352e+09	1	4967356	174696	144	264	201	124	31	805964	2864	6815.6047	7742.1688	1.95e+07	-2025.254	-3.64e+07	13	4310.256	1096519	1509179	43_RFX6	1	1	1	2.166667	1	1	2	.9252446	.9252446	.807541	2.141198	.5059336	.2434042	.2104284	.5595922	1.096804	.1141853	-.3086658	.9084579	1.191816	.2104284	.2967378	.2622828	-1.036433	.8122178	1.731664	1.731664	1.150349	1.731664	1.150349	1.150349	1.731664	1.150349	1.150349	.5485223	1.150349	.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_A06	201217	1	NJ077	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.549229	1	2	12.671135	14.46258	19.296771	5.5808544	19.641283	1	29	29	301100	8364	7069	10617	3667	36	3.360e+09	1	2433814	114254	118	214	152	102	32	610392	2720	10904.016	9310.5865	2.97e+07	300.4157	-6.12e+07	0	3995.24	960306.1	1312987	43_RFX6	1	1	1	3.933333	1	1	2	.5059336	.2450062	.1624294	-.1624294	.1624294	.0482231	.3853205	.3894143	.2298841	-.3086658	2.166107	.9084579	.1256613	.2967378	.2104284	.6476036	-1.382994	-1.731664	.1046335	1.150349	.5485223	.1046335	-.3186394	-.1046335	-1.150349	-.3186394	-.5485223	-.5485223	-.5485223	-.5485223
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_C03	201217	1	NJ059	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	9.4581084	7.486512	10.877227	6.0572688	20.264816	1	14	14															12	640682	1575	8154.6114	7554.977	1.28e+07	-475.8623	-3.89e+07	14	3938.877	970459.6	1372936	43_RFX6	1	1	1	2.683333	1	1	2	.3292913	.3292913	.5059336	-.0809473	-.1624294		.4770404	-.9674216	.3894143	-.2298841	.152506	.191052	.3853205	-.7835004	-.5729675	-.5443409	-1.191816													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_E06	201217	1	NJ081	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	5.7725776	10.004702	17.203777	4.8662328	17.614802	1	33	33																								3429.824	749445.2	1026730	43_RFX6	1	1	1	4.133333	1	1	2	-2.141198	-1.660698	-1.400745	-.2450062	-1.400745	-.3441025	-1.382994	-.3894143	-.152506	-.852495	1.096804	-1.4342																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_A05	201217	1	NJ072	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.0077519	0	1	10.592118	10.276939	9.3074814	8.5074	14.185371	1	24	24															127	467900	9711	8357.7933	7750.8008	8.12e+07	-492.7665	2.50e+07	27	3919.575	892207.3	1200237	43_RFX6	1	1	1	3.666667	1	1	2	.2450062	-.1624294	-.0809473	-2.141198	-.4159872	.4484255	-.4770404	-.3086658	-1.029957	.5595922	-.4727891	.4727891	-.9027348	1.382994	1.382994	1.628361	1.191816													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_C04	201217	1	NJ067	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	12.954638	18.375984	8.5463926	9.0518736	18.783926	1	20	20	378754	7730	7054	10097	2860	49	3.907e+09	1	3732489	142010	107	273	190	166	79	851076	7803	8749.9608	7717.7473	6.83e+07	-63.45019	1.29e+07	4	4461.625	1128101	1568724	43_RFX6	1	1	1	3.4	1	1	2	1.400745	1.211232	1.211232	.6001788	1.057414	-.9420758	1.191816	1.690622	.0760316	1.168949	-.5595922	1.4342	1.644854	1.036433	1.036433	1.171546	.9027348	-.3186394	.8122178	.5485223	.3186394	.3186394	-.5485223	-.5485223	.3186394	.5485223	-1.150349	.8122178	.8122178	1.731664
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_C06	201217	1	NJ079	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.9918094	1	2	6.8120863	15.823764	15.808448	2.8244568	14.185371	1	31	31	254322	5298	5977	14088	4698	48	3.296e+09	1	2819995	111780	134	226	172	91	177	438686	12354	9842.5287	8421.9035	1.22e+08	237.7178	5.05e+07	0	3624.328	833678.9	1156124	43_RFX6	1	1	1	4.033333	1	1	2	-1.057414	-.807541	-.6001788	-1.057414	-.9252446	-1.574445	.1256613	.6508373	-1.029957	-1.690622	.852495	-1.096804	-1.191816	1.644854	1.644854	2.114381	1.644854	-.5485223	-.3186394	-.1046335	.1046335	-.1046335	.8122178	1.731664	-.1046335	-.5485223	.1046335	.3186394	.2104284	-1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_E01	201217	1	NJ047	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	14.561151	17.593303	10.052714	9.0518736	13.405955	1	5	5															280	887796	22064	15493.496	11731.016		2169.579	1.97e+08	0	4351.102	1205261	1623050	43_RFX6	1	1	1	1.933333	1	1	2	1.057414	2.141198	1.660698	.1624294	2.141198	-1.104836	.7835004	1.096804	-1.4342	1.168949	-.2298841	1.690622	2.128045	2.128045	2.128045		2.128045													
