filename	date	plate	index	anxa6_dich	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	qRNA	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A04	220616	1	MD022	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	17.766137	18.71628	3.7895878	2.211924	8.183868	1	22	22	252561	4510	4605	7412	2941	56	1.819e+09	1	5292	1484	20	26	20	18	9	688422	640	2530.9391	3102.3735	1619801	-675.2302	-1.30e+07	0	4092.182	1042327	1396862	44_ANXA6	1	1	1	2.783333	1	1	1	8	.0216105	.4067242	.1957222	1.945423	2.38152	.7961826	.0648721	.855996	-.6067753	-.0099471	-1.328539	.8473045	.9057289	-.9996905	-.9057289	-.9057289	-1.465234	-.0578776	-.313572	-.3957253	.313572	-.5691847	-.2733094	.3957253	-1.993984	-1.993984	-1.993984	-1.993984	-1.993984	-1.993984
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E01	220616	1	MD005	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	16.644624	16.300178	6.960791	1.3952136	10.366233	1	5	5																								3851.553	937322.4	1342760	44_ANXA6	1	1	1	1.866667	1	1	1	8	-1.3116	-1.040203	-.2847156	-.4228376	-.1957222	-.4053977	-.3760274	.4565424	.6188731	-.9516592	1.174987	.5312607																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E03	220616	1	MD019	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	11.123334	9.2900808	5.0422131	3.062664	10.444174	1	19	19	245734	4818	4405	10142	3709	51	2.459e+09	1	3477593	117578	109	269	172	103	22	421054	1264	1713.9146	2022.0444	2166388	-87.91039	5873144	2				44_ANXA6	1	1	1	2.591667	1	1	1	8								-1.080319	.6807969	1.067571	-.4789137	-1.050146	-1.357561	-.099634	-.2410404	-.5894558	.7383242	-.3957253	-.4806444	-.1159498	-.1159498	.0772036	.6624353	1.053073	-.4806444	-.6151411	-.9271548	1.053073	-.2334853	-.8144545
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_E01	220616	2	MD061	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.021277	4.0154928	5.93015	1.2250656	7.404452	1	12	61	572112	6287	4729	9985	2811	91	5.602e+09	1	6168522	224337	153	275	230	117	10	505020	720	1949.2986	2251.7495	1403495	-151.1252	1220731	26	4094.329	1009832	1397116	44_ANXA6	1	1	2	5.116667	1	1	1	8	.0648721	.0880656	.2399812	-.3760274	1.051338	-.8616341	1.129657	-1.799118	-1.04505	-1.19995	.294992	-.6620542	-.4526599	-.9057289	-.8473045	-1.033036	.0397983	2.423196	2.423196	.9881546	.4377901	1.993984	.6151411	.2334853	2.423196	1.993984	.9271548	1.19838	1.993984	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A03	220616	1	MD015	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	18.283758	9.8345544	5.0897811	2.1438648	7.8721016	1	15	15	423300	6047	4580	7701	2544	70	3.332e+09	1	4723077	194505	137	242	187	138	29	559316	1951	2115.6986	2302.1819	4127728	-50.28345	3091009	5	4221.287	1079307	1421251	44_ANXA6	1	1	1	2.333333	1	1	1	8	.7297922	.7164975	.4705935	1.129657	1.421497	1.27107	-.2399812	-.9462914	-.7857738	-.0796597	-.3799265	1.085325	.1196481	.3449144	.2615728	.2002695	.2002695	.6624353	1.053073	.9271548	.2334853	.7112601	-.1548709	-.1159498	.8144545	1.281552	.1940281	-.1353847	.2137151	.8694237
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E04	220616	1	MD026	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	12.072306	26.645177	3.3297634	2.6202792	9.2750504	1	26	26	230269	5483	5165	8260	3658	42	2.015e+09	1	3906851	107011	98	284	190	114	31	429482	1936	2822.3089	2681.2391	5463990	163.5818	-1991178	1	3877.777	955206.9	1301054	44_ANXA6	1	1	1	3.033333	1	1	1	8	-1.129657	-.6607511	-.7297922	-1.421497	-.8477958	-1.515564	-1.129657	1.799118	.1004337	.7124431	-1.554774	-.8616341	-1.179761	.4748125	.2002695	.4526599	-.4526599	-1.020076	-.6624353	.3957253	.9881546	-.3543496	.1159498	.9881546	.0385731	-.8144545	-1.19838	1.37468	.3543496	-.2733094
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A02	220616	1	MD008	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	16.558354	16.266149	7.0876392	1.7695392	10.755941	1	8	8	279821	6996	6288	12804	3876	40	3.379e+09	1	2644382	130590	110	246	154	105	32	457214	2439	3376.5051	3259.7684	8235296	-34.26521	-9015914	1	4049.278	982512.2	1356218	44_ANXA6	1	1	1	2	1	1	1	8	-.0648721	-.0439901	-.1957222	-.8477958	-.3760274	.6172997	-1.051338	.4343973	.7995009	-.4859761	1.237235	.4859761	-.9674216	.5427505	.5894558	1.033036	-1.263668	-1.159742	-.0385731	1.608653	1.993984	.7618428	1.768825	1.37468	-.9271548	-.2733094	-.8144545	.019283	-.8416212	-.5466556
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E08	220616	1	MD055	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	10.950793	17.355096	4.3762604	2.4501312	10.054466	1	6	55	321927	5365	5234	6942	2213	60	2.318e+09	1	4377829	170782	133	226	197	137	35	494666	2100	2243.2333	2161.5309	4710790	260.0867	6055667	39	3976.167	978594.4	1373504	44_ANXA6	1	1	2	4.733333	1	1	1	8	-.4228376	-.1768208	.0648721	-.5695757	-1.215598	-1.382994	.2847156	.559237	.4901892	.409	-.8852904	-1.160042	-.5894558	.6374841	.4526599	.3661064	.8473045	.1940281	.3543496	.2733094	1.122762	-.0385731	-.4806444	-.5244005	.4806444	.7112601	.0965586	-.5920066	.787876	.7618428
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E02	220616	1	MD011	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.797709	43.728036	7.4364715	3.0286344	11.613298	1	11	11	223016	4208	3290	14262	4826	53	2.993e+09	1	3830775	142636	124	255	170	106	19	527906	1008	2412.7312	2566.3149	2432033	-96.60342	-3077163	28				44_ANXA6	1	1	1	2.191667	1	1	1	8								2.257129	1.378659	1.016222	1.432503	-.2925825	-.2822162	-.387464	-.4526599	-.5427505	-.5894558	-.1744161	-.7112601	-.7618428	-1.122762	.4377901	2.423196	1.993984	0	0	-.3543496	.6151411	-.2733094	-.4591118
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E05	220616	1	MD033	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	15.178032	1.361184	6.8656549	1.8035688	7.9500432	1	33	33	313346	5912	4815	9733	3184	53	3.019e+09	1	3484636	130492	140	228	161	113	41	544818	2705	2227.9919	2309.8854	6026718	51.99581	4859558	0	4028.752	1011851	1415195	44_ANXA6	1	1	1	3.416667	1	1	1	8	-.1082554	.1323128	.3760274	.5695757	.6211776	.5620615	.9114298	-2.257129	-.6934934	-.4416671	1.062519	.099634	-.0796597	.9057289	.7916386	.5427505	.5427505	-.1744161	.2334853	.6624353	.5691847	.4806444	.5691847	.5244005	-.4377901	-.313572	.3749572	-.5244005	-.6386096	-.3543496
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_E02	220616	2	MD069	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	10.519443	11.706182	5.4703255	3.6411672	7.014744	1	20	69	427723	5941	4510	8654	2605	72	3.571e+09	1	4179230	154390	148	239	154	138	15	383989	991	2057.4511	2038.3858	2038934	234.3835	5468985	0	4188.852	1001952	1256881	44_ANXA6	1	1	2	5.583333	1	1	1	8	.5695757	.0439901	-.9789874	1.3116	.6744897	-1.00517	1.051338	-.5947658	-1.21596	1.558784	-.0401168	-1.241867	-1.754382	-.6132931	-.4972006	-.6870306	.6374841	.9271548	1.19838	.7618428	.1548709	.9271548	.2733094	-.0385731	.2733094	.2733094	.7363159	-.2733094	-.8416212	.8694237
