filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N69_nwt	N70_nwt	N71_nwt	fndc5_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_G06	210104	1	NH763	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	0	0	0	1	7.0053702	1.9737168	1.5856016	1.0549176	3.0397224	1	40	40	208261	5340	4117	14124	5090	39	2.625e+09	1	2501028	105649	109	196	158	103	111	449984	8904	3398.9381	2961.8367	3.03e+07	234.8558	1.58e+07	438	3604.151	772055.1	1064264	45_FNDC5	1	1	1	6.6	1	1	2	-.3661064	-.6084982	-.3661064	-.2905068	-2.18935	.5595922	-.6971414	-1.166919	-.2743915	-.1359107	1.024592	-.7188681	-.5595922	.4727891	.4727891	.2298841	.852495	-.5485223	-.3928308	-.1046335	-.7188681	-.3928308	.5485223	.6314019	-.2461637	-.1749599	-.3186394	-1.150349	.1397103	-.2461637
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_G08	210104	1	NH778	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	.0322012	0	0	0	1	6.7912948	2.4841608	1.1416332	.4423848	2.2603064	1	6	55	188526	4961	3059	17111	7193	38	2.901e+09	1	2005985	91793	92	219	155	117	151	454560	11757	5298.4942	5210.5301	6.23e+07	-396.6827	3241929	1	3572.833	861522.5	987790.8	45_FNDC5	1	1	2	7.833333	1	1	2	-.6971414	.2905068	-1.281552	1.281552	1.13317	.3086658	-1.718451	0	-.8320063	-1.494155	-.2104284	-.9132499	-.3086658	.852495	.9674216	1.096804	.152506	-.7188681	-1.297543	-.7188681	-1.731664	-.1749599	1.024592	2.200411	-1.024592	-1.024592	-1.914506	-.3186394	-.1397103	.4692529
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_E07	210104	1	NH769	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	.9031643	1	4	3.7942403	2.211924	.98307299	1.020888	1.4808904	1	46	46	219567	5934	4592	19561	7128	37	4.290e+09	1	2435886	110550	123	202	174	92	40	379104	2399	2611.6674	2283.5395	6265390	211.0659	5208552					45_FNDC5	1	1	1	7.116667	1	1	2								-.4556403	-1.236652	-.3454851	-1.024592	-2.200411	-1.247754	-.9084579	-.852495	-1.096804	.2298841	-.9132499	-.3186394	.4692529	-.3186394	1.150349	2.200411	1.731664	-.3928308	.3186394	.4692529	-.8122178	.5084881	-.9674216
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_G05	210104	1	NH756	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	.5021716	1	4	9.2531611	3.232812	1.2050572	1.361184	4.9882624	1	33	33	356495	5844	4750	9750	2972	61	3.495e+09	1	3348486	144557	112	239	197	123	275	554520	19812	5187.017	4683.9698	1.03e+08	84.52817	5.41e+07	202	4020.905	976216.8	1219348	45_FNDC5	1	1	1	5.85	1	1	2	1.465234	1.465234	.6971414	1.13317	2.18935	.3894143	0	1.042247	.9319713	1.166919	.1046335	.0348213	.852495	2.166107	2.166107	2.166107	2.166107	1.479941	.9132499	.2461637	-.1749599	.3928308	-.3928308	-.3928308	.8122178	1.024592	.0696849	.5485223	1.479941	.9132499
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_C07	210104	1	NH767	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	0		0	1	7.8616715	2.4501312	.07928008	1.020888	4.0529632	1	44	44	153335	4144	3310	15717	6610	37	2.553e+09	1	1722827	80166	100	278	107	85	152	499782	11767	4183.3818	3782.0438	4.92e+07	96.08704	1.85e+07	59	3363.212	700711.4	988717.9	45_FNDC5	1	1	1	6.966667	1	1	2	-1.718451	-1.718451	-1.13317	-2.18935	-1.281552	-1.4342	-.8938006	-.1017956	.2743915	-.3454851	-2.200411	-.6314019	.3086658	.9674216	1.096804	.7478586	1.096804	-.9132499	-1.731664	-2.200411	-1.479941	-.4692529	.8122178	1.479941	-1.731664	-1.479941	-.9674216	1.150349	-2.200411	-1.593219
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_G01	210104	1	NH728	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	15.24727	4.5599664		1.3271544	9.1191672	1	5	5	314434	7146	6511	11355	4107	44	3.557e+09	1	3761402	126748	138	207	180	111	23	906143	1311	4265.0366	4176.1645	5591463	-265.8744	-3.30e+07	1	3977.477	971072.7	1375777	45_FNDC5	1	1	1	2.966667	1	1	2	1.13317	1.281552	1.465234	.6971414	1.465234	.852495	-.6084982	2.211127	2.211127	.9856104		1.479941	2.166107	-1.247754	-1.247754	-1.247754	-1.4342	-.1046335	.7188681	1.297543	1.297543	.5485223	-.1046335	.1046335	1.150349	.7188681	1.479941	-.6314019	.6744897	.1046335
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_G09	210104	1	NH783	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	7.9687091	2.5862496	1.3160493	1.1570064	3.2735472	1	11	60	207806	5068	5195	15140	4902	41	3.108e+09	1	2776123	95316	133	233	126	105									396	3570.571	755964.9	1034117	45_FNDC5	1	1	2	8.333333	1	1	2	-.7916386	-1.00627	-.5244005	-.5244005	-1.465234	-.4727891	.6971414	.3454851	-.2046599	.2743915	.3186394	-.5485223						-.3186394	-.4692529	-.5485223	.2461637	-.0348213	.7188681	.4692529	.0348213	-.7188681	1.024592	.2461637	-1.024592	-.1046335
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FNDC5_210104_G02	210104	2	NH796	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	0	0	0	1	9.3086178	2.1778944	1.0940651	.9868584	5.2220872	1	24	73	226498	4719	3793	17392	6429	48	4.056e+09	1	2385050	109105	105	204	149	126	42	500768	2549	3424.0196	3693.4016	8727826	-563.5009	-2.03e+07	133	3664.237	823719.8	1135039	45_FNDC5	1	1	2	9.433333	1	1	2	0	-.0716793	-.1437292	.2165341	-.0716793		-.4438613	-.695908	1.166919	-.5321897	-.4692529	.1046335	.3894143	-.7478586	-.7478586	-.852495	-.852495	.3928308	-.1749599	-1.024592	-.9132499	.9132499	1.297543	1.150349	-.4692529	.0348213	-.5894558	-.7188681	-.2461637	1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FNDC5_210104_E02	210104	2	NH794	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	.9839361	1	1	4	5.1309833	2.55222	1.1733452	.340296	3.3514888	1	22	71	203031	4512	3590	17278	5198	45	3.577e+09	1	2165572	99544	116	208	125	108	134	343574	10207	3897.6551	3650.2722	3.98e+07	-41.31953	1.16e+07	65	3634.759	741445	1052645	45_FNDC5	1	1	2	9.316667	1	1	2	-.1437292	-1.281552	-.4438613	-1.13317	-.6971414	-1.096804	-.1437292	.2046599	-.1017956	-1.744448	-.0348213	-1.479941	-2.166107	.5595922	.5595922	.4727891	.5595922	.0348213	-.6314019	-1.297543	-1.150349	.6314019	1.150349	.8122178	-.8122178	-.5485223	.2461637	-.5485223	-1.150349	-.0348213
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_A03	210104	1	NH738	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	12.999479	3.0286344	1.7441618	1.1570064	4.3647296	1	15	15	244251	5197	5517	10056	3244	47	2.486e+09	2	2305305	88690	94	250	145	87	211	563946	15265	5287.0973	4729.8017	8.07e+07	133.0208	3.12e+07	192	3794.747	836415.4	1148467	45_FNDC5	1	1	1	3.816667	1	1	2	.4438613	.0716793	.0716793	1.00627	.1437292	1.690622	.2165341	.785036	.6119958	.2743915	1.297543	1.297543	1.096804	1.4342	1.4342	1.4342	1.4342	.2822162	-.0348213	-.2461637	.8122178	-.6314019	-.3186394	-.3186394	-.6314019	-1.297543	-1.479941	.7188681	-.6314019	-1.297543
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_A04	210104	1	NH745	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	.8548861	1	4	11.286877	2.2459536	1.2526253	.9187992	2.1823648	1	22	22	191251	5464	4504	8005	2778	35	1.528e+09	2	2760629	103131	122	194	158	101	107	394072	8791	4618.1094	3984.972	4.06e+07	302.4018	5828641					45_FNDC5	1	1	1	4.675	1	1	2								-.3097425	-.9319713	-.695908	.2104284	.5084881	-.9674216	.3894143	.3894143	.5595922	.3086658	-1.297543	-1.024592	-.0348213	-.4692529	-1.479941	-1.024592	-.8122178	-.0348213	-.3928308	.3554904	-1.479941	.1397103	-.3928308
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_C04	210104	1	NH747	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	.6526639	1	1	4	8.8250104	2.041776	1.0464971	1.0549176	4.3647296	1	24	24	327689	6183	5131	14740	4398	53	4.903e+09	1	3037043	140451	126	198	155	126	94	442512	8000	4858.1396	4192.7222	3.89e+07	308.5916	-20422.58	39	3626.948	810351.3	1155137	45_FNDC5	1	1	1	4.85	1	1	2	-.2165341	-.2165341	.1437292	-.8938006	.4438613	-.152506	-.2165341	-.9319713	.6119958	-.1359107	-.5485223	-.1749599	-.6508373	.152506	.3086658	.3894143	.0760316	.7647097	.8122178	.6314019	.1046335	1.297543	.6314019	.3186394	.4692529	.9132499	.5485223	-1.024592	-.1397103	1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_C02	210104	1	NH732	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	.024398	0	0	1	4.5435039	2.6202792	1.030641	.680592	2.4941312	1	9	9	476784	7946	6756	7474	2335	60	3.527e+09	1	4739362	178262	133	311	192	97	233	541936	15955	4658.6273	4157.1688	7.43e+07	149.0976	3.61e+07		3490.031	848841.9	1127263	45_FNDC5	1	1	1	3.3	1	1	2	-1.281552	.1437292	-.2165341	-.0716793	.0716793	-.7478586	.1437292	.4183713	-.7397372	-1.042247	-.6314019	-1.731664	.6508373	1.690622	1.690622	1.247754	1.690622	1.22064	2.200411	1.731664	1.479941	.4692529	-1.297543	-1.297543	1.731664	2.200411	1.024592	1.731664	1.22064	-.5894558
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_E03	210104	1	NH741	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	11.393914	3.0286344	1.1099211	1.531332	5.066204	1	18	18	302794	6442	6973	9091	2724	47	2.944e+09	1	3671781	123463	132	232	192	90	137	489292	10736	4282.6454	3930.3268	4.60e+07	28.44555	1.23e+07		3934.36	907295.6	1265375	45_FNDC5	1	1	1	4.266667	1	1	2	1.00627	.8938006	1.13317	2.18935	.7916386		1.281552	.785036	1.042247	1.312981	-.3928308	.6744897	.152506	.6508373	.7478586	.6508373	.6508373	.2822162	.6314019	.9132499	1.731664	-.1046335	-.5485223	-.9132499	1.024592	.6314019	.8122178	.1749599	1.22064	-1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FNDC5_210104_C01	210104	2	NH787	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	8.2924364	1.0889472	1.1257771	1.1229768	4.2088464	1	15	64	287139	4631	3519	17659	5639	62	5.250e+09	1	2910987	128167	110	262	148	117	101	382974	7518	3049.8887	2808.7912	2.29e+07	58.07202	1.15e+07	43	3593.651	720480.1	1013406	45_FNDC5	1	1	2	8.766666	1	1	2	-.4438613	-1.465234	-.8938006	-1.281552	-1.13317	-2.166107	-1.13317	-1.744448	.4183713	.1017956	-.3186394	-.3186394	-1.096804	.3086658	.2298841	-.152506	.4727891	1.731664	.4692529	-1.150349	-1.297543	2.200411	1.479941	.9132499	.2461637	.8122178	-.2104284	1.024592	-.3186394	.4692529
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_E04	210104	1	NH748	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	0	0	0	1	10.858726	2.6543088	2.8382269	.9868584	3.89708	1	25	25	272598	5926	5650	13818	5147	46	3.682e+09	1	3174218	105349	144	199	146	122	65	489666	4999	5045.2787	4520.6221	2.52e+07	126.6515	-2.02e+07	145	3726.276	808048.4	1105581	45_FNDC5	1	1	1	4.95	1	1	2	.1437292	-.2905068	-.2905068	.0716793	-.4438613	2.166107	-.5244005	.4935534	.2046599	-.5321897	2.200411	.3186394	.2298841	-.2298841	-.2298841	.0760316	-.7478586	.1749599	.2461637	.3928308	1.024592	.7188681	.3928308	.7188681	.7188681	-.2461637	1.731664	-.9132499	-.5485223	.7647097
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FNDC5_210104_A01	210104	2	NH785	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	.1500412	0	0	0	1	12.808798	2.9265456	1.5063215	1.191036	5.84562	1	13	62	359196	6302	5331	11445	3666	57	4.165e+09	1	3472373	148210	133	221	169	132	90	544260	6493	3651.5421	3459.4089	2.37e+07	-72.59975	-646145.2	16	3727.018	792661.1	1164483	45_FNDC5	1	1	2	8.6	1	1	2	.2165341	-.3661064	.2165341	-.6084982	.2905068	0	-.3661064	.6533766	1.494155	.4935534	.7188681	1.150349	.7478586	.0760316	.0760316	-.0760316	0	1.024592	1.150349	.8122178	.5485223	1.024592	-.0348213	-.1046335	.9132499	1.150349	1.024592	-.1397103	.3928308	1.731664
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_C08	210104	1	NH774	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	0		0	1	6.3631442	1.8375984	1.5856016	1.2590952	3.507372	1	2	51	246960	4842	4149	7302	2818	51	1.849e+09	1	2481930	101035	102	259	143	116									33	3376.179	759808.1	984560.9	45_FNDC5	1	1	2	7.533333	1	1	2	-1.465234	-.8938006	-1.465234	.4438613	-.7916386	1.096804	-.7916386	-1.312981	.0338798	.6533766	1.024592	-1.150349						.5894558	.0348213	-.9132499	-.6314019	-.9132499	-1.479941	-.7188681	-.3186394	-.4692529	-.8122178	.9132499	-.7188681	.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_A02	210104	1	NH730	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	.889923	1	1	4	8.7179728	2.5181904	.17441618	1.020888	2.8058976	1	7	7	137089	5273	5166	15798	6382	26	2.532e+09	1	1894294	71225	111	195	119	80	140	479494	10423	4762.3971	4050.7758	4.96e+07	372.6217	1.36e+07	180	3591.728	788190	1021990	45_FNDC5	1	1	1	3.15	1	1	2	-.5244005	-.5244005	-.6971414	-.7916386	-.2165341	-1.690622	-1.281552	.0677986	-.5716375	-.3454851	-1.731664	-.2461637	0	.7478586	.6508373	.852495	.7478586	-2.200411	-2.200411	-.1749599	.1749599	-.5485223	.9132499	1.024592	-1.479941	-2.200411	-.0696849	-1.297543	-1.731664	-2.200411
