filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	irx3a_nwt	irx3a_dich	irx3b_nwt	irx3b_dich	irx3_nwt	irx3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_G01	210107	1	NI013	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	.6823906	1	.8411953	1	3	13.964329	3.2668416	1.3160493	1.2931248	5.3000288	1	7	7	298179	4385	4823	6021	1673	68	1.828e+09	1	3471069	129377	140	213	150	127	11	411444	1184	5588.9755	4771.7765	6617347	191.4446	-3.27e+07	43	3957.124	1070440	1235198	46_IRX3	1	1	1	2.416667	1	1	3	-.4477675	.8284646	-.6648088	-1.593219	1.099374	-1.096804	-1.310954	-.5933586	-.0442491	.3459081	.2686029	.0737913	-1.041553	-1.668391	-1.345167	-1.422911	-.9438661	.9345893	.146745	-1.23544	-.3186394	-.5005801	-.9345893	-1.23544	.3186394	.1046335	.8416212	-.2533471	-.3853205	.5485223
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D06	210107	1	NI044	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	0	0	0	0	0	0	1	9.0170154	4.2537	1.6331696	.9528288	5.2220872	1	38	38	298184	7847	5792	9153	2707	38	2.897e+09	2	2628980	110435	108	203	179	131	49	566372	3660	4547.247	4689.993	1.66e+07	-760.4076	-2.02e+07		4043.726	987461.9	1341833	46_IRX3	1	1	1	5.083333	1	1	3	-.1241019	-.030951	-.1241019	1.128144	-.5530241	.4011473	.2566249	.7025232	-.1182339	-.4742886	.7407855	-1.351702	-.2564297	-.5485223	-.583549	-.6193067	-.4471567	-.5485223	.1891184	1.23544	.4079188	.2318344	.1046335	-.1046335	-.2749777	-.146745	-.5005801	-.5485223	.3853205	.9027348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A05	210107	1	NI036	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.0994182	0	0	0	.0497091	0	1	8.8833042	3.062664	1.0464971	.2382072	.7014744	1	30	30															64	342968	5423	2741.4962	2490.5108	1.49e+07	-149.0296	4.42e+07	2	3669.137	799315.5	1019717	46_IRX3	1	1	1	4.383333	1	1	3	-1.593219	-1.714594	-1.868242	-.030951	-1.868242	.5095174	-2.075128	-.8003131	-1.88951	-2.104968	-.6289042	-1.471424	-1.611169	-.2873955	-.2257079	-.7318081	1.094332													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A01	210107	1	NI007	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1053719	0	0	0	.0526859	0	1	17.173398	3.6411672	2.5528186	1.2931248	6.5470944	1	1	1	243838	6252	4836	9904	4055	39	2.375e+09	1	2722980	106533	126	228	148	100	95	725086	7390	6261.3119	5378.0898	4.63e+07	197.4709	-1.13e+07	35	3906.463	986609.5	1346304	46_IRX3	1	1	1	1.983333	1	1	3	-.5530241	-.0619316	-.0929718	-.2501529	-.0619316		-1.055626	-.029494	.2533471	.3459081	1.516426	1.351702	.8122178	.1346898	.1046335	.2873955	-.1951978	-.4307273	-.3186394	.1891184	-.2749777	-.0627068	.4079188	1.072861	-.1046335	-.2749777	.2104284	-.0208901	-.5005801	-.7835004
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D05	210107	1	NI039	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	.9661689	1	.9830844	1	3	10.220416	2.6202792	.68180869	1.3271544	4.7544376	1	33	33	247805	7288	5448	10251	4159	34	2.601e+09	1	2063428	91034	100	203	150	121	161	365566	11669	6256.6103	5529.1967	7.30e+07	26.70988	1.09e+07	23	3969.438	944530	1314841	46_IRX3	1	1	1	4.6	1	1	3	-.3472613	-.4138112	-.2822162	-.7441428	-.1867561	1.375969	.6063177	-1.674066	-.4253408	.4253408	-1.616981	-.7603275	-1.422911	.7713894	.6558747	.7713894	.3821084	-.755415	-.1891184	.8122178	.1891184	.0208901	.5005801	1.150349	-.755415	-.6484922	-.7009514	-.5485223	-.3853205	.2318344
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_D03	210107	2	NI084	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.9644102	1	.8450413	1	.9047258	1	3	10.434756	3.6411672	1.1416332	1.0889472	5.1441456	1	29	78															168	702366	13029	5466.3241	5320.5418	7.12e+07	-534.2744	1.54e+07		4324.085	1062783	1431225	46_IRX3	1	1	2	9.283334	1	1	3	.8284646	.7441428	.4138112	2.085356	.4822482	-.8369914	.7670732	-.029494	-.2079166	-.1479871	-.3147636	-.6289042	.583549	.8544474	.8122178	.7318081	.5141561													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D02	210107	1	NI017	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1159058	0	0	0	.0579529	0	1	15.301441	5.274588	2.5845306	1.70148	8.6515176	1	11	11															43	763858	2008	5771.2151	5797.2309	1.16e+07	-753.2425	-5.86e+07	81	4458.244	1142217	1554548	46_IRX3	1	1	1	2.916667	1	1	3	1.714594	1.593219	1.714594	.8284646	.7238859	.6643075	2.493243	1.616981	1.129176	1.186831	1.616981	.4908544	1.21023	-.6193067	-.9915265	-.9438661	-1.611169													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D03	210107	1	NI025	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.0129464	0	.0440259	0	.0284862	0	1	15.836286	4.593996	.84036885	1.4973024	.4676496	1	19	19	451796	7790	7163	11400	3344	58	5.307e+09	1	4621461	181606	136	260	194	146	85	790214	6792	5738.1786	5428.8756	3.90e+07	-381.4737	-2.01e+07	24	4388.829	1035373	1482741	46_IRX3	1	1	1	3.516667	1	1	3	1.188674	.4477675	.7856053	1.253905	.4138112	.8841349	-.1915416	1.101709	-2.104968	.6469766	-1.248728	.8003131	1.274797	-.014921	-.014921	-.014921	-.4144133	.7279133	1.072861	1.150349	1.56892	1.330562	.8122178	.5485223	.9345893	1.072861	.6229257	.755415	.7009514	1.959964
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_D04	210107	2	NI091	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	12.605049	5.0023512	.87208088	1.2590952	7.014744	1	36	85															25	573670	2223	6407.2848	5813.4846	1.42e+07	-135.035	-5.64e+07	11	4516.517	1155690	1542465	46_IRX3	1	1	2	9.783334	1	1	3	2.502106	1.714594	1.593219	1.714594	.5894558	1.296494	1.055626	1.315817	.3773919	.2533471	-1.101709	-.088585	-.1951978	-1.016222	-.8982587	-.8544474	-1.510357													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_A03	210107	2	NI081	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.0679832	0	.0397005	0	.0538419	0	1	18.633642	4.934292	1.4904655	1.531332	7.1706272	1	26	75	583190	7290	5091	8597	2496	80	5.036e+09	1	5423160	212357	157	268	176	144	238	819632	18160	8756.0077	7754.6361	1.59e+08	80.45261	2.99e+07	54				46_IRX3	1	1	2	9.1	1	1	3								1.217197	.4578519	.7407855	.5413951	1.737194	1.510357	1.150349	1.274797	1.611169	.8982587	1.56892	1.959964	.871771	-.0627068	1.23544	-.2318344	-.4537622	1.150349	1.439531	1.439531	1.001331	.2967378	1.731664
