filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N74_nwt	N75_nwt	notch2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G07	210114	1	NI723	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	11.781604	2.382072	.42811243	.6465624	2.1044232	1	47	47	163562	3207	2867	4832	1381	51	7.670e+08	1	4321854	129151	162	213	166	149	52	540082	3463	3507.4291	3176.2394	1.21e+07	14.07581	-7983350	16	4146.63	1032323	1406402	47_NOTCH2	1	1	1	6.65	1	1	5	-.0729317	.0729317	-.1315391	-2.109706	-.2203721	-.9191355	-.9357584	.2126769	.1857618	.2261913	0	-.6413788	-.425144	-.3266899	-.425144	-.4022501	-.6165979	-.5112223	-1.116127	-1.294762	-1.628361	-1.116127	-1.116127	-1.171546	.1737411	-.5112223	.9674216	-.7776394	-.2922246	1.899709
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D06	210114	1	NI714	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0097952	0	0	1	16.68542	3.6411672	.82451283	.9528288	.6235328	1	38	38	339317	5563	5286	9694	3601	61	3.327e+09	1	4879640	153383	164	232	194	128	79	711878	6588	3862.2668	3305.5811	2.54e+07	212.2182	2787103	261				47_NOTCH2	1	1	1	5.875	1	1	5								1.572695	-1.44889	1.937932	1.025212	.7255982	.3919137	.4588506	.4588506	.4364642	.2695584	.3837693	.2922246	.0288158	.5443409	.4465882	.5780677	.8791677	.414974	.1155036	1.089662	-.4625623	.3683079	.4948732
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_A03	210114	1	NI690	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	12.762367	3.0286344	.47568048	.85074	4.1309048	1	14	14	297745	5955	4883	12500	5248	50	3.450e+09	1	3302554	118504	125	220	150	130	18	694904	1488	2685.8522	2657.4861	3996548	-179.04	-5994193	39	4090.059	1001548	1464721	47_NOTCH2	1	1	1	3.6	1	1	5	-.2203721	-.2203721	.1906023	-.568394	-.4683492	-.0619316	1.26794	1.025212	1.572695	1.572695	.2261913	-.3539128	.231311	-1.720366	-1.49795	-1.708735	-.4364642	-.5951785	-.1155036	.3224307	.0288158	.5780677	1.230818	1.899709	-.5780677	-.6835603	-.2622828	-.6476036	-.6654744	.6835603
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D03	210114	1	NI693	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.9749708	1	1	3	9.5525969	2.0077464	.31712032	.6465624	3.507372	1	17	17	157009	4132	4262	7166	2704	38	1.125e+09	1	1881576	75576	115	161	135	96	30	427226	1839	2361.2382	2485.189	4342317	-294.9189	-2280943	108				47_NOTCH2	1	1	1	3.883333	1	1	5								-.2533471	1.223734	.2261913	-.8605722	-1.217526	-1.331797	-.9755887	-1.135663	-1.396713	-.1098857	-1.089662	-1.171546	-.8375226	-.5112223	-.8791677	-.2030698	-.0288158	-1.230818	-1.230818	-.7392254	-1.628361	-1.116127	-.9223964
InsH2Bfabp_CD15_09dpf_VAST02_plate02_NOTCH2_210114_A01	210114	2	NI739	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0356973	0	0	1	23.499679	2.9605752	.38054438	.6125328	2.6500144	1	14	63															77	584056	6067	4322.4391	3683.2461	2.62e+07	214.8554	-3814592	35	4323.33	1058566	1506517	47_NOTCH2	1	1	2	8.05	1	1	5	.4683492	.2503385	.5344601	1.622711	1.894644	-.7039218	-1.26794	.7864926	.5244005	-.0131932	-.4501094	2.145475	-.3266899	.4084725	.3919137	.4711971	-.3021995													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_NOTCH2_210114_A03	210114	2	NI752	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0166418	0	0	1	12.184371	1.6674504	.55496056	.4764144	1.169124	1	27	76	198076	3001	3620	5384	1688	66	1.002e+09	1	5146608	144301	151	207	184	146	91	476302	8324	3516.7034	3016.3071	2.93e+07	217.1055	1.23e+07	110	3976.1	899998.2	1236709	47_NOTCH2	1	1	2	9.083333	1	1	5	-.7887937	-1.164587	-1.164587	.1610005	-1.358142	.1553528	-1.879026	-1.003148	-.6175954	-1.094618	.5093223	-.5152434	-.9275163	.5995885	.7946292	.6942906	.8195021	.6835603	-.8375226	-1.528305	-1.014499	-.9674216	-.9674216	-.9674216	.7204233	-.0576556	.7582926	-.8791677	.1010129	1.628361
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D02	210114	1	NI686	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	14.723894	3.9814632	1.2209132	.8847696	4.9882624	1	10	10	291397	5396	4811	11053	4061	54	3.033e+09	2	4866748	143715	168	234	208	118	277	958916	21646	4417.508	3779.2917	9.56e+07	193.5667	6.37e+07	0	4521.035	1143637	1607005	47_NOTCH2	1	1	1	3.3	1	1	5	1.435436	.9596939	1.108973	.7496121	.8710608	1.868242	.9836224	2.1497	1.788569	1.670923	2.1497	.2013492	1.59929	1.873672	2.090361	1.862732	2.080278	-.3376431	-.2325743	-.0865434	-.0865434	.2922246	.9223964	1.014499	.3837693	-.1155036	1.441564	-.3683079	.9223964	-.1155036
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_A08	210114	1	NI725	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	11.424963	2.1778944	.28540829	.2041776	.2338248	1	49	49	33732	3067	4660	2034	1184	11	95488320	1	365333	24822	64	136	74	52	38	418702	2957	2816.9324	2911.9756	8329669	-356.2696	-6634972	2	3930.674	986744.1	1310355	47_NOTCH2	1	1	1	6.783333	1	1	5	-1.056592	-.3417246	-.6744897	-.3109825	-.5011308	.2183448	-.8034983	0	-2.558043	-1.788569	-1.070909	-.6744897	-1.41001	-.7332358	-.6365926	-.6942906	-.5065081	-2.114381	-2.114381	-1.441564	-.1737411	-2.114381	-1.899709	-1.441564	-1.899709	-1.899709	-1.748025	-1.899709	-1.899709	-1.685179
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D07	210114	1	NI720	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	10.53336	1.9056576	.36468837	.5444736	1.3250072	1	44	44	319452	5508	5591	6988	2409	58	2.186e+09	1	4008034	161209	119	226	214	120	106	534940	9240	3466.0786	3171.3825	3.20e+07	-21.39072	1.20e+07	37	4006.069	982661.8	1321212	47_NOTCH2	1	1	1	6.433333	1	1	5	-.6383348	-.404226	-.568394	-.1315391	-.0145739	-1.018076	-.338562	-.6175954	-.4795057	-.6995466	-.5859714	-1.018352	-.4930868	.8372732	.9275163	.7764218	.7764218	0	.0288158	0	.8375226	-.2922246	-.3224307	-.2325743	0	.352934	-.5443409	-.5443409	1.171546	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D01	210114	1	NI679	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	14.010611	2.722368	.42811243	.2382072	4.5985544	1	3	3	520794	8267	6330	14664	4620	63	6.996e+09	1	5142841	193212	136	275	185	120	70	764955	5648	3212.3637	2842.1543	1.81e+07	123.7489	4543419	59	4295.624	1125663	1573359	47_NOTCH2	1	1	1	2.8	1	1	5	.4360634	.8292257	.9596939	.9596939	1.056592	-.3145723	-.6463197	.5395989	1.670923	-1.619856	0	.1068681	.7533835	.200022	.2628283	.1731927	.3685006	.5112223	1.364489	2.527302	1.628361	1.899709	1.899709	1.441564	.6835603	.9674216	.1591341	.5277092	.144561	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G05	210114	1	NI709	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	14.991375	1.8375984	.55496056	.5785032	.7014744	1	33	33	314319	4622	4182	11769	4297	68	3.775e+09	1	4401561	154918	122	286	147	128									357	4482.352	1084481	1548327	47_NOTCH2	1	1	1	5.4	1	1	5	1.108973	.6029956	.8292257	1.358142	-.2805315	1.128144	.8459325	-.7336569	-1.223734	-.3221112	.5093223	.3116334						.7204233	-.0288158	-.5780677	-.5951785	.7582926	1.063939	1.171546	.2030698	.1737411	-.3837693	.6835603	-.7972819	.4948732
