filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	bcl11a_nwt	bcl11a_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_D02	210117	2	NH523	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	10.877517	.4764144	.20612821	.0680592	.2338248	1	29	78	336605	6473	6279	6362	2191	52	2.138e+09	1	5580624	173513	135	317	228	87	98	634010	9328	5193.9285	4364.7214	4.84e+07	269.4219	1511436	20	4268.431	1074028	1486509	48_BCL11A	1	1	2	8.983334	1	1	7	.518418	.2193353	.3834463	-.0175298	.5940965	-.4672965	-.1606864	.8856685	-1.666864	-1.524481	-.4933082	-.8207921	-.0809473	-.0404405	.1624294	.1978822	.0081385	-.1740978	.1844524	.4645183	1.145427	-.3754618	-.5574269	-.6056978	1.034691	.6303658	.0918348	1.206455	1.546635	-1.513781
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_G02	210117	2	NH526	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2		.1020888		.0340296	.1558832	1	32	81	254547	3857	3331	5952	1964	66	1.537e+09	1	4140133	135128	116	325	147	123	90	347292	7089	3360.8283	3288.768	2.38e+07	-280.3784	1.15e+07	23	3625.651	865769.4	1207235	48_BCL11A	1	1	2	9.2	1	1	7	-1.971987	-1.360692	-1.239183	-.8441217	-1.034935	-.823767	.0890049	-2.008539	-2.072525	-2.146324			-2.338625	-.0809473	-.0809473	-.4578519	.4456582	.6938044	-.6554235	-1.617868	-1.617868	-.9042674	-.9042674	-.9042674	.0407695	-.2052224	-.8157657	1.369856	-.9353781	.475899
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G07	210117	1	NH495	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0151934	0	1	15.678009	.3743256	.19027219	.4083552	.2338248	1	1	50	435338	6046	5094	8955	2743	72	3.970e+09	1	5456322	204556	129	279	205	158	344	729246	25207	7044.9127	6232.8614	1.78e+08	-107.7421	7.05e+07	0				48_BCL11A	1	1	2	6.733334	1	1	7								.1361284	-1.666864	1.065556	-.7575541	.5894558	.4695036	2.06726	2.003149	1.593219	1.892371	.9512777	.9674216	.0611754	-.143141	1.034691	.4645183	.2260813	.8740081	1.31953	-.0407695	.3974212	.7332358	1.844979
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D07	210117	1	NH492	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	16.112446	.3062664	.3012643	.2382072	1.8705984	1	47	47															152	735914	12175	5629.0545	4954.8651	6.85e+07	.6779257	2591746	0	4168.897	1124781	1523160	48_BCL11A	1	1	1	6.433333	1	1	7	.0784124	.7301839	.6420614	-.0526109	.8952951	.7030663	-.1247655	-.4630729	.4899012	-.3930704	.511538	.809373	.543048	.580926	.5618862	.5894558	.0407033													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A06	210117	1	NH482	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.039548	0	1	15.591121	.4423848	.23784024	.4423848	1.94854	1	37	37	352728	6532	5668	9001	3511	54	3.177e+09	1	4389171	172386	139	275	178	121	119	675166	9721	5034.5014	4302.1739	4.89e+07	184.5958	4017085	26	4112.802	1072040	1458561	48_BCL11A	1	1	1	5.5	1	1	7	-.1309267	.2015382	.1661288	.8193489	.0175298	1.545182	-1.306186	.6795092	.5820848	1.365887	-.0160688	.5700741	.1624294	.1297374	.2283749	.2314136	.1223809	-.0407695	.2681058	.5104216	.6554235	.5337768	.5337768	1.070148	.143141	.5574269	.2052224	.3106094	.0407695	.4307273
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A04	210117	1	NH469	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	15.243571	.4083552	.34883235	.3743256	.4676496	1	24	24															247	696282	18975	6848.5414	5905.748	1.30e+08	86.03781	3.34e+07	0	4339.339	1121551	1539684	48_BCL11A	1	1	1	4.483333	1	1	7	.8743192	.663603	.7531015	-.2842435	.7712489	-1.145992	-.8091311	.4630729	-.8507568	.7730539	.7683021	.4397327	.2784784	1.281552	1.245622	1.393731	1.111778													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G04	210117	1	NH473	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2		.1020888	.22198422	.1020888	0	1	28	28	487470	6500	5152	5922	1876	75	2.947e+09	2	6284030	212778	166	244	211	148	278	755674	21020	9265.0202	7997.6595	1.95e+08	7.474037	3.08e+07	2	4128.194	1153238	1544499	48_BCL11A	1	1	1	4.783333	1	1	7	-.0435316	1.00999	.8001721	.15842	.8694237	.8755128	.325661	-2.008539	-2.728131	-1.024218	-.2268854		.7209054	1.544032	1.445252	1.997678	1.053291	1.249774	1.31953	.4873416	-.0407695	.4195739	-.9353781	-1.000491	1.482485	1.369856	1.698407	-.2999338	1.017442	1.617868
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_G01	210117	2	NH518	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0358673	0	1	11.075486	.3743256	.33297634	.2041776	.5455912	1	24	73															31	570936	2144	4109.7416	3514.0457	8811286	199.8439	-1.07e+07	43	4125.247	908865.7	1273061	48_BCL11A	1	1	2	8.633333	1	1	7	-.0609627	-.9001216	-.8243825	1.621572	-.9767936	.5918413	-.3824499	.1361284	-.6895999	-.6300492	.6644377	-.7109355	-.5059336	-1.245622	-1.445252	-1.486092	-.4277527													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G02	210117	1	NH460	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.9974299	1	2	10.030319	.2722368	.19027219	.3062664	.7014744	1	15	15	307549	5396	4964	10949	3652	57	3.343e+09	1	3538641	146689	134	274	161	119	85	479550	5908	4208.0779	3897.1707	2.49e+07	-158.7766	-7019616	0	4061.067	916462.1	1301787	48_BCL11A	1	1	1	3.416667	1	1	7	-.3278097	-.8490862	-.663603	-.3768384	-1.621572	-.1813217	.9962083	-.828048	-.535424	.1603423	-.7575541	-1.154327	-1.086135	-.1215874	-.2617056	-.403916	-.2888094	.1328539	-.1020724	-.3974212	-.247039	.7332358	1.482485	1.369856	-.3754618	-.0203805	.0611754	.2681058	-.6179848	.3213206
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D09	210117	1	NH507	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0155145	0	1	12.984495	.3062664	.25369626	.2382072	1.8705984	1	13	62	466980	6577	5425	5574	1668	71	2.745e+09	1	5332339	203348	163	260	199	130	40	688033	3744	5336.9209	4393.2656	2.00e+07	378.3694	-2.79e+07	64	4244.935	1083060	1471780	48_BCL11A	1	1	2	7.766667	1	1	7	.3647771	.3278097	.2731704	-.1406937	.4826129	.5079181	.5407898	-.4630729	.4899012	-.3930704	.1532449	-.0737913	.2283749	-.8767082	-.807541	-.5700741	-.9982012	.889036	1.145427	.5574269	.3320687	.2892923	-1.070148	-1.227826	.7876622	1.272341	1.396375	-.1123207	.6056978	.9197114
