filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N78_nwt	N79_nwt	N80_nwt	lpl_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_A05	210125	2	NI537	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	1	1	1	5	13.160564	1.531332	7.7694478	12.999307	34.684012	1	20	69	275809	7661	5886	7409	2489	36	2.134e+09	1	2495584	120860	105	241	176	103	6	392721	305	2750.5607	3170.1822	838921	-396.7266	-1.19e+07	16	3743.269	814777.5	1125245	49_LPL	1	8	2	3.816667	1	1	4	-.5059336	-.6744897	-.6001788	-1.036433	-.807541	-1.644854	-.7582926	-.6533766	.6533766	-1.150349	-.0677986	.5321897	-.7188681	-.5084881	-.6314019	-.852495	-.7478586	-.6193067	.3186394	1.345167	1.611169	.3186394	.2257079	.1346898	-.3186394	.3186394	-.4144133	.1800124	.4144133	-.1346898
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_B07	210125	2	NI552	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	.0600907	0	0	1	10.010103	2.0758056	9.3709055	14.020195	30.70899	1	35	84															0	928626	0		4272.5137				13	4354.473	1127682	1556910	49_LPL	1	8	2	4.7	1	1	4	1.057414	1.036433	1.211232	.9027348	1.057414	-.6744897	.6476036	0	.2743915	-.7188681	.4935534	-.5716375	1.297543	-1.731664	-1.731664															
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_A03	210125	2	NI529	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.862083	1	1	1	5	10.403911	1.020888	12.573821	15.211231	30.475166	1	12	61	145577	4853	5317	10577	3348	30	1.481e+09	1	1664330	69688	85	219	151	102	0	417396	0		4725.8051				22	3706.049	779651.5	1125289	49_LPL	1	8	2	2.85	1	1	4	-.7000902	-1.036433	-.5059336	-1.191816	-.9252446	-2.128045	-.6476036	-1.744448	.2046599	.1046335	1.494155	-.4935534	-.5485223	-1.731664	-1.731664			-.8544474	-.5141561	-.5141561	.4144133	-.0447762	1.611169	.9915265	-.6193067	-.6193067	-.9915265	-.1346898	-.2257079	-.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_F05	210125	2	NI542	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	1	1	1	5	10.502363	2.4841608	8.6256727	11.127679	25.097195	1	25	74	184302	4096	3574	7154	2592	45	1.359e+09	1	2912660	107759	114	218	194	83	2	538112	192	5203.1615	4352.1656	999007	-703.421	-1.53e+07	3	3814.857	879347.3	1234765	49_LPL	1	8	2	4.1	1	1	4	-.2450062	-.4770404	.1624294	-.1256613	-.4604945	2.128045	-1.014499	.6533766	-.8808881	-1.731664	.2046599	-.4183713	.1749599	-.7647097	-.7188681	-.7478586	-1.4342	.1800124	-.3186394	-.9915265	-.8544474	-.4144133	.1346898	.2257079	.0447762	-.3186394	.0447762	-.2257079	.6193067	-.9915265
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_A02	210125	2	NI522	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.3329078	1	1	5	11.585334	2.5862496	6.5802466	17.218978	8.7294592	1	5	54																								3653.759	796519.2	1120788	49_LPL	1	8	2	2.466667	1	1	4	-.9252446	-.7835004	-.7000902	.2967378	-.3292913	.2967378	1.628361	.9319713	-1.744448	1.479941	-.6119958	.0338798																		
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_A06	210125	2	NI544	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1		1	1	5	12.668305	1.4973024	9.3867615	15.823764	37.645793	1	27	76	207834	5329	5608	3936	1153	39	8.377e+08	1	2646360	103314	108	191	148	120	1	458274	32	2897.0313	4859.1967	92705	-4193.196	-1.78e+07	29	3892.582	887541.8	1232671	49_LPL	1	8	2	4.216667	1	1	4	.0809473	-.3853205	.0809473	-.2967378	.0809473	.7835004	-.352934	-.8320063	1.312981	.5485223	.5716375	.4183713	-.1749599	-1.085325	-1.085325	-1.690622	-2.166107	-.4144133	-.2257079	-.2257079	.8544474	-.6193067	-.8544474	-.8544474	-.2257079	-.4144133	-.2257079	-.7318081	-.3661064	.5141561
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_F06	210125	2	NI549	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	0	0	0	1	13.849727	2.722368	6.913223	14.46258	27.903093	1	32	81	276458	6144	5215	6815	2868	45	1.789e+09	2	3006903	120123	101	341	154	111	62	699956	4976	3960.4047	3764.0421	1.97e+07	-573.2257	5171972	8	4125.961	1003776	1372069	49_LPL	1	8	2	4.533333	1	1	4	.807541	.4770404	.5059336	.3853205	.5059336	.5729675	.4465882	1.312981	-.2046599	-.4692529	-.2743915	.785036	.8122178	.8122178	.8122178	.852495	.9674216	.1800124	.4144133	.4144133	.3186394	.0447762	-.0447762	.7318081	.1346898	.1346898	-.5141561	1.345167	-.1346898	.2257079
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_D08	210125	2	NI558	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	0	0	0	1	7.8441617	1.9737168	8.9745051	15.109142	26.81191	1	41	90	435828	5890	4695	7552	2245	74	3.245e+09	1	4856842	192154	153	252	205	141	8	756364	592	3034.9257	2718.0998	1796676	943.0077	-9522662	0	4115.009	979596.3	1387636	49_LPL	1	9	2	6.133333	2	1	4	.5059336	.3853205	.7000902	.1256613	.7000902	-.1256613	-.1737411	-.1017956	-.4183713	.0348213	.3454851	-.9319713	.9132499	-.2461637	-.2461637	-.3086658	-.2298841	1.150349	1.150349	.1346898	-.2257079	1.150349	.3186394	-.0447762	.8544474	.9915265	.8544474	.4144133	1.067571	1.611169
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H08	210125	2	NI561	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	0	0	0	1	13.849727	2.7904272	8.1024242	15.789734	30.864874	1	44	93															90	763114	7698	2722.1376	2317.7398	2.10e+07	1564.845	1.09e+07	35	4047.644	1033399	1418874	49_LPL	1	9	2	6.383333	2	1	4	.4159872	.7835004	.807541	.5729675	.3292913	1.036433	.7582926	1.494155	.3454851	.4692529	0	.785036	1.024592	1.150349	1.297543	1.096804	1.096804													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_A04	210125	2	NI532	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.756436	.6792453	1	1	5	13.160564	3.5050488	6.5009666	16.606445	25.720728	1	15	64															2	629936	112	3202.8839	4472.216	358723	-2983.951	-1.64e+07	65	3996.191	907549.8	1242810	49_LPL	1	9	2	3.15	2	1	4	.3292913	-.0417893	.2450062	-.5729675	-.1624294		.8791677	2.211127	-.6119958	1.024592	-.8320063	.5321897	.6314019	-.7647097	-.8122178	-1.096804	-1.690622													
