filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N84_nwt	phlpp1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_A04	210125	1	NI929	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	.6871766	1	3	15.81833	.7486512	.57081658	.4764144	2.0264816	1	19	19															273	737272	21015	5764.0248	5115.2614	1.21e+08	39.3241	7.47e+07	0	4162.885	1076705	1485656	51_PHLPP1	1	1	1	9.266666	1	1	4	1.045537	1.045537	1.422333	.777914	.8773774	-.5944087	.4913366	.8266231	.4864239	1.244452	1.281552	.9500138	.6027625	2.47474	2.47474	2.47474	2.47474													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C05	210125	1	NI937	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	12.395797	.510444	.55496056	.3062664	2.9617808	1	27	27	381164	7623	4827	9082	3111	50	3.303e+09	1	4287852	161063	132	232	165	143	75	681750	7389	4782.7055	4160.9296	3.53e+07	129.1395	3001006	12	3967.266	985009.4	1379127	51_PHLPP1	1	1	1	9.866667	1	1	4	.2497032	.3986639	.6416095	.2497032	.2134373	2.006752	-.1642108	.1416912	1.613358	-.1340876	1.20899	.3360381	.2706416	.184867	.4491363	.6850168	.3763366	.2186495	1.061503	1.496147	.0723697	1.496147	.9051525	.9803303	.7050659	1.061503	.2683089	-.0482231	-.0241045	2.069902
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_A02	210125	1	NI917	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	.0666918	0	1	8.2245847	1.1570064	.31712032	.2722368	.3117664	1	7	7	114996	2875	2668	4855	1509	40	5.477e+08	1	1551970	73526	95	200	126	107	29	417486	2496	3406.1194	2827.9425	8501674	248.6881	-4090941	47	3476.336	794724.8	1035059	51_PHLPP1	1	1	1	8.083333	1	1	4	-2.455101	-1.422333	-1.527002	-1.108593	-1.045537	-.0374211	-.2571002	2.031014	-1.405072	-.4307273	.4124631	-.9762363	-1.554774	-.7721932	-.8656782	-.9674216	-.167894	-.6151411	-1.496147	-2.341027	-2.341027	-1.362383	-.8347719	-.9803303	-1.150349	-1.150349	-.9051525	-.5299395	-1.104836	-.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_E03	210125	1	NI926	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	10.042805	.4423848	.28540829	.2382072	1.3250072	1	16	16															125	613718	9348	4444.7204	3797.945	4.15e+07	198.5655	1.46e+07	3	3971.194	886405.3	1196020	51_PHLPP1	1	1	1	8.933333	1	1	4	.2863006	-.3986639	-.4763812	.1061127	-.8773774	-.9476973	-.8837863	-.267957	-.0334279	-.7279133	.1509692	-.3888753	-.0668933	1.050837	.9153651	.9153651	.8656782													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_G05	210125	1	NI941	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	11.219301	.4423848	.19027219	.2382072	1.4808904	1	31	31	110875	3465	3054	4933	1344	32	5.339e+08	2	1036061	58602	82	139	110	107	71	606406	5440	5150.5599	4370.7407	2.80e+07	261.5036	-7427330	79	3928.092	872244.3	1178823	51_PHLPP1	1	1	1	10.13333	1	1	4	.070668	-.5988157	-.5988157	-.2863006	-.1416912	.8363019	.5751093	-.267957	.0836517	-.7279133	-.5631492	-.0825485	-.236128	.0836517	0	.2706416	-.3406948	-1.249346	-1.898029	-1.663793	-1.898029	-1.496147	-.7683021	-1.249346	-1.898029	-1.898029	-1.898029	-1.898029	-1.249346	-.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C06	210125	1	NI945	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	5.9785474						35	35	129856	4478	3735	4563	1110	29	6.050e+08	1	2369142	74649	114	146	139	121	71	493910	6445	1774.1592	1619.7988	1.14e+07	-27.26088	1.67e+07	30	3538.099	822089.9	974138.2	51_PHLPP1	1	1	1	10.51667	1	1	4	-1.527002	-1.108593	-2.455101	.17745	-.9863861	-2.434185	.5327554					-1.937932	-.7721932	.0836517	.236128	-.6027625	1.080319	-1.426077	-1.362383	-.7683021	-1.150349	-1.249346	-1.362383	-1.362383	-.5862727	-1.061503	-.2933812	-1.663793	-.8347719	.6151411
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_G04	210125	1	NI934	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	6.1924557	.170148	.28540829	.2041776	.8573576	1	24	24	148006	4353	3804	10171	3785	34	1.539e+09	1	2045922	84495	100	194	126	103										3592.358	767314.8	1024936	51_PHLPP1	1	1	1	9.616667	1	1	4	-1.422333	-1.527002	-1.65172	-.5570917	-1.527002	.6862788	-1.159195	-1.527002	-.3054808	-.9944579	.1509692	-1.684395						-1.150349	-1.150349	-.9803303	-1.061503	-.3697907	1.362383	1.663793	-.8347719	-.7683021	-.7363159	-.7050659	-1.104836	-.6151411
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C01	210125	1	NI913	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	13.679246	.6125328	.63424064	.2722368	2.6500144	1	3	3	114934	4105	3892	3093	925	28	3.739e+08	2	1331906	61671	93	169	108	97	83	608144	7936	6257.6852	5397.0475	4.97e+07	216.7099	-988261.5	0	4145.3	1053736	1443771	51_PHLPP1	1	1	1	7.766667	1	1	4	.9304992	.8773774	1.108593	-.035312	1.045537	-.2263933	1.090797	.5163159	.9674216	-.4307273	1.451407	.7379805	-.2018935	.3943355	.5631492	1.14229	.0668933	-1.663793	-1.663793	-1.150349	-.9051525	-1.898029	-1.663793	-1.496147	-1.362383	-1.362383	-1.020076	-1.249346	-1.426077	-.7683021
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_A06	210125	1	NI943	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	12.074934	.7826808	.50739251	.4083552	1.8705984	1	33	33	343317	5364	4658	8113	3049	64	2.631e+09	1	3817581	162950	132	253	151	122	93	723962	8312	3702.5733	3316.2754	3.08e+07	-2.959213	1.09e+07	0				51_PHLPP1	1	1	1	10.31667	1	1	4								.9863861	.3763366	.6027625	1.022241	.2329639	.5631492	.5244005	.6027625	.3763366	.7721932	1.061503	.7683021	-.2186495	-.1695239	.6445316	.4752407	.8347719	.5862727	1.150349	.2683089	.6151411	-.2683089	.7363159
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C02	210125	1	NI919	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	12.074934	.680592	.12684813	.4083552	.3117664	1	9	9	208108	5477	4344	8719	2621	38	1.752e+09	1	2402054	92498	101	243	172	84	152	675443	13184	3799.9178	3412.9908	5.01e+07	-14.16736	2.88e+07	7	4153.789	956612.6	1359089	51_PHLPP1	1	1	1	8.283334	1	1	4	.9863861	0	.3607185	-.2497032	.1595451	-.1881663	-1.407024	.708116	-1.405072	.6027625	-1.678071	.2329639	.2018935	1.20899	1.361571	1.20899	1.361571	-.7363159	-.4219289	-.1208042	-.4219289	-.1208042	.7683021	.5862727	-.4752407	-.5299395	-.6445316	.2186495	.2434042	-1.362383
