filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	slc2a10_nwt	slc2a10_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_A05	210127	1	NJ301	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.8317085	1	3	8.8727273	.3743256	.57081658	.1020888	.5455912	1	25	25	498761	7335	5875	11046	3562	68	5.510e+09	1	4993396	200785	137	249	247	119	75	471564	5793	2845.7107	2863.3301	1.65e+07	-290.086	9084515	6	3813.635	811323.3	1114433	52_SLC2A10	1	1	1	4.2	1	1	5	-.4864239	-1.671644	-1.281552	-1.82788	-.9153651	-1.071858	-1.080319	-.8741759	-.8537231	-1.376912	.4987188	-.9750298	0	.4578519	.4908544	-.4930868	.425144	1.23808	1.88951	1.486092	.8207921	1.88951	1.351702	1.486092	1.23808	1.486092	.5700741	.1728808	2.333769	.3251097
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_A02	210127	1	NJ283	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.0169946	0	1	17.879273	1.70148	.85622486	.6465624	1.558832	1	7	7	688931	7829	6813	7848	2359	88	5.603e+09	1	7378509	262196	160	361	218	108	46	843893	3661	4558.1276	4243.5167	1.67e+07	-196.1404	-863219.1	0	4311.768	1243677	1770747	52_SLC2A10	1	1	1	2.616667	1	1	5	.9674216	1.273889	1.833915	1.13409	.9153651	.3635204	.167894	1.185158	.6482026	1.495318	2.535274	.6217734	1.616981	-.029494	-.029494	-.4588506	.200022	2.333769	2.333769	1.88951	1.88951	2.333769	.6289042	.3511308	2.333769	2.333769	1.88951	1.654435	1.351702	-.2482751
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_E01	210127	1	NJ280	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.9399456	1	3	10.862545	.4764144	.50739251	.340296	1.2470656	1	4	4	326961	6169	5361	6782	2170	53	2.197e+09	1	3386424	129251	138	254	146	110	24	528218	1778	5033.1699	4347.6241	8948976	156.8207	-9367150	0	3715.044	829282.6	1148004	52_SLC2A10	1	1	1	2.433333	1	1	5	-.7279133	-1.273889	-1.20899	-.9584461	-.9674216	.9061341	.5244005	-.6309245	.227256	.0563585	-.0140826	-.4887764	.2079166	-.4742886	-.4578519	-.8814972	.0764961	.2993069	.689997	.5131547	.4578519	.5131547	.098458	-.0491694	.098458	.1479871	.659143	.4578519	-.3511308	-.1231848
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_C03	210127	1	NJ291	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	1	1	3	8.6632727	.5444736	.3964004	.5444736	.9352992	1	15	15	288394	4972	4579	11197	3280	58	3.147e+09	1	2739524	121444	118	206	170	110	84	461574	6711	3283.6811	3105.2016	2.20e+07	-135.7454	1.29e+07	6	3583.943	816048.6	1050192	52_SLC2A10	1	1	1	3.133333	1	1	5	-1.20899	-1.444321	-1.678071	-.5916962	-.8180418	.5518063	-2.47474	-.4358834	-.2562565	1.05345	-1.185158	-1.071175	-.088585	.6110349	.6289042	-.3591108	.4588506	.5700741	.2993069	-.2993069	-.3511308	1.23808	1.486092	1.138523	-.403916	-.098458	-.1231848	-.5413951	.5131547	-.1231848
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_E02	210127	1	NJ287	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.9937777	1	3	11.700364	.0340296	.47568048	.1361184	.3117664	1	11	11																							222	4026.971	956537.8	1276381	52_SLC2A10	1	1	1	2.866667	1	1	5	.167894	-.1873945	-.236128	-1.201055	-.4491363	-.2920214	-.8180418	-2.282295	-1.639431	-1.029232	-.3001733	-.3036906																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_A06	210127	1	NJ305	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.0264493	0	1	11.176727	.6465624	.57081658	.4083552	.8573576	1	29	29																							182	3902.292	942421.6	1273854	52_SLC2A10	1	1	1	4.483333	1	1	5	-.1004337	-.2219866	-.2706416	-.1530252	-.4864239	.8082982	-1.554774	-.1841031	-.3898747	.3747248	.4987188	-.3945408																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_E04	210127	1	NJ300	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.9460418	1	3	7.7207273	.4083552	.45982446	.3062664	.389708	1	24	24	188069	4478	3712	12415	4366	42	2.441e+09	1	1885	723	15	19	14	12	21	394682	1633	2254.3582	2124.3567	3681367	-14.88373	1715061	124	3747.916	761931.4	1035956	52_SLC2A10	1	1	1	4.15	1	1	5	-.6850168	-2.469942	-1.833915	-2.469942	-1.833915	.1530252	-1.678071	-.7563519	-1.275175	-.227256	-.4358834	-1.447606	-.6652629	-.5244005	-.5585475	-1.49795	.2628283	-.403916	-.689997	-.6289042	-1.049131	.6289042	2.333769	2.333769	-2.333769	-2.333769	-2.333769	-1.88951	-2.333769	-1.88951
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_A04	210127	1	NJ296	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	1	1	3	10.338909	.340296	.50739251	.340296	1.2470656	1	20	20	186705	6668	4828	5969	2216	28	1.188e+09	2	1474745	76391	101	177	127	94	50	343232	2913	2879.1819	2730.5711	8387057	-100.9354	1962674	26	3305.084	770185.9	973181.1	52_SLC2A10	1	1	1	3.483333	1	1	5	-2.053749	-2.048199	-2.47474	-.8561915	-1.080319	-.3999556	-2.053749	-1.029232	.227256	.0563585	-.0140826	-.6567159	-1.217197	.1479871	-.2381501	-1.026029	.2946089	-1.186831	-.7537816	.8207921	-.098458	-.5131547	-.2482751	.098458	-.8917089	-.8917089	-.689997	-1.049131	-.8207921	-.8917089
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_C02	210127	1	NJ285	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.9753208	1	3	9.7105455	.7486512	.58667259	.4423848	.779416	1	9	9	317440	11337	9029	10064	3034	28	3.485e+09	1	2856826	110489	114	222	149	112	129	612452	9486	3634.6286	3485.2236	3.45e+07	-230.4294	2.25e+07	409	3816.812	863152.4	1169223	52_SLC2A10	1	1	1	2.766667	1	1	5	-.4491363	-1.013522	-.9153651	-1.13409	-1.678071	1.13409	-.9674216	0	-.4828342	.5471588	.6833558	-.8456872	.5933586	1.217197	1.217197	.045869	.7533835	-1.186831	.6289042	2.333769	2.333769	1.654435	1.23808	.8207921	-.2993069	-.2993069	-.2993069	-.1479871	-.2737019	-.0491694
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A10_210127_A01	210127	1	NJ277	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	9	.8923743	1	3	12.538182	.6465624	.60252861	.4423848	1.94854	1	1	1																								3960.888	935169.1	1270100	52_SLC2A10	1	1	1	2	1	1	5	.0334279	-.3275615	-.3054808	-.6744897	-.3406948	-.0847849	-1.20899	-.1841031	1.214075	.5471588	.8950011	-.1573107																		
