filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N96_nwt	N97_nwt	pnpla3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_G01	210129	1	NK209	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	.2185486	1	3	13.763373	.6125328	.34883235	.0340296	2.1044232	1	5	5	399338	6885	4450	9142	2786	58	3.488e+09	1	3880314	164419	122	287	187	121	36	767301	2784	3599.4411	3508.9816	1.00e+07	-173.0658	-2919515	23	4231.869	1072832	1404518	53_PNPLA3	1	1	1	2.183333	1	1	2	-.1004337	-.1004337	-.3054808	.6433454	.9153651	1.51239	-1.233495	-.0965586	.2933812	-1.303783	.6744897	0	.1451209	.1451209	.3441025	.2018935	0	0	.1573107	.6102946	-.3740954	.264147	.4887764	.4887764	-.4887764	.1573107	-.6102946	.1573107	.264147	-.1573107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_A03	210129	1	NK217	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	0	1	3	18.58884	.7146216	.26955227	.2722368	2.6500144	1	13	13	539140	6197	5201	8194	1849	87	4.227e+09	1	6537011	237825	153	348	190	130	41	862566	3536	3448.7941	3165.4382	1.22e+07	117.8042	3394983	4	4574.592	1224163	1589823	53_PNPLA3	1	1	1	2.7	1	1	2	1.281552	.7721932	.7721932	0	.5244005	1.027154	.1092005	.2933812	.8010945	.3957253	.2933812	1.104836	.8010945	.3441025	.4484255	.4124631	.5244005	1.534121	.8871465	.264147	.1573107	.4887764	.3740954	-.264147	1.534121	1.258162	.6744897	2.036834	.4307273	.264147
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_C04	210129	1	NK227	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	19.629628	.1020888	.17441618	.0340296	.779416	1	23	23															61	1023288	4756	6426.1499	5243.0971	3.06e+07	424.9837	-3277255	32	4855.801	1347007	1751607	53_PNPLA3	1	1	1	3.466667	1	1	2	2.053749	1.554774	2.053749	2.053749	1.554774	-1.233495	.3330051	-2.069902	-.4484255	-1.303783	-.5024022	1.303783	1.303783	.8010945	.6744897	1.281552	-.1004337													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_G02	210129	1	NK215	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	.6275193	1	3	12.91182	.7486512	.15856016	.2722368	2.0264816	1	11	11	439302	5780	5566	3982	1144	76	1.766e+09	1	6051784	222405	144	290	214	138	1	723072	48	4092.0208	3490.983	196417	342.6455	-1.25e+07	122	4291.245	1080144	1496707	53_PNPLA3	1	1	1	2.6	1	1	2	.1004337	.1004337	.3054808	-.5244005	-.3054808	.7091025	.8572543	.5024022	.1451209	.3957253	-.7363159	-.4484255	-.1451209	-1.303783	-1.303783	-1.554774	-.9153651	.8122178	.4887764	.1573107	.3740954	-.1573107	-.8871465	-1.054472	.8871465	1.054472	.264147	.4887764	.741594	.8871465
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_G04	210129	1	NK230	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	10.830246	.7146216	.17441618	.0680592	.3117664	1	26	26	376112	7836	6692	10550	4103	48	3.773e+09	1	3981766	162935	135	330	167	108	9	757505	672	3976.9107	3498.38	2672484	218.029	-1.01e+07	24	4099.826	1028659	1373445	53_PNPLA3	1	1	1	3.65	1	1	2	-.6433454	-.5244005	-.5244005	.4124631	.1004337	2.019086	1.51239	.2933812	-1.768825	-.6744897	-.5024022	-1.104836	.0482231	-.3957253	-.3441025	-.3054808	-.7721932	-.6102946	.0522452	1.054472	1.258162	.3740954	.741594	1.258162	-.264147	.0522452	-.1573107	1.534121	-.5485223	-.8122178
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_E03	210129	1	NK221	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	12.060267	.7826808	.25369626	.2382072	1.7147152	1	17	17	328691	5571	5409	3574	1231	59	1.195e+09	1	4458900	142994	155	240	190	109	0	512429	0		3737.9003				0	3842.486	908536.7	1297645	53_PNPLA3	1	1	1	2.95	1	1	2	-1.554774	-1.080319	-1.080319	.7721932	-.4124631	-.1092005	1.233495	.7363159	-.1451209	0	.1451209	-.8010945	-1.303783	-2.069902	-2.069902			.1573107	-.1573107	-.0522452	.264147	-.6102946	-1.054472	-.8871465	.0522452	-.264147	.8871465	-.4887764	.4307273	-.6102946
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_A04	210129	1	NK225	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	15.088011	.8167104	.22198422	.0340296	.6235328	1	21	21															224	668306	17003	4613.7475	4372.6333	7.84e+07	-268.7115	5.51e+07	52	4508.833	1195556	1583333	53_PNPLA3	1	1	1	3.366667	1	1	2	.9153651	.6433454	.6433454	1.554774	1.080319	-.7091025	-.8572543	.9420758	-.6744897	-1.303783	-.0965586	.4484255	-.4484255	2.069902	2.069902	2.053749	2.053749													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_H03	210129	1	NK224	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	1	1	3	13.763373	.5444736	.26955227	.2722368	2.338248	1	20	20	529935	6973	6195	12662	3807	76	6.653e+09	1	4832930	203941	136	323	182	137	44	711948	2448	3483.7459	3339.8525	8528210	-71.3987	-2373795	59	4326.598	1124960	1517328	53_PNPLA3	1	1	1	3.316667	1	1	2	.3054808	.3054808	.4124631	.2018935	0	-.3330051	-.2197229	-.5578848	.6151411	.3957253	.2933812	0	-.2434042	.4484255	.1451209	.1004337	.1004337	.8122178	.741594	.741594	.6102946	1.534121	2.036834	1.054472	.264147	.6102946	-.0522452	1.258162	.1573107	.741594
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_A02	210129	1	NK210	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	.96403	0	1	3	14.425692	.7826808	.15856016	.0340296	.5455912	1	6	6	639640	7897	6541	11921	3494	81	7.766e+09	1	5872120	217406	166	273	233	121	87	809925	6752	3792.1207	3481.9798	2.56e+07	54.31628	1.30e+07	0	4337.732	1079546	1478942	53_PNPLA3	1	1	1	2.266667	1	1	2	.4124631	0	0	-.3054808	.3054808	0	.4507442	.7363159	-1.020076	-1.303783	-.7363159	.1451209	.4484255	1.104836	.9420758	.6433454	1.080319	1.054472	1.534121	1.258162	.8871465	2.036834	1.054472	.8871465	.741594	.741594	1.534121	-.1046335	1.054472	-.1573107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_E02	210129	1	NK213	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	1	1	3	9.3163739	.5444736	.23784024	.2041776	.3117664	1	9	9	52126	4739	4119	4522	1363	11	2.337e+08	1	411567	29171	61	139	96	46	13	490092	1096	2415.1989	2602.7899	2647058	-192.6839	628175.9	61	3879.695	890577.4	1238533	53_PNPLA3	1	1	1	2.483333	1	1	2	-1.281552	-1.554774	-1.281552	-1.281552	-1.281552	-.8572543	-1.027154	-.5578848	-1.768825	-.1940281	.0482231	-1.303783	-2.069902	-.2434042	-.2434042	-.4124631	.4124631	-2.036834	-1.534121	-.6102946	-.741594	-1.534121	-.741594	-.741594	-2.036834	-2.036834	-2.036834	-2.036834	-2.036834	-2.036834
