filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N200_nwt	N201_nwt	igf1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A04	210224	1	NK138	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	3.126767						1	1	261446	5810	5247	11920	5308	45	3.009e+09	2	2650052	98750	93	218	209	133	74	556651	6627	5936.5066	5906.7941	3.93e+07	-571.5654	-1.51e+07	160	3884.353	883803.4	1130553	54_IGF1	1	1	1	5.583333	1	1	4	-.2075038	-.6215367	-.6637516	-2.460124	-.1725391	-2.444812	-.5009044					-2.46507	-.1156944	-.7379805	-.5357877	-.7379805	-.3186394	-.1423641	0	.4921101	.4393922	.9929082	1.906358	2.34813	-.3373553	-.4393922	-1.073562	-.2876889	1.116634	1.314496
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G04	210224	1	NK144	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	9.865213						7	7	168080	4669	4186	5767	1610	36	9.925e+08	1	2329635	89058	110	226	130	99	29	560269	2608	6920.3865	7182.5522	1.80e+07	-1481.834	-6.72e+07	247	3833.837	1262922	1091404	54_IGF1	1	1	1	6.016667	1	1	4	-.5402261	2.042561	-1.125744		-2.042561	-.2197229	-.9493045					-.0343441	-.0825485	-1.368829	-1.368829	-1.289085	-1.839855	-.7197189	-.8483799	-.6597193	-.7197189	-.7197189	-.2876889	-.6020065	-.6597193	-.6597193	-.4134932	-.0473125	-.8149615	-.8827738
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_C09	210224	1	NK178	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.0301455	0	0	1	11.751034	.0340296	.11099211	.170148	1.0911824	1	41	41															68	539041	6518	5096.1616	4703.6646	3.32e+07	374.4047	7852140	6	4272.508	989779.7	1331380	54_IGF1	1	1	1	9.133333	1	1	4	1.192981	.3871703	.0343441	-.1573107	.1725391	.0363359	-.7519938	-1.402673	.3829533	.0219897	-.7745655	.4815341	-.2841234	-.8276041	-.6539285	-.9762363	.4247038													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A05	210224	1	NK146	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0	0	0	1	10.078276	.170148	.34883235	.2041776	1.3250072	1	9	9															119	475682	8880	6633.0851	5953.2954	5.89e+07	55.97156	3333305	52				54_IGF1	1	1	1	6.183333	1	1	4								.920823	.5807581	.2216821	1.003148	.0171695	-.7379805	.0494931	.0825485	-.2499428	.2160518													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D06	210224	1	NK156	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	.98291	1	3	11.751034	.170148	.15856016	.4083552	2.4941312	1	19	19	422535	6036	5266	8957	2854	70	3.793e+09	1	4923734	183916	144	272	196	129	53	858055	5808	7199.7968	7472.3162	4.18e+07	-1632.643	-5.05e+07	22	4245.217	1135592	1513410	54_IGF1	1	1	1	7	1	1	4	1.125744	1.266094	1.192981	.4117051	1.192981	-.8059185	.6215367	.920823	1.937932	2.107345	-.1992013	.4815341	1.458376	-1.003148	-.8276041	-.6953402	-1.21679	1.161883	1.161883	.7197189	.4921101	1.906358	.9929082	.9182451	1.073562	.9929082	.8483799	.7824294	.7197189	.9929082
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IGF1_210224_A02	210224	2	NK187	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0	.0976977	0	1	15.17131	.0340296	.19027219	0	.4676496	1	1	50															261	724103	19562	12646.054	10018.585	2.47e+08	33.10726	9.36e+07	19	4112.73	982542.1	1426336	54_IGF1	1	1	2	9.783334	1	1	4	.5804016	.1377842	.89673	-.9956002	-.3871703	-.7566237	-.0687288	-1.402673	-1.118958	-2.107345	.0439901	1.266094	.7820069	1.839855	1.684395	1.839855	1.839855													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D05	210224	1	NK148	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.0130056	0	0	1	11.153621	.1020888	.14270414	.0680592	.5455912	1	11	11	330495	4860	4162	7401	2045	68	2.400e+09	2	4410269	146819	112	270	253	112	137	690984	10686	11776.059	9835.2477	1.26e+08	-564.6823	-2.36e+07	33	4015.031	964223.9	1343612	54_IGF1	1	1	1	6.366667	1	1	4	.0687288	-.0343441	.2075038	.6102946	-.0687288	.9674216	1.125744	-.0896424	-.63364	-.7745655	-.4307273	.3141269	.4980894	.3535393	.3186394	.6953402	-.4247038	1.073562	.4921101	-.3878687	-.7824294	.4921101	.4921101	-.1903223	.7197189	.4393922	-.1903223	.7197189	1.906358	.118514
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A02	210224	1	NU308	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	8.661919						28	77															93	478722	6244	11239.468	8270.9777	7.02e+07	1221.236	-4.14e+07	88				54_IGF1	1	1	2	3.95	1	1	4												-.5602008	-.6539285	-.2841234	-.7379805	-.0825485	-.8276041													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_F07	210224	1	NK169	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	8.8834483	.0680592	.17441618	.1020888	.8573576	1	32	32															158	441630	13488	9211.5669	7848.4493	1.24e+08	-179.3271	2.29e+07	14	3852.69	841798.7	1102440	54_IGF1	1	1	1	8.45	1	1	4	-.4623426	-.8465244	-.9493045	-2.036834	-.7519938	-1.090797	-1.125744	-.6744897	.0219897	-.3593968	-.0439901	-.4433201	-.9762363	.6953402	.8749908	.6539285	.6539285													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G05	210224	1	NK151	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.9806218	1	1	3	11.870517	.1361184	.25369626	.2722368	1.558832	1	14	14															287	689752	22224	15517.577	12323.442	3.45e+08	-517.4463	1.35e+08	17	3959.813	951842.4	1353302	54_IGF1	1	1	1	6.633333	1	1	4	-.0343441	-.103195	.3141269	-.5688699	.0343441	-.3330051	.7071841	.4144133	.8669582	.8669582	.7164975	.5402261	.4247038	2.479467	2.059215	2.059215	2.479467													
