filename	date	plate	index	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	mmp28_nwt	mmp28_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_D08	210120	1	NIX03																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0233051	0	1		11.94439	26.812523	8.1330744	6.4691528	1	15	113																											56_MMP28	1	1	3	5.816667	1	1	5								.5595922	.3487557	1.058122	2.17009																			
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_A10	210120	1	NI624																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.5685182	1	2	12.508705	11.263798	17.235489	7.1121864	21.667765	1	9	58	288067	5879	5769	8199	2926	49	2.258e+09	1	3288782	129033	107	289	187	109	136	503258	11687	7239.8302	5961.9008	8.46e+07	500.0651	4.62e+07	71	4074.886	944500.1	1284112	56_MMP28	1	1	2	6.5	1	1	5	.920823	.1930258	.1153556	-.7401917	-.809257	.2790326	-.1930258	.3757931	2.572352	.5244005	-.1636585	.3853205	-.5037205	.338562	.4032736	.2752391	1.086838	.0764961	.2628283	.1379956	.2628283	-.045869	-.0764961	-.0152849	-.0764961	.1689275	-.7946292	1.195972	.6554235	-.1844524
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_D07	210120	1	NI606																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.4482051	1	2	11.672165	14.973024	17.457474	7.0781568	6.235328	1	40	40	168341	4430	4236	7780	2357	38	1.327e+09	1	2507955	96126	129	276	124	88	179	438218	13358	17689.722	15952.507	2.36e+08	-1586.373	-9.91e+07	10	3752.56	831764.8	1113551	56_MMP28	1	1	1	5.366667	1	1	5	-.4923825	-.8824176	-.809257	-2.162077	-.6270717	-1.143702	.3524647	1.4342	.2690661	.4817269	-.1130385	-.1116372	-1.033853	.8034983	.6839988	.9357584	-1.879026	-.9275163	-1.260977	-1.195972	-.9275163	-1.026029	-.231311	-.3266899	-.7946292	-.8814972	.3428553	1.079224	-1.331797	-1.227826
InsH2Bfabp_CD15_09dpf_VAST02_plate02_MMP28_210120_D02	210120	2	NI633																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0517615	0	1	11.869865	12.284686	6.8022309	5.6829432	5.9235616	1	18	67	283662	6447	6721	10493	3855	44	2.835e+09	1	3983502	117867	127	258	143	101	28	594522	2214	5078.575	5638.4527	1.12e+07	-1255.324	-1.76e+07	22	3835.732	921067.8	1257076	56_MMP28	1	1	2	7.4	1	1	5	-.0639882	.0127893	-.1411454	-.3253741	-.1411454	-.1381652	-.8636957	.6508373	.1397103	-.4124631	-2.17009	-.0696849	0	-1.338533	-1.338533	-1.605273	-.338562	-.3591108	.1379956	.4588506	1.079224	.1071952	.425144	.7533835	.5995885	-.2628283	.231311	.581393	-.7738417	-.7133814
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_D09	210120	1	NI619																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.059917	0	1	15.332027	10.310969	12.938509	8.6435184	5.455912	1	4	53	329998	4714	4544	8466	3025	70	2.971e+09	1	6974953	162837	180	264	222	134	9	699382	624	5750.6378	6222.5275	3588398	-1316.165	-4.26e+07	41	4072.993	1015186	1366491	56_MMP28	1	1	2	6.216667	1	1	5	.8824176	.8452716	.7742626	.7069592	.9014541	.2505037	.2191533	.152506	-.0506606	1.372204	-1.598193	1.545513	.6095368	-1.975665	-2.095297	-2.51073	-.8899477	1.546635	.4930868	-.9755887	-.7133814	.231311	-.0152849	.045869	2.506447	1.079224	2.506447	.7533835	1.720366	1.295575
InsH2Bfabp_CD15_09dpf_VAST02_plate02_MMP28_210120_A03	210120	2	NI638																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0257964	0	1	14.939311	9.3241104	16.807377	4.9683216	2.5720728	1	23	72	383283	5897	4335	9991	3028	65	3.873e+09	1	4128278	162467	135	244	160	155	109	579152	9217	6798.286	5711.5315	6.27e+07	372.6873	3.16e+07	32	4014.81	918959.4	1277487	56_MMP28	1	1	2	7.65	1	1	5	.7069592	-.0383762	.0639882	-.3524647	-.4074555	1.465234	-1.428802	-.0506606	-1.073987	-.8596174	-.3186394	1.459439	-.1515802	-.0302049	.0302049	-.0907253	.6839988	1.195972	1.026029	.1689275	-.7946292	.9275163	.3591108	.0764961	.6744897	1.026029	.5995885	.0611754	-.3106094	2.506447
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G02	210120	1	NI577																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.3723998	1	2	9.3716796	13.407662	18.852803	6.3635352	7.8721016	1	11	11	366449	7479	7593	9969	3656	49	3.250e+09	1	4157929	142394	118	297	197	109	151	494714	12672	11617.693	9130.7644	1.47e+08	901.6006	1.46e+07	160	3911.846	842112.8	1183279	56_MMP28	1	1	1	2.7	1	1	5	.2454314	-.809257	-.5510015	.8824176	-1.188354	-.9103512	1.802743	.8894945	.7312173	-.0125335	.3186394	-.9899016	-.7226751	.4032736	.5383123	.7226751	.2752391	.0764961	.8814972	.9275163	1.720366	.425144	.3266899	.5995885	.7533835	.4930868	-.4084725	1.331797	1.107003	-.1844524
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_D02	210120	1	NI574																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.396152	1	2	11.985867	6.7378608	16.775665	8.2011336	8.183868	1	8	8															34	583902	3268	7837.2188	7159.5733	2.56e+07	-405.3997	-4.84e+07	39	3866.946	949389.9	1332965	56_MMP28	1	1	1	2.583333	1	1	5	.0383762	.27188	.4923825	.611579	-.3524647		.0896424	-.7312173	.8708457	1.103063	-.3451255	-.0139262	-.1210967	-1.086838	-.8459325	-.762464	-1.143064													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G08	210120	1	NI615																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0226727	0	1	11.253895	.0680592	17.980722	5.8871208	8.183868	1	49	49	354957	7552	6461	11933	3743	47	4.549e+09	2	3539504	153063	134	306	134	119	222	644617	16318	20850.448	17269.788	3.40e+08	-78.58694	-3.43e+07	62	3871.506	854105.5	1206218	56_MMP28	1	1	1	5.95	1	1	5	.0896424	-.7069592	-.4074555	.960637	-1.002035	2.543048	-.2454314	-2.572352	.8708457	-.2923749	.0501536	-.1820346	.2752391	1.203157	1.086838	1.416509	-.6839988	-.0611754	.6744897	1.026029	.7946292	1.260977	.7946292	.6365926	.231311	.6744897	.5279112	1.49795	-.9512777	.3919137
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_A04	210120	1	NI585																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.3738254	1	2	13.031542	13.033337	20.263988	5.3766768	6.0015032	1	19	19																								4024.409	947236.6	1300606	56_MMP28	1	1	1	3.15	1	1	5	.7401917	.2454314	.2454314	-.4923825	.4637077	.2221774	.8824176	.7478586	.1781746	-.538836	.8596174	.6571085																		
InsH2Bfabp_CD15_09dpf_VAST02_plate02_MMP28_210120_G02	210120	2	NI636																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.3669012	1	2	10.079354	11.263798	17.076929	5.7510024	6.235328	1	21	70	379799	6330	6644	4777	1492	60	1.783e+09	1	3716764	138017	122	316	132	113	9	470438	719	8356.2184	6378.7003	6008121	1093.448	-4.48e+07	11	3856.733	938085	1305241	56_MMP28	1	1	2	7.533333	1	1	5	.0127893	.1153556	.2985202	-.2191533	.1930258	-.1104053	-.0896424	.3757931	.2690661	-.3186394	-.2147016	-.5404469	-.8899477	-1.975665	-1.879026	-1.879026	-.9836224	.9275163	.9755887	.3919137	.9755887	-.4588506	-1.59929	-1.720366	.3591108	.3919137	-.1689275	1.59929	-1.026029	.1071952
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G05	210120	1	NI595																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.6567851	1	2	12.822407	15.585557	17.061073	8.0309856	7.014744	1	29	29	304572	6480	7153	7344	2550	47	2.238e+09	1	3624390	132947	114	274	197	103	162	507616	13936	12286.129	10538.729	1.71e+08	-196.6946	-3255877	0	3965.965	988613.3	1360689	56_MMP28	1	1	1	4.5	1	1	5	.4637077	.521468	.6744897	.2191533	.960637	1.19838	.4354094	1.593219	.5012977	.9741139	-.240426	.5244005	-.4697212	.5383123	.8034983	.8459325	-.1515802	-.0611754	.3266899	.5279112	1.49795	-.0764961	-.3919137	-.231311	.3266899	.2946089	-.563388	.9275163	1.107003	-.6179848
