filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	cbsa_nwt	cbsa_dich	cbsb_nwt	cbsb_dich	cbs_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_D05	200816	1	NA662	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.041175	0	.0437536	0	0	1		1.0889472	.38054438	.3743256	.779416	1	16	163	331470	6138	5555	6353	1904	54	1.992e+09	2	2852759	117521	118	233	154	122	59	373278	4633	34722.944	29886.56	1.61e+08	-394.752	-4.29e+08	48	3636.405	808721.3	1100556	5_CBS	1	1	2	4.733333	1	1	7	-1.505968	-1.898029	-1.672937	-1.672937	-1.37281	-1.113937	-1.340755	-.0545189	-.4709434	-.1274924	-.145827		-1.080319	-.3054808	-.3054808	1.080319	-1.554774	-.4484255	-.9420758	-.5578848	-.6744897	-2.069902	-1.574445	-1.574445	-1.574445	-1.303783	-1.303783	-1.104836	-1.426077	-.2434042
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_A03	200816	1	NA644	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	.0793715	0	0	1		.6125328	.12684813	.2382072	1.0911824	1	47	145																								4639.936	1289510	1666491	5_CBS	1	1	1	3.516667	1	1	7	1.37281	.9051525	.9929082	1.073562	.1903223	-.206072	1.036433	-.9109555	-.1092005	-.6859357	-1.51239																			
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_A06	200816	1	NA666	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.3174035	1	.8439702	1	1	4	6.9763289	.9868584	.23784024	.2382072	.2338248	1	20	167																								3711.968	865500.2	1100706	5_CBS	1	1	2	4.983333	1	1	7	-1.073562	-1.496147	-1.505968	.0947312	-1.161883	-1.871871	-1.126391	-.4507442	-1.090797	-.6859357	-.9674216	-1.348744																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_A04	200816	1	NA652	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	0	0	0	1	4.8941393	1.0549176	.17441618	.3062664	1.558832	1	6	153	852469	10148	7865	8269	2243	84	7.051e+09	1	7525961	278360	171	328	195	154	73	812932	7024	17383.001	15332.327	1.22e+08	-724.5682	-1.62e+08					5_CBS	1	1	2	4.055555	1	1	7								-.1826502	.4507442	-.4507442	-1.407024	-1.973953	1.281552	.0501536	.3054808	.9153651	-.9153651	1.574445	2.069902	1.574445	1.303783	.6744897	-1.303783	-1.303783	1.303783	2.069902	1.104836	1.303783	.0482231	1.303783
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_A07	200816	1	NA669	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0571946	0	0	0	0	1	5.1254937	.85074	.58667259	.2382072	.6235328	1	23	170																								4874.715	1393871	1751562	5_CBS	1	1	2	5.633333	1	1	7	2.34813	1.663793	1.672937	1.505968	.9929082	.8636957	1.340755	-.7326562	-.6631314	-.6859357	.4108815	-1.746955																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_B07	200816	1	NA670	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.44438	1	1	1	1	4		.2722368	.0951361	.0680592	.1558832	1	24	171															73	361447	5184	45064.453	39079.041	2.34e+08	-796.8726	-5.49e+08		4058.042	944275.8	1204573	5_CBS	1	2	2	5.7	2	1	7	-.2876889	-.7050659	-.9929082	1.672937	-.2876889	.206072	-.8778963	-1.31531	-1.572037	-2.444812	-2.183684		-1.554774	.0501536	0	1.281552	-2.053749													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_H01	200816	1	NA636	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.3016695	1	1	1	1	4	3.6216901	.2041776	.19027219	.1361184	.5455912	1	39	137															153	483790	12640	29804.878	26520.338	3.77e+08	-1378.578	-1.42e+08		4078.897	1105924	1373983	5_CBS	1	2	1	2.983333	2	1	7	-.1903223	.0723697	-.2876889	.4393922	-.2387225	.9405437	.6744897	-1.51239	-.8313125	-1.457685	-1.233495	-2.405983	-.5244005	1.281552	1.281552	1.554774	-.7721932													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_G05	200816	1	NA665	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	0	0	0	1		.5785032	.11099211	.1361184	.2338248	1	19	166															50	202016	4445	22203.266	18117.877	9.87e+07	840.1108	-2.44e+08		3953.945	893971.9	1168371	5_CBS	1	2	2	4.916667	2	1	7	-.6020065	-1.150349	-1.260339	.7824294	-1.672937	-.5361763	-1.226528	-.9674216	-1.090797	-1.457685	-1.711675		-2.053749	-.4676988	-.4124631	.7721932	-1.281552													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_F08	200816	1	NA678	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0375006	0	.0779502	0	0	1	6.8606517	.1020888	.57081658	.1361184	.1558832	1	32	179																								4644.613	1308023	1692555	5_CBS	1	3	2	6.383333	3	1	7	1.505968	1.249346	1.260339	1.906358	.7824294	1.465234	1.126391	-2.019086	-1.572037	-1.457685	.3330051	-1.456837																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_C04	200816	1	NA654	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	0	0	0	1	9.6369046	1.4292432	.44396845	.510444	1.8705984	1	8	155	633199	8674	6474	13345	3481	73	8.189e+09	1	4789742	216595	137	260	190	178									10	4001.251	933165.3	1332696	5_CBS	1	3	2	4.2	3	1	7	-.4921101	-.8347719	-.5462332	-.9182451	-.3373553	.1024905	-.1763742	.8313125	.9968433	.6406669	.0727199	-1.170163						.8694237	1.303783	.5578848	.0482231	.9420758	-.2434042	-.4484255	-.1451209	.9420758	-.2933812	-.2434042	-.1451209	2.069902
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_C02	200816	1	NA638	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.050579	0	.0285672	0	0	1		.340296	.26955227	.170148	.5455912	1	41	139	484981	7698	6647	10691	2599	63	5.445e+09	2	4585646	169515	148	264	186	121										3695.408	848154	1140093	5_CBS	1	3	1	3.133333	3	1	7	-1.260339	-1.663793	-1.37281	-1.073562	-2.34813	-.9405437	-.6744897	-1.233495	-.8313125	-1.027154	-.8572543							.1451209	.4484255	.2434042	.2434042	-.3441025	-.8010945	-1.104836	-.2434042	-.0482231	.2434042	-.1451209	-.3441025	-.4484255
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_F04	200816	1	NA657	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.4275952	1	1	1	1	4		.85074	.19027219	.2722368	1.0911824	1	11	158	531526	7281	5506	11863	2953	73	6.185e+09	1	5319627	168078	170	238	184	145	138	594354	10622	41638.958	33472.18	4.42e+08	2330.6	-2.22e+08		4038.967	998736.9	1304000	5_CBS	1	3	2	4.383333	3	1	7	-.3373553	-.4219289	-.6020065	.7197189	-.6020065	-.2586331	-.9541653	-.7326562	-.1092005	-.5327554	-1.233495		-.1004337	1.080319	1.080319	2.053749	-1.080319	.8694237	.5578848	-.0482231	-.8010945	.0482231	-.4484255	-.8010945	.1451209	-.3441025	.8694237	-.9420758	-.4484255	.8694237
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200816_C03	200816	1	NA646	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	.0921779	0	0	1		.85074	.38054438	.2382072	1.169124	1	49	147	792831	8712	7760	15010	4607	91	1.151e+10	1	7372613	226703	192	269	227	142										4413.807	1228170	1568828	5_CBS	1	3	1	3.65	3	1	7	.7197189	.5299395	.2387225	1.260339	.2387225	1.113937	1.880794	-.7326562	.018165	-.6859357	-.145827							2.069902	1.574445	.8010945	.9420758	1.574445	.3441025	.0482231	1.104836	1.303783	2.069902	-.0482231	1.574445	.5024022
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_C07	200903	1	NA544	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.4084568	1	1	1	1	4	12.098749	.9868584	.41225642	.3743256	.8573576	1	45	45	326055	7953	7789	14058	5728	41	4.530e+09	1	2130492	97389	93	246	154	101									4	4165.158	1089505	1439988	5_CBS	2	4	3	6.25	4	2	7	0	.0241045	0	-.3878687	-.9929082	1.635039	-.227545	-.4507442	-.3911963	-.1274924	0	-.779842						-1.426077	-1.104836	.3441025	1.104836	-.6744897	-.0482231	.6744897	-2.069902	-2.069902	-2.069902	-.4484255	-1.426077	-1.303783
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_G06	200903	1	NA541	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	22.711576	1.4632728	.33297634	.6125328	.6235328	1	42	42																							0				5_CBS	2	4	3	5.408333	4	2	7								.9388143	-.6631314	1.31531	-.5119362	.779842																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_A04	200903	1	NA522	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.0532156	0	.0338535	0	0	1	27.874573	1.5993912	1.014785	.6125328	1.7147152	1	23	23																							0	4451.958	1197097	1646812	5_CBS	2	4	3	3.116667	4	2	7	.8483799	.3186394	.8483799	.2876889	.7197189	.5361763	.0752699	1.457685	.6859357	1.31531	1.711675	1.456837																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_C01	200903	1	NA501	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	29.738988	2.0758056	.71352072	.7826808	2.4161896	1	2	2																							0				5_CBS	2	4	3	1.558333	4	2	7								2.444812	1.796193	2.019086	.6859357	1.746955																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_E10	200903	1	NA568	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	21.133993	1.531332	.76108877	.5785032	1.3250072	1	20	69																							0				5_CBS	2	4	4	7.866666	4	2	7								1.233495	.1826502	1.05844	.8572543	.4830894																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_A03	200903	1	NA515	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	24.145742	1.2931248	.68180869	.7486512	1.4808904	1	16	16																							0	4400.869	1210779	1638796	5_CBS	2	4	3	2.45	4	2	7	.6597193	.4219289	.7197189	.1903223	.9182451	1.214676	.4958504	.4709434	.3330051	1.796193	.5966746	.8946621																		
