filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N19_nwt	dusp26_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_F07	200821	1	NB495	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.9913889	1	2	10.530969	.4083552	.25369626	.5785032	4.3647296	1	40	40															192	702334	15008	51851.123	49966.117	7.78e+08	-550.2189	5.95e+07	41	4091.776	1070290	1497709	6_DUSP26	1	1	1	7.216667	1	1	3	-.0696849	.0473125	.6172997	-.0696849	-.5620615	-.5962318	.1631881	.2372021	2.417559	2.417559	-.9778975	.8544474	.4668251	.2981024	.217107	.5109658	.2573935													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_G04	200821	1	NB476	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	4.9425155	.4423848	.42811243	.3062664	2.2603064	1	23	23	397066	7636	8814	8999	2595	52	3.716e+09	1	5876082	167071	167	264	179	131	217	658166	16567	35180.995	30663.771	5.83e+08	1698.158	1.25e+08	0	3991.327	1119308	1431644	6_DUSP26	1	1	1	5.633333	1	1	3	-.5620615	.4921101	-.0232116	-.3064536	1.085325	-.6585199	.6744897	.6024495	.5791321	-.0195843	.9165567	-.3422765	.0980721	.7502154	.4668251	.0195843	.4668251	-.5141561	-.0447762	.7318081	2.100166	.0447762	.3186394	-.1346898	1.150349	.3186394	2.100166	.4144133	0	.6744897
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_F01	200821	1	NB454	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	9.7181031	.340296	.57081658	.340296	3.1956056	1	4	4															87	302654	6882	37819.732	33247.138	2.60e+08	1804.9	-2.32e+08	0	4038.522	983379.5	1343313	6_DUSP26	1	1	1	2.866667	1	1	3	-.4053977	-.7824294	-.5620615	.5084881	.7961826		-.4053977	-.7502154	1.00999	.4450965	1.473468	.6744897	-2.417559	-1.366204	-1.366204	-1.601009	-.9165567													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_B01	200821	2	NB512	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	3.8334769	.340296	.33297634	.2041776	.1558832	1	7	56	311910	5287	5040	4660	1528	59	1.402e+09	1	4469837	133923	162	243	186	112	101	606508	9072	54635.131	57697.021	4.96e+08	-5343.38	-3.27e+08	105	4020.606	974033.5	1328120	6_DUSP26	1	1	2	7.95	1	1	3	-.4563363	-.9182451	-.6172997	.1163093	-.9310033	.7234756	-1.00517	-.7502154	-1.987428	-1.67594	.0980721	-.8871465	-.2573935	-1.113194	-.9165567	-.3811055	-1.366204	0	-.8544474	-.7318081	-.4144133	-1.150349	-1.345167	-1.345167	.5141561	-.7318081	1.150349	-.2257079	.3661064	-.4144133
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_G01	200821	1	NB455	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	5.0441237	.4083552	.45982446	.2722368	2.5720728	1	5	5															56	805454	3708	59089.974	62411.981	2.19e+08	-5509.737	-6.68e+08	40				6_DUSP26	1	1	1	3.066667	1	1	3								.2372021	.6744897	-.4887764	1.077516	-.295179	1.473468	-1.76167	-1.76167	-1.76167	-2.417559													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_B01	200821	1	NB450	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1	4.2312577	.4083552	.36468837	.2041776	1.4808904	1	1	1	414260	7021	7833	10344	3385	59	4.348e+09	1	4512192	187008	138	257	222	114	189	768852	13664	55200.269	55424.671	7.54e+08	-2551.078	-3.81e+07	130	4155.969	1046529	1450994	6_DUSP26	1	1	1	2	1	1	3	.1631881	-.3373553	.2581433	.4563363	.6744897	.4213913	.3064536	.2372021	.0195843	-1.67594	.4668251	-.6193067	1.189164	.217107	.0587829	.4235761	-.2573935	0	.2257079	.3186394	1.345167	.3186394	.7318081	.6193067	.6193067	.9915265	-.0447762	.1346898	2.100166	-.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_C01	200821	2	NB513	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2		.3062664	.28540829	.2041776	.1558832	1	8	57	256772	5971	5784	8214	2717	43	2.309e+09	1	2402229	107138	125	187	145	111	154	505927	11090	54308.617	54167.092	6.02e+08	-2210.16	-1.73e+08	30	3632.927		1081999	6_DUSP26	1	1	2	8.116667	1	1	3	-1.681877		-1.914506	.2104284	1.681877	-1.329529	-1.382994	-1.272699	-1.987428	-1.67594	-.5334097		-1.043158	-.1771698	-.4668251	.0587829	-.6992833	-1.150349	-.9915265	-.5141561	-.0447762	-.6193067	-.1346898	.2257079	-.9915265	-.9915265	-.9915265	-1.345167	-1.345167	-.5659488
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_B07	200821	1	NB491	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	3.3167835	.340296	.34883235	.340296	.389708	1	36	36															147	672604	9984	54133.335	54209.921	5.40e+08	-2427.419	-2.36e+08	0	4379.983	1156931	1560111	6_DUSP26	1	1	1	6.35	1	1	3	1.173137	.9182451	1.173137	.4053977	.4563363	.8636957	1.681877	-.7502154	-1.077516	.4450965	.2981024	-1.402673	.2573935	-.2573935	-.8031726	-.217107	-.9778975													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_D01	200821	2	NB514	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1	3.5912448	.340296	.25369626	.2382072	.3117664	1	9	58	383252	5636	4248	7571	2573	68	2.835e+09	1	4021963	166574	126	239	165	140	144	658512	11391	56972.224	55048.273	6.49e+08	-410.2111	-1.38e+08	54	4304.016	1081715	1459996	6_DUSP26	1	1	2	8.283334	1	1	3	.6744897	.1423641	.3064536	.6744897	.7339767	1.329529	-.7961826	-.7502154	-1.366204	-.9778975	-.9778975	-1.108011	.1771698	-.2981024	-.3811055	.1375134	-.5561256	.6744897	-.1346898	-.6193067	-1.150349	-.4144133	-.4144133	-.2257079	-.2257079	.2257079	-.8544474	-.4144133	-.4637077	1.611169
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_E01	200821	1	NB453	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	3.52	.340296	.42811243	.2382072	1.2470656	1	3	3															251	747698	18786	47738.319	45777.603	8.97e+08	-557.8002	2.35e+08	0	4048.63	1071292	1483458	6_DUSP26	1	1	1	2.666667	1	1	3	-.3554904	.0947312	.5620615	-.4563363	-.0232116	2.318758	-.2581433	-.7502154	-.0587829	-.9778975	.9165567	-1.194857	.8584844	1.366204	.9778975	.9778975	.8584844													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_C07	200821	1	NB492	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	4.739299	.4764144	.31712032	.3743256	.9352992	1	37	37	559004	8873	5765	8793	2322	63	4.703e+09	1	5431609	200402	139	288	182	120	81	690238	6636	56339.773	59935.336	3.74e+08	-5832.542	-4.79e+08	72				6_DUSP26	1	1	1	6.566667	1	1	3								.9467818	-.2372021	.7502154	-.1375134	-.4389272	.3811055	-1.601009	-1.473468	-.8031726	-1.76167	.4144133	1.611169	1.611169	-.1346898	.5141561	.2257079	-.6193067	.9915265	1.150349	.0896424	.9915265	.1800124	0
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_G01	200821	2	NB516	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.9886728	1	2	6.3769148	.2722368	.3012643	.2722368	1.8705984	1	11	60	463641	9462	8523	6894	1977	49	3.166e+09	1	4184175	158363	129	260	196	119	195	746180	16193	27600.282	24472.302	4.47e+08	185.7925	7.28e+07	125	4395.482	1124258	1472632	6_DUSP26	1	1	2	8.883333	1	1	3	1.515564	.6894088	.4053977	1.382994	.5894558	1.023392	.1163093	-1.862732	.2573935	-.4887764	-.3186394	-.0671924	.8031726	.3393116	.3811055	-.5109658	.2981024	-.7916386	.7318081	2.100166	1.611169	-.1346898	-.9915265	-.8544474	.0447762	.0447762	-.5141561	.27188	.9915265	-.1346898
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_D04	200821	1	NB473	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.921105	1	2		.3743256	.36468837	.2382072	.4676496	1	20	20	406350	6773	6832	16666	5439	60	6.794e+09	1	4211172	148288	147	260	188	93	266	731316	20447	45650.08	41346.157	9.33e+08	1697.284	3.31e+08	12	4110.123	1123644	1431853	6_DUSP26	1	1	1	5.183333	1	1	3	-.0232116	.6020065	.0232116	1.681877	.9310033		.9310033	-.2372021	-.8871465	-.9778975	.4668251		.6992833	1.76167	1.473468	1.272699	1.366204	.1346898	.1346898	-.0447762	.7318081	2.100166	1.611169	1.611169	.1346898	-.4144133	.4144133	.27188	.5141561	-1.241867
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_G07	200821	1	NB496	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2		.3062664	.33297634	.2722368	1.0132408	1	41	41	449165	6910	7070	8429	2905	65	3.748e+09	1	4025462	145326	152	241	174	115	118	560650	8496	47584.106	48313.299	4.04e+08	-3197.284	-2.92e+08	55	3928.763	953367.6	1292082	6_DUSP26	1	1	1	7.416667	1	1	3	-.8616341	-1.073562	-.7961826	-1.382994	-1.173137	-.8636957	.3554904	-1.272699	-.1771698	-.4887764	.0980721		-.6024495	-.7502154	-.9778975	-.6992833	-1.272699	.5141561	.6193067	.1346898	.8544474	.1346898	-.0447762	.3186394	-.1346898	-.5141561	.8544474	-.3186394	-.1346898	-.2257079
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_E01	200821	2	NB515	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1		.4083552	.3012643	.2041776	.389708	1	10	59															186	727932	14803	51485.451	53283.2	7.62e+08	-4167.011	-1317594	58	4446.194	1161821	1559811	6_DUSP26	1	1	2	8.483334	1	1	3	1.914506	.9929082	1.085325	1.085325	.5084881	-.7234756	.4053977	.2372021	-1.077516	-1.67594	-.3186394		.650104	.1375134	.1771698	.4668251	.0980721													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_B04	200821	1	NB471	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.015492	0	1	9.3116701	.4083552	.66595267	.3743256	3.2735472	1	19	19	539233	6344	5268	9231	2457	85	4.847e+09	1	6047172	201453	163	291	186	120	261	890994	22367	43781.265	39007.448	9.79e+08	2120.672	4.09e+08	192	4282.38	1104309	1440512	6_DUSP26	1	1	1	4.016667	1	1	3	.5620615	.2387225	.1163093	-.7339767	.0696849	-.1540745	1.515564	.2372021	1.189164	.7502154	2.417559	.5398714	1.76167	1.601009	1.601009	1.473468	1.76167	1.611169	1.150349	-.4144133	-.3186394	.6193067	.4144133	-.4144133	2.100166	1.345167	1.345167	1.150349	.3661064	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_A08	200821	1	NB497	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1	3.8248247	.3062664	.28540829	.3062664	.5455912	1	42	42	436026	7928	4877	14044	4215	55	6.265e+09	1	3590843	167555	130	231	166	141	108	537260	10252	41231.774	37241.38	4.23e+08	1302.129	-1.24e+08	3	3850.505	1054170	1416406	6_DUSP26	1	1	1	6.216667	1	1	3	-1.173137	-.2876889	-.1631881	-.5620615	.0232116	-.3661064	.2104284	-1.272699	-.6992833	-.0195843	-.5334097	-.9555776	-.8031726	-.9165567	-.5561256	-.650104	-.4668251	-.3661064	.4144133	.8544474	-.5141561	1.345167	1.345167	.8544474	-.7318081	.4144133	-.3186394	-.8544474	-.3186394	2.100166
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_E04	200821	1	NB474	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.0148433	0	1	9.6164948	.4764144	.4915365	.4083552	4.2088464	1	21	21	398599	6993	5904	13565	4635	57	5.470e+09	1	3920579	150481	133	274	154	135	211	663778	17363	45258.249	38431.307	7.86e+08	4162.339	2.23e+08	13	4338.905	1218465	1544933	6_DUSP26	1	1	1	5.283333	1	1	3	.9310033	1.505968	1.00517	2.355084	1.27107	-.051178	-.1163093	.9467818	1.862732	.9778975	1.318011	.5924169	.217107	.5561256	.6024495	.6024495	.7502154	-.1346898	.0447762	.2257079	.0447762	.8544474	1.150349	1.150349	-.3186394	-.3186394	-.2257079	.6193067	-.9915265	1.241867
