filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	rpgra_nwt	rpgrb_nwt	rpgr_nwt	rpgr_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_D03	200909	1	ND700	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0760555	.0614332	.0687443	0	1	16.044298	.4764144	.42811243	.5785032	2.6500144	1	16	16	310231	5349	4473	6704	2213	58	2.137e+09	1	5420194	171065	157	281	171	135	203	942438	16713	2737.2947	2471.6088	4.57e+07	-84.09487	1.49e+07	0	4059.47	1137701	1506203	7_RPGR	1	1	1	5.466667	1	1	3	.1717471	.5375191	.6744897	.4972006	.0569997	-.7916386	1.48947	.8694237	.9420758	1.574445	-1.574445	.6744897	1.51239	.8871465	1.258162	.4507442	1.027154	.6289042	0	-.4578519	-.8207921	-.6289042	-.8207921	-.6289042	1.049131	.1479871	.8207921	.4578519	-.1479871	.6289042
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_D01	200909	1	ND686	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	1	1	1	1	3	11.043078	.4083552	.57081658	.3743256	1.7926568	1	3	3	278200	5919	6151	11467	3782	47	3.344e+09	1	2740533	112560	102	269	164	110	202	550515	14985	4521.7927	4040.7107	6.78e+07	-18.0367	5186679	0	3697.18	863645.9	1171735	7_RPGR	1	1	1	4.516667	1	1	3	-1.48947	-2.000424	-1.48947	-.6374841	-.1717471	.4972006	-.1717471	.3957253	.1451209	-.1451209	.3441025	-.6744897	-1.027154	.741594	.6102946	2.019086	.1092005	-.1479871	-.2993069	-.2993069	.6289042	.2993069	.2993069	.2993069	-1.351702	-.8207921	-1.351702	.1479871	-.5413951	-.8207921
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_D02	200909	1	ND693	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	0	.0749507	.0374753	0	1	4.8415643	.340296	.45982446	.2722368	.6235328	1	10	10	467539	6679	4983	16424	4946	70	7.828e+09	1	4941987	183886	148	275	197	125	130	536818	10253	3637.6354	3356.9188	3.73e+07	-153.3228	-1.15e+07	0	3943.099	932836.3	1275588	7_RPGR	1	1	1	4.983333	1	1	3	-.4099833	-1.207414	-.9982012	-1.179761	.2888094	.2410404	-.0569997	-.5024022	-.8010945	-.8694237	-.6151411	-2.069902	-1.233495	-.3740954	-.1573107	-.3330051	-.8572543	1.049131	.8207921	.2993069	-.1479871	1.351702	1.351702	1.351702	.2993069	.6289042	.1479871	.2993069	.4578519	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_G01	200909	1	ND688	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.5908696	.8003947	.6956321	1	3	16.944518	.5444736	.4915365	.2722368	1.558832	1	5	5	135463	5210	4749	8516	3818	26	1.032e+09	1	1764166	72211	105	172	147	88	13	523254	960	3349.8021	2636.02	3215810	348.3537	-3.10e+07	38	4072.848	943857.1	1302325	7_RPGR	1	1	1	4.666667	1	1	3	.2888094	-.9982012	-.6744897	-1.465234	-.2888094	0	-.4099833	1.768825	-.1451209	-.8694237	-.4484255	.8010945	-1.51239	-1.534121	-1.534121	-2.019086	-2.019086	-1.351702	-1.049131	-.6289042	-.4578519	-1.049131	-.4578519	.6289042	-1.88951	-1.88951	-1.049131	-1.88951	-1.049131	-1.351702
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_H03	200909	1	ND703	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0413153	.0755098	.0584125	0	1	12.643468	.3743256	.53910454	.4423848	1.7147152	1	18	18	348744	4777	4888	4626	1505	73	1.621e+09	1	4895109	167163	151	241	199	129	132	621086	9664	3673.4174	3158.9365	3.55e+07	99.28439	-9259670	12	4052.808	1029496	1344240	7_RPGR	1	1	1	5.766667	1	1	3	.0569997	-.5375191	-.4099833	-.7916386	.1717471	-.2410404	-.2888094	0	-.0482231	.8010945	-.0965586	-.3441025	-.7091025	-.264147	-.3740954	-.4507442	-.7091025	1.351702	.2993069	-1.049131	-.2993069	-.8207921	-1.049131	-1.049131	.1479871	0	.4578519	-.1479871	.7215223	.4578519
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_A02	200909	1	ND690	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0839059	.0638028	.0738543	0	1	13.743737	.3062664	.82451283	.3743256	2.8058976	1	7	7	339671	6532	6122	8907	2386	52	3.015e+09	1	3497311	137353	143	228	164	114	156	689824	10222	5631.0668	5163.3874	5.76e+07	-138.2891	-2.77e+07	13	3774.256	999200.4	1283244	7_RPGR	1	1	1	4.8	1	1	3	-.8254945	-.8254945	-.8254945	-.1196481	.6744897	-1.179761	.1717471	-1.104836	1.104836	-.1451209	1.426077	-.0482231	-.1092005	-.0522452	-.264147	1.233495	-1.51239	.1479871	.1479871	.1479871	.4578519	0	-.2993069	-.4578519	-.4578519	-.2993069	-.1479871	-.4578519	-.5413951	-.3773919
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_C04	200909	1	ND706	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0538187	.0382158	.0460172	0	1	22.945982	.510444	.53910454	.510444	1.7926568	1	21	21															204	680526	15455	2418.6048	2274.8138	3.74e+07	-187.2599	1.05e+07	12	4221.065	1134127	1497246	7_RPGR	1	1	1	6.3	1	1	3	.9982012	.4099833	.5375191	.3661064	.5375191	1.179761	-.6744897	1.19838	.1451209	1.020076	-.0965586	2.069902	-.3330051	1.054472	.8871465	-.2197229	.7091025													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_G05	200909	1	ND718	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0344452	.0644604	.0494528	0	1	13.643712	.340296	.58667259	.4083552	1.7926568	1	33	33	254225	6871	4581	12074	3815	37	2.959e+09	1	2797536	102625	94	226	172	154	187	671738	14820	3515.615	3234.4794	5.21e+07	-141.2507	5815792	0	3986.193	1044151	1400645	7_RPGR	1	1	1	7.2	1	1	3	-.2888094	-.2888094	.0569997	0	1.207414	.3661064	.4099833	-.5024022	.1451209	.3957253	.6151411	-.1451209	-.5751093	.4887764	.4887764	.8572543	.2197229	-.9288995	-.6289042	.8207921	-.6289042	-.2993069	.6289042	.4578519	-.8207921	-1.049131	-1.88951	-.6289042	0	1.88951
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_F02	200909	1	ND695	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.4008762	.7035775	.5522269	1	3	17.644689	.4083552	.65009666	.4083552	3.117664	1	12	12															161	710894	12435	4167.8069	3759.3541	5.18e+07	-63.88799	-5061992	26				7_RPGR	1	1	1	5.158334	1	1	3								.3957253	1.426077	.3957253	.8010945	1.104836	.3330051	.0522452	.0522452	.5751093	-.4507442													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_B01	200909	1	ND684	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0226187	.0514584	.0370386	0	1	15.944274	.5444736	.55496056	.510444	1.4029488	1	1	1															116		9440	1755.8441	1168.3778	1.66e+07	361.7195	1.20e+07	0	3740.36	1078171	1391090	7_RPGR	1	1	1	4.316667	1	1	3	-1.207414	.0569997	-.1717471	.7916386	1.48947	-.4972006	.8254945	1.768825	-.4484255	1.020076	.0965586	.5578848		-.4887764	-.4887764	-1.027154	.8572543													
