filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	hmox1_nwt	hmox1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_C02	200910	1	NC842	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	17.772115	.4083552	.4915365	.170148	2.4941312	1	11	11															170	703754	12563	3627.026	3332.5555	4.56e+07	-176.3969	1856761	0	4291.956	1190592	1551333	8_HMOX1	1	1	1	4.366667	1	1	5	.9518433	1.047494	1.737194	.5933586	.6289042	-.5316958		1.608653	.9674216	-.5595922	-.9982012	1.156903	0	.7012515	.6309245	.8899477	.0907253													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_B06	200910	1	XX005	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	17.002851						11	109															0	789318	0		2316.8782				44	4334.366	1206831	1548402	8_HMOX1	1	1	3	6.983333	1	1	5	1.351702	1.382994	1.616981	.4578519	-.177872	-.6844819	.1241019					.8454682	.8138509	-1.828892	-1.828892															
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G01	200910	1	NC838	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	13.34885	.3062664	.63424064	.2382072	3.5853136	1	7	7															65	655583	4779	2865.5842	2753.5245	1.37e+07	-248.1643	-1.65e+07	0	4172.933	1070200	1414328	8_HMOX1	1	1	1	4.05	1	1	5	.4908544	.0482231	.3616052	.0590137	-.0737913	-.2895613	.030951	-.4377901	2.428737	.5595922	.152506	-.1215874	-.3446772	-.0140826	-.1412905	-.1210967	-.9357584													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_D06	200910	1	XX007	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	.9545885	1	2	17.099009						13	111															211	944196	17999	2347.7907	2083.4932	4.23e+07	32.10559	2.78e+07	0	4136.358	1151234	1518525	8_HMOX1	1	1	3	7.116667	1	1	5	.3302958	.6346741	1.157523	.7025232	-.4908544	-.1915416	.4477675					.9252446	1.639431	1.185158	1.307593	.8034983	1.504199													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G08	200910	1	XX026	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.502745						32	130															256	697287	18309	3991.875	3500.4052	7.31e+07	-11.47097	2.54e+07	0	4054.01	1122598	1391180	8_HMOX1	1	1	3	8.7	1	1	5	-.088585	.413163	.2381501	.5244005	.5244005	-1.310954	-.2501529					.2450062	-.0845939	1.909639	1.453563	1.605273	1.338533													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_C07	200910	1	XX014	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	13.829639						20	118															249	773956	20812	3461.3793	3067.0056	7.20e+07	-25.75149	3.45e+07	16	4217.863	1149948	1454987	8_HMOX1	1	1	3	7.95	1	1	5	.5933586	.5958401	.5585475	.8628221	.9518433		1.491606					-.0269563	.6309245	1.639431	1.909639	1.504199	1.726056													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F08	200910	1	XX025	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.406587						31	129	512456	8265	7295	17028	5522	62	8.208e+09	1	6007435	179909	181	275	191	136	157	784812	11783	3274.7667	2649.2012	3.86e+07	285.2759	1.09e+07	0	4108.319	1014648	1358222	8_HMOX1	1	1	3	8.633333	1	1	5	.2079166	-.1451209	.029494	-.4253408	-.5933586	1.055626	-.1553528					.1624294	.7752326	.5635893	.5308747	.6095368	.5735608	.0236496	.5462332	1.073562	1.672937	.8483799	.6020065	.6020065	.7824294	.2876889	1.505968	.2683089	.0710019	.5189816
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_A08	200910	1	XX020	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	17.483641						26	124	557376	8445	6793	13461	4944	66	7.342e+09	1	6757785	191962	173	310	197	121	171	748068	14262	2863.5182	2631.6111	4.08e+07	-105.0213	1.35e+07	0				8_HMOX1	1	1	3	8.35	1	1	5												1.011394	.3747248	.7377372	.8537231	.6839988	.7226751	.3624964	1.161883	1.37281	.8483799	.5462332	0	.1903223	1.161883	.6020065	1.260339	1.150349	.2387225	-.3624964
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F04	200910	1	NC861	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	3.0599503	.2382072	.50739251	.1361184	.6235328	1	30	30	517261	5562	4580	23467	8321	93	1.194e+10	1	6427157	192788	192	252	249	126	62	575958	4896	2378.713	2207.4813	1.16e+07	-84.65228	-5717404	4	3988.22	999409.8	1282512	8_HMOX1	1	1	1	6.083333	1	1	5	-.2381501	-.3101982	-.4578519	-.2079166	-.3147636	-.0317348	-1.491606	-1.993984	-.8801318	-1.4342	-.6508373	-2.550635	-.8138509	-.0704692	-.0563585	-.2752391	-.3067468	1.505968	.6597193	-.6020065	-.5462332	1.672937	1.37281	1.906358	.9182451	.6597193	2.34813	-.2186495	1.314496	-.0710019
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G03	200910	1	NC854	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.983534	.340296	.50739251	.2041776	1.2470656	1	23	23	516661	7949	7162	13728	3801	65	7.258e+09	1	4992034	176719	148	245	156	149	274	850095	22504	4104.3721	3492.9193	9.24e+07	109.9424	4.49e+07	0	4236.484	1228873	1476804	8_HMOX1	1	1	1	5.15	1	1	5	.6652629	1.851466	.8207921	-.4578519	1.281552	.6449072	.3472613	.313572	-.2494273	.1141853	-.6508373	.4455616	1.453563	2.123549	2.123549	2.095297	2.51073	.2631268	.6020065	.7824294	1.073562	.4921101	.0947312	-.5462332	.1423641	.1423641	.4134932	-.3186394	-1.161883	1.209645
