filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	wtKITAT1	inframeKITAT1	frameshiftKITAT1	wtKITAT5	inframeKITAT5	frameshiftKITAT5	gcg_dich	qRNA	WT_KITA	mutant_KITA	KITA_confirmed	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_A02	211007	1	NS344	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.48942598	0	.51057402	1	0	0	1	5		1	1	12.124933	.1361184	.25369626	.2722368	.6235328	1	9	9	157140	5419	4212	11131	3897	29	1.728e+09	2	1125033	56683	82	148	119	106	167	431902	12608	17120.504	14399.852	2.16e+08	-488.3179	-4.81e+07	6	3704.377	842606.2	1192311	95_GCG	1	1	1	3	1	1	5	-.3422765	-.6321747	-.2487277	.5244005	-.1800124	1.028805	1.085325	.6634502	-.5778279	-.1238823	.6515277	.2134373	-.8473045	-.7124431	-.6374841	-.6870306	-.5894558	-1.402673	-.8226373	.4389272	.0223825	-.2487277	.7613826	.8871465	-1.402673	-1.402673	-1.402673	-1.402673	-1.291794	-.1573107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_G05	211007	1	NS366	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.30523732	0	.69476268	1	0	0	1	5		1	1	8.8035147	.1020888	.07928008	.0680592	.4676496	1	31	31	148936	3546	3967	12101	4481	42	1.769e+09	1	2568020	106333	121	217	145	100	68	350310	6155	6132.102	5458.9981	3.77e+07	-967.9973	-2417786	4	3974.737	818515.9	1115285	95_GCG	1	1	1	4.816667	1	1	5	.390146	-1.017131	-.4887764	1.524945	.0671924	.7613826	1.173137	-.1238823	-1.586279	-1.331275	-1.88951	-.6856121	-1.980752	-1.754382	-1.593219	-1.754382	.0796597	-.295179	-1.028805	-.8871465	-.4389272	-.1573107	1.108011	1.699178	-.2028072	-.2028072	.2028072	-.2257079	-.3422765	-.5659488
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_A04	211007	1	NS357	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	0	0	1	1	0	0	1	5		1	1	8.2499451	.1020888	.14270414	.4083552	1.0132408	1	22	22															198	432046	14624	16597.926	14939.786	2.43e+08	-1645.513	-3.48e+07	217	3700.958	831794.8	1049699	95_GCG	1	1	1	4.116667	1	1	5	-.4389272	-.8095796	-.8226373	1.92248	.4887764	.5398714	-.7961826	-.1238823	.2863006	.777914	-.4784177	-.9304992	-.7916386	-.0796597	-.1598289	-.4526599	-.2410404													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_E02	211007	1	NS348	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.20551005	.1362621	.65822785	1	0	0	1	5		1	1	13.232072	.1361184		.4083552	1.2470656	1	13	13	335856	5089	5311	13134	4139	66	4.358e+09	1	3865628	137611	153	286	143	116	133	594098	10679	14347.04	11844.405	1.53e+08	-258.2119	-4.68e+07	29				95_GCG	1	1	1	3.35	1	1	5								.6634502	.7309843	.777914		.5778279	.409	-.9057289	-.8473045	-.9674216	-.5427505	1.345167	1.028805	.2487277	.8871465	2.368567	1.534121	1.194857	.7028602	.7613826	1.345167	1.534121	-.4144133	.3422765
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_E06	211007	1	NS372	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	1	0	0	1	5		1	20.982047	.1020888	.41225642	.340296	1.4029488	1	37	37	380862	5951	5594	7140	2123	64	2.714e+09	2	5062982	165111	147	208	194	147	257	955806	20077	20344.96	17408.44	4.08e+08	-800.0361	6.91e+07	13				95_GCG	1	1	1	5.225	1	1	5								-.1238823	.9580686	.2863006	1.186831	1.65172	1.754382	.7916386	.9674216	.3661064	.9057289	1.108011	1.930286	.7613826	1.194857	.5924169	-.5924169	-.8226373	1.402673	1.402673	1.028805	-.3661064	1.028805	1.699178
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_H06	211007	1	NS375	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.25448868	0	.74551132	1	0	0	1	5		1	1	18.435627	.1020888	.28540829	.4083552	1.4029488	1	40	40															234	591868	17443	20811.65	17284.499	3.63e+08	-187.6711	2.68e+07	50	4230.049	1004315	1391927	95_GCG	1	1	1	5.433333	1	1	5	1.028805	.3246387	.5398714	.137154	.7613826	.5924169	.9310033	-.1238823	.9580686	.777914	.7456442	1.527002	.3661064	.4972006	.409	.0796597	.4526599													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_A07	211007	1	NS376	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	1	0	0	1	5		1	22.974898	.1020888	1.014785	.4764144	2.338248	1	41	41	430995	5747	5295	6201	1638	75	2.705e+09	1	5706397	216272	145	283	221	129	179	870716	15812	31051.868	27085.464	4.91e+08	-1467.117	-9.06e+07	38	4348.786	1179317	1585068	95_GCG	1	1	1	5.516667	1	1	5	1.699178	1.392945	1.699178	.7478586	1.534121	1.699178	.0696849	-.1238823	2.455101	1.422333	2.012971	2.031014	1.357561	-.387464	.0796597	.6870306	-.9674216	1.930286	2.368567	.5398714	.7613826	.5398714	-.8871465	-1.194857	2.368567	2.368567	.9555776	1.402673	1.930286	.9915265
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_C03	211007	1	NS353	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	.28504399	.71495601	0	1	5		1	12.235647	.1020888	.11099211	.3062664	.4676496	1	18	18	237835	4663	3348	8182	2360	51	1.966e+09	2	5119415	127766	153	226	206	120	178	497990	14325	11687.454	9509.6954	1.67e+08	-173.6732	2.59e+07	82				95_GCG	1	1	1	3.783333	1	1	5								-.1238823	-1.586279	.0883765	-1.115337	.2497032	-.1196481	-.4748125	-.2410404	-.8473045	.409	.295179	.2028072	-.1121376	-1.108011	.0223825	-.2028072	-.7028602	1.534121	.4389272	1.345167	.0671924	1.534121	.6466521
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_A03	211007	1	NS351	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	.80106952	.19893048	0	1	5		1	10.021368	.1020888	.17441618	.2382072	.4676496	1	16	16	233065	5827	5953	15405	5228	40	3.570e+09	1	3623972	102371	138	219	152	105	173	451258	12786	24618.403	22036.62	3.15e+08	-1966.371	-1.40e+08	46	3830.941	864946.9	1098448	95_GCG	1	1	1	3.633333	1	1	5	-.0671924	-.2769504	-.5924169	.8095796	-.0671924	.9555776		-.1238823	-1.586279	-.3419422	-.1479871	-.3986639	-.4972006	-.5894558	-.5894558	-.1598289	-1.593219	-.5141561	.1573107	.5924169	1.699178	1.534121	2.368567	2.368567	.5924169	-.295179	.7613826	-.1573107	-.1800124	-.27188
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_G03	211007	1	NS356	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	.63283582	.36716418	0	1	5		1	10.132082	.1361184	.28540829	.2722368	.5455912	1	21	21	371050	6626	6855	8838	3059	56	3.463e+09	2	4382915	197370	153	247	201	129	101	382619	8175	13699.708	12854.099	1.12e+08	-2092.297	-1.13e+08	48				95_GCG	1	1	1	4.033333	1	1	5								.6634502	-1.045537	-.1238823	.7456442	-.3232857	-1.179761	-1.22064	-1.103428	-1.357561	-1.103428	.8226373	1.699178	1.534121	2.368567	1.402673	.1573107	.2487277	1.194857	1.930286	1.345167	.6466521	1.291794	.9915265
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_E05	211007	1	NS364	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	0	1	0	1	0	0	1	5		1	1	16.442776	.1361184	.66595267	.4423848	1.7147152	1	29	29	214032	3195	3224	5337	1727	67	1.073e+09	1	5249317	134648	170	221	184	153	210	531495	14725	26185.878	21854.499	3.86e+08	-184.8385	-6.50e+07	23				95_GCG	1	1	1	4.679166	1	1	5								.6634502	1.527002	1.141839	1.564726	1.331275	0	.0198952	-.1196481	.2410404	-.7383242	1.534121	-.1573107	-1.194857	-1.194857	-.8226373	-1.108011	-1.028805	1.930286	.6466521	2.368567	-.0223825	.7028602	1.930286
