filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	wtN214	inframeN214	frameshiftN214	wtN217	inframeN217	frameshiftN217	wtN220	inframeN220	frameshiftN220	glp1r_dich	qRNA	WT_KITA	mutant_KITA	KITA_confirmed	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_E01	210927	1	NR704	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.06602523	.54994846	.38402631	.04770596	.22346289	.72883115	.2137449	.15005824	.63619685	1	4		5	0	9.6615473	.2722368	.22198422	.4764144	.779416	1	5	5															184	483738	14992	12364.459	9610.6055	1.85e+08	926.718	1.36e+07	170	3968.856	839301.4	1182188	96_GLP1R	1	1	1	2.45	1	1	4	-.3593968	-.8353711	-.6607511	-1.205345	-.2669941	.9929082	-1.543098	-.4806444	.3543496	.8979152	.1548709	-.217107	-.6245627	-.0606815	.0606815	-.224227	.3940442													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_G01	210927	1	NR706	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.9456666	0	.0543334	.97767514	0	.02232486	1	0	0	0	1	1		0	18.038558	.510444	.61838462	.6465624	1.6367736	1	7	7															446	1143366	35633	23108.368	18790.969	8.23e+08	729.9047	4.34e+08	9	4913.171	1412847	1897748	96_GLP1R	1	1	1	2.6	1	1	4	2.375107	2.375107	2.375107	1.937932	2.375107	1.073562	2.375107	.8979152	2.423196	2.423196	1.993984	1.76167	1.973953	1.973953	2.405983	2.405983	2.405983													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_E03	210927	1	NR719	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.93038646	.03596868	.03364486	.95166543	.04833457	0	1	0	0	0	1	1		0	13.372881	.340296	.36468837	.5785032	1.169124	1	20	20	264485	5290	4659	4210	1318	50	1.090e+09	1	3160006	123377	133	201	174	113	29	615038	2048	14668.972	12956.827	3.00e+07	-756.6371	-2.21e+08	21	4429.719	1144295	1637062	96_GLP1R	1	1	1	3.633333	1	1	4	1.301807	1.543098	1.707553	.6069868	.7745655	0	1.707553	0	1.326678	1.608653	1.281552	.650104	.1829481	-2.405983	-2.405983	-1.746955	-1.973953	-.3539128	-.7607465	-.8340455	-.5614833	-1.19001	-1.853367	-1.853367	-.5614833	-.6250856	-.0533578	-.9962083	-.0533578	-.1337288
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_B03	210927	1	NR717	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10				.02101515	.72278852	.25619633	0	.2470096	.7529904	1	4		5	0	13.478919	.170148	.3964004	.3743256	1.169124	1	18	18	216806	4713	4011	9569	4115	46	2.061e+09	1	3003734	119258	124	236	167	100	82	509060	6455	16821.196	12711.797	1.09e+08	1687.601	-1.37e+08	42	4142.859	950945.1	1312658	96_GLP1R	1	1	1	3.466667	1	1	4	.5549229	0	-.0880656	-.2216821	-.7164975	.7824294	.5043221	-1.19838	1.326678	.1744161	1.481544	.6992833	-.5761465	-1.254453	-1.170163	-.779842	-1.456837	-.6913244	-.9962083	-.9962083	-1.087999	-.6913244	.0533578	.9962083	-.6250856	-.8340455	-.4405008	-.1337288	-.4113021	-.8340455
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_C03	210927	1	NR718	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10				0	.41660137	.58339863	0	.35013791	.64986209	1	4		5	0	9.6615473	.1361184	.20612821	.2382072	.5455912	1	19	19	165484	6365	5372	9863	3066	26	1.860e+09	1	1409934	66223	103	171	118	82	127	288844	9494	21599.523	18320.567	2.05e+08	-218.3377	-1.73e+08	54	3759.2	775838.3	1046409	96_GLP1R	1	1	1	3.533333	1	1	4	-1.205345	-1.543098	-1.707553	-.3593968	-1.937932	-1.672937	-.7164975	-1.608653	-.5244005	-.7363159	-.0578776	-.217107	-1.973953	-.6245627	-.726158	-.0606815	-1.746955	-1.443299	-1.443299	.1606864	.1606864	-.7607465	.325661	.0533578	-1.614666	-1.614666	-1.443299	-1.614666	-1.614666	-1.614666
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_D02	210927	1	NR711	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.13132675	.5670118	.30166145	.01457856	.50234598	.48307546	.18441845	.13953343	.67604812	1	4		5	0	7.4347469	.2722368	.14270414	.4764144	.6235328	1	12	12	273547	5699	4110	13922	4982	48	3.860e+09	2	3205615	121638	112	257	147	117	176	384288	13048	16626.522	14209.294	2.17e+08	-291.7182	-6.37e+07	50	3798.432	834232.2	1123630	96_GLP1R	1	1	1	3	1	1	4	-1.118958	-.9674216	-.8994349	.4067242	-1.412188	1.161883	.6069868	-.4806444	-.2334853	.8979152	-1.281552	-.6992833	-1.456837	-.1419788	-.3507093	.0606815	-.6245627	-.5305297	-.6250856	-.325661	-.9121265	.5000764	1.306186	1.443299	-.4405008	-.7607465	-.7968608	.2149745	-.7607465	.1337288
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_C02	210927	1	NR710	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.00617023	.72321699	.27061279	0	.29759704	.70240296	0	.28094359	.71905641	1	4		5	0	8.1770137	.340296	.15856016	.2722368	.779416	1	11	11	79632	5309	3268	3472	985	15	3.002e+08	1	893088	38182	73	162	108	60	151	433226	11551	16367.84	12965.711	1.89e+08	931.6431	-6.21e+07	9	3853.985	824691.8	1135383	96_GLP1R	1	1	1	2.933333	1	1	4	-.8353711	-1.118958	-.7745655	.0880656	-1.205345	-.0947312	.2216821	0	.3543496	-.5244005	-.9271548	-.5109658	-1.254453	-.4830894	-.4381324	-.1829481	-.5761465	-1.853367	-1.853367	-.7607465	-1.853367	-2.30304	-2.30304	-2.30304	-1.853367	-1.853367	-1.853367	-1.853367	-2.30304	-2.30304
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_F03	210927	1	NR720	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.90848938	.0394845	.05202612	.9426525	.0573475	0	.97976583	.02023417	0	0	1	1		0	13.690996	.3743256	.17441618	.3743256	.7014744	1	21	21	191056	3980	3522	5203	2090	48	9.707e+08	2	2553221	108076	124	176	173	103	66	582544	6087	13780.636	10813.826	8.39e+07	908.9548	-1.16e+08	24				96_GLP1R	1	1	1	3.716667	1	1	4								.2334853	.019283	.1744161	-.5920066	.7502154	-.224227	-1.348744	-1.348744	-.9567178	-1.348744	-.5305297	-1.087999	-1.853367	-1.614666	-1.443299	-1.306186	-1.087999	-.9962083	-1.087999	-.4405008	-1.443299	-.1606864	-.7607465
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_H02	210927	1	NR715	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	.48792289	.51207711	.04096863	.0997007	.85933066	0	.23314295	.73037252	1	4		5	0	14.221186	.4764144	.23784024	.2722368	.6235328	1	16	16	317406	5473	5683	10317	3529	58	3.363e+09	1	5733219	166417	180	314	198	110	137	684624	9712	16627.259	13177.384	1.61e+08	938.7997	-9.47e+07	62	4070.417	988957.2	1394544	96_GLP1R	1	1	1	3.316667	1	1	4	.2216821	.4067242	.4067242	-.7745655	.0880656	.5462332	-.3128614	.7112601	-.2334853	-.5244005	.313572	.9165567	.726158	-.529045	-.6744897	-.3080234	-1.022696	.2149745	-.0533578	-.6250856	.5000764	.1606864	.5000764	.5000764	1.087999	.5614833	1.853367	1.245996	.8340455	-.3824499
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_A03	210927	1	NR716	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10				.00275209	.48405493	.51319299	0	.18483318	.72094871	1	4		5	0	12.948729	.340296	.84036885	.340296	.5455912	1	17	17	291253	4698	4292	9743	2641	62	3.055e+09	1	3652651	136348	145	227	160	123	33	533372	2848	11287.04	9863.3435	3.21e+07	-451.9016	-1.46e+08	93	4043.617	1001967	1402544	96_GLP1R	1	1	1	3.383333	1	1	4	.1323128	.5043221	.5043221	.3593968	-.3128614		.6607511	0	-.5244005	-.1159498	2.423196	.5109658	-.3507093	-1.973953	-1.973953	-1.585278	-1.585278	.5000764	-.4405008	-1.087999	-.7607465	-.1068681	.1606864	-.2699041	-.1068681	-.1606864	.6913244	-.3824499	-.6250856	.47008
