filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	wtKITAT1	inframeKITAT1	frameshiftKITAT1	wtKITAT5	inframeKITAT5	frameshiftKITAT5	slc5a2_dich	qRNA	WT_KITA	mutant_KITA	KITA_confirmed	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_E08	211004	1	NS581	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	.26070935	.18102257	.55826808	1	0	0	1	4		1	1	11.656462	0	.36468837	.340296	1.0911824	1	43	92															258	557458	17076	22518.456	19071.576	3.85e+08	-399.6364	-5361803	14	3863.611	921426.7	1265734	97_SLC5A2	1	1	1	4.483333	1	1	5	-.5283993	-.264147	-.264147	-.9674216	.3003779	-1.29875	-.017408	-2.527302	.0720919	-.0288158	.7603275	-.5780677	-.4138112	.5894558	.1867561	.5173122	-.2822162													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_B06	211004	1	NS565	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	1	0	0	0	.52918187	.47081813	0	1	5		1	7.2590774	.2041776	.17441618	.4083552	1.0911824	1	27	76	333298	6802	6301	11666	3354	49	3.854e+09	1	10229	2336	25	35	24	22	117	344994	9641	5828.3146	4884.2438	5.62e+07	-42.58752	2.34e+07		3706.728	829133	1097655	97_SLC5A2	1	1	1	3.05	1	1	5	-.9956002	-1.054472	-1.054472		-1.429788	-2.434185	-1.815517	1.230818	.0720919	.3072926	-.2839215	-1.748025	-1.868242	-1.128144	-.9674216	-2.085356	.1553528	-.4079188	-.1891184	.4537622	.7009514	.7009514	1.330562	.7009514	-1.959964	-1.959964	-1.959964	-1.959964	-1.959964	-1.959964
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_G05	211004	1	NS562	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	.09849549	.25631896	.64518556	1	0	0	1	4		1	1	13.331657	.1020888	.3964004	.4764144	1.6367736	1	24	73	350090	7957	5675	10671	3614	44	3.706e+09	1	3377528	129401	132	225	183	100	231	584676	15519	20267.243	17372.257	3.15e+08	-608.9849	-3.26e+07	24	4049.456	999215.4	1375747	97_SLC5A2	1	1	1	2.8	1	1	5	-.0871459	-.017408	-.017408	.0363359	.6965074	1.497249	.3003779	-.6835603	.7018726	.7392254	.9064346	-.3224307	-.3472613	.1710334	-.2183448	.1241019	-.7856053	-.9345893	-.0208901	1.23544	.1046335	.5005801	1.072861	1.072861	-.3629173	-.5977601	-.0836517	-.5005801	.1046335	-1.150349
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_F08	211004	1	NS582	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	.14131786	0	.85868214	1	0	0	1	4		1	1	13.855155	.1020888	.36468837	.0340296	1.558832	1	44	93	345546	6520	5013	10731	3620	53	3.785e+09	1	3681658	132109	105	226	197	156	290	655625	23463	15706.629	12702.768	3.69e+08	441.1577	1.39e+08	76				97_SLC5A2	1	1	1	4.566667	1	1	5								-.6835603	.6124654	-1.818646	.7603275	-.2474013	-.030951	.8284646	1.128144	.4138112	1.071487	-.146745	-.1046335	.3186394	-.4537622	.6484922	1.23544	1.150349	-.2318344	-.4537622	-1.191816	-.4307273	.3186394	1.330562
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_F05	211004	1	NS561	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	1	0	0	0	.70967742	.29032258	0	1	5		1	17.624342	.170148	.85622486	.510444	2.2603064	1	23	72																							34	4682.659	1320015	1742904	97_SLC5A2	1	1	1	2.716667	1	1	5	1.815517	1.658472	2.036834	1.31531	2.036834	.1502124	-.0522452	.5951785	1.364489	1.116127	1.88951	.352934																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_B07	211004	1	NS571	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	.10913706	.13282572	.75803723	1	0	0	1	4		1	1	17.938441	.2041776	.25369626	.2382072	1.0132408	1	33	82	525598	7617	5878	7227	2197	69	3.865e+09	1	5257400	205099	148	224	204	153	310	828753	21519	21174.764	17958.175	4.56e+08	-405.4901	9.38e+07	51	4412.331	1107839	1538802	97_SLC5A2	1	1	1	3.616667	1	1	5	.9399909	.6527943	.9399909	.145827	1.117247	.0374211	1.534121	1.230818	-.0720919	-.5277092	.4092545	.414974	.9674216	1.128144	.7856053	.6648088	.7856053	.5244005	.9345893	1.072861	.2318344	.755415	-.1891184	-.4537622	.5005801	.5485223	.4307273	-.5729675	.5005801	1.23544
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_E07	211004	1	NS574	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	0	1	0	1	0	0	1	4		1	1	15.425649	.1361184		.2382072	1.169124	1	36	85	350993	5014	4267	5651	1736	70	1.998e+09	1	5100990	184578	153	277	172	128	182	617652	13616	22025.554	16668.198	3.00e+08	1995.307	-2.95e+07	10	4396.113	1615588	1148976	97_SLC5A2	1	1	1	3.933333	1	1	5	.8366706	2.036834	-.9399909		-2.460124	-1.141333	-2.460124	-.0288158	.2030698	-.5277092		.0288158	-.1241019	-.4138112	-.4477675	-.0619316	-.6266873	.5977601	.0208901	-.871771	-1.110772	-.6484922	-1.150349	-1.150349	.4079188	.3629173	.755415	.4307273	-.4079188	.1256613
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_G08	211004	1	NS583	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	.97165227	.01106911	.01727862	0	.63645553	.36354447	0	1	5		1	16.472646	.1361184	.68180869	.4423848	1.7147152	1	45	94															168	842470	11564	21546.683	20066.519	2.49e+08	-2566.912	-1.66e+08	54	4594.39	1246952	1644434	97_SLC5A2	1	1	1	4.65	1	1	5	1.658472	1.534121	1.534121	.6631314	2.460124		-.9399909	-.0288158	.8172368	.4465882	1.516426	.1737411	1.128144	-.5173122	-.7039218	-.3145723	-1.593219													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_D07	211004	1	NS573	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	1	0	0	0	0	1	0	1	5		1	16.577346	.2041776	.36468837	.3743256	1.3250072	1	35	84	567680	7569	7341	14421	4785	75	8.765e+09	1	5925487	219284	146	297	216	141	283	733979	19785	15399.022	13225.622	3.05e+08	-494.6988	6.19e+07	2	4442.591	1183115	1597001	97_SLC5A2	1	1	1	3.75	1	1	5	1.054472	.9956002	1.258162	.9674216	1.658472	.9476973	-.3370077	1.230818	.3683079	.1883852	.7603275	.2325743	.3803256	.7039218	.6266873	0	.4822482	.8122178	1.072861	1.001331	1.56892	2.39398	2.39398	2.39398	.5977601	.871771	.2533471	.7009514	.871771	.6484922
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SLC5A2_211004_F07	211004	1	NS575	insH2Bfabp	CD15	SLC5A2	1	0	0	2	1	10	.35910142	0	.64089858	1	0	0	1	4		1	1	17.519642	.170148	.82451283	.1361184	1.3250072	1	37	86	463597	5654	5927	4990	1822	82	2.302e+09	1	8862292	273040	194	348	210	145	233	740064	16946	16534.441	13887.399	2.80e+08	-154.4573	2.08e+07	18	4108.569	1124377	1503242	97_SLC5A2	1	1	1	4.016667	1	1	5	.017408	.8366706	.6527943	1.027154	.9399909	-1.623523	1.184763	.5951785	.3683079	-.9223964	1.737194	.3224307	.4138112	.2342192	.0619316	-.1553528	.0929718	1.191816	.5977601	-.5485223	.4537622	-.5005801	-1.23544	-1.072861	1.56892	1.439531	1.959964	1.959964	.755415	1.001331
