filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	glo1_nwt	glo1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E03	200914	1	NC473	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	10.06083	.2041776	.36468837	.3743256	.389708	1	17	17															9	597226	736	2160.5462	1999.5407	1590162	-51.80561	-7785940	16	3616.409	919677.1	1214802	9_GLO1	1	1	1	4.65	1	1	4	-1.243523	-1.0467	-.9011259	-.0436074	-1.456338	.181652	1.015779	-.8727259	-1.534121	.1079158	-.5447325	-1.477525	-1.626828	-.6450915	-.5878935	-1.191816	-.4460577													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C03	200914	1	NC471	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2		.2041776	.25369626	.170148	.5455912	1	15	15																							0	3405.432	907534.8	1137088	9_GLO1	1	1	1	4.516667	1	1	4	-2.02629	-1.179761	-1.397068	0	-1.075723	1.166919	.3157235	-.8727259	-1.229859	-1.06018	-1.229859																			
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_G01	200914	1	NC462	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	18.896333	.2382072	.44396845	.4083552	1.4029488	1	6	6															8	436612	496	1760.3669	1959.5876	873142	-401.3831	-7641866	0	3740.627	980149.6	1157649	9_GLO1	1	1	1	3.683333	1	1	4	-.8694237	-.6374841	-1.291353	.1752674	-.1722413	-.4682027	-2.617812	-.5221549	-.8871465	.3601299	.0195843	.305888	-1.838167	-.7351237	-.7044829	-1.459439	-.4154975													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_G05	200914	1	NC488	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	16.498125	.2722368	.45982446	.3062664	2.6500144	1	32	32	345891	5863	5264	7853	2524	59	2.691e+09	1	4449157	150185	129	268	173	134	0	966344	0		2155.0407				31	4410.712	1190024	1513276	9_GLO1	1	1	1	6.183333	1	1	4	.9011259	.3917566	.2159075	2.019086	.5894558	.8976552	-.4840948	-.2675282	-.2070927	-.3186394	.0784124	-.1560812	1.343082	-1.436207	-1.436207			-.404226	-.568394	-.3727933	-.1610005	-.7115489	-.1906023	-.2503385	-.5011308	-.6029956	-.7887937	-.2203721	-.6029956	.0437342
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C04	200914	1	NC479	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	15.235911	.2041776	.66595267	.340296	2.0264816	1	23	23	524161	7823	6804	8009	2446	67	4.505e+09	1	5312543	201752	144	277	183	141	200	853588	16495	3207.0827	2804.007	5.29e+07	-24.1474	2.62e+07	0	4495.889	1241614	1611566	9_GLO1	1	1	1	5.083333	1	1	4	1.155555	.7593904	.72234	.9908903	.6151411	-.4183713	.6400749	-.8727259	-.4998403	-.1276354	.8871465	-.5177236	.532558	1.722905	1.722905	1.382994	1.644854	.0875522	.568394	1.164587	1.435436	.7887937	-.1021915	-.3109825	-.0437342	.1610005	-.0875522	.1021915	-.3572158	.5513477
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E08	200914	1	NC506	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	15.362132	.3062664	.26955227	.1361184	1.169124	1	1	50	397547	7795	5919	11340	3318	51	4.376e+09	1	4888277	170430	126	271	237	136	1	847122	16	2019.625	1795.8734	32314	65.22331	-4954230	0	4377.446	1162688	1535153	9_GLO1	1	1	2	8.05	1	1	4	.6677808	.2656923	.3271033	.7091025	.2710861	-.2743915	.0665969	-.1375134	-1.043158	-1.417797	-1.06018	-.473777	.452452	-.9549111	-.9929082	-2.539185	-.1256613	-.6383348	-.2503385	1.108973	.5344601	.568394	1.164587	.7115489	-.1315391	-.3109825	-.8499573	-.0729317	1.136341	.1757821
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E06	200914	1	NC492	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	12.206595	.340296	.25369626	.340296	1.94854	1	36	36															0	917763	0		2566.0346				6	3638.844	931610.1	1241314	9_GLO1	1	1	1	6.5	1	1	4	-1.075723	-.7916386	-.8084989	-.8891675	-1.342336	1.261282	.2694146	-.0293788	-.5907506	-.1276354	-1.229859	-1.06512	1.052756	-1.436207	-1.436207															
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C02	200914	1	NC465	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	.9827221	1	2	12.837703	.2041776	.38054438	.3062664	.389708	1	9	9	442768	6918	6075	13742	4984	64	5.811e+09	1	4591001	171903	137	258	164	136									0	3703.027	928664.3	1167339	9_GLO1	1	1	1	3.9	1	1	4	-.9674216	-.9299809	-1.243523	-.3330051	-.3957253	1.744448	-.7240638	-.8727259	-1.534121	-.3186394	-.4128896	-.9071243						-.1021915	.0729317	.404226	.6744897	1.358142	1.742647	1.894644	-.3417246	-.2805315	-.5344601	-.3727933	-.7887937	.1757821
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_A09	200914	1	NC509	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	18.517669	.340296	.4915365	.4083552	3.507372	1	4	53	453268	5596	4771	6096	1784	81	2.816e+09	1	6279390	215121	155	321	184	149	0	880862	0		2133.1796				19				9_GLO1	1	1	2	8.291666	1	1	4								-.0293788	.0293788	.3601299	.167232	.2553541	.8315547	-1.436207	-1.436207			.6744897	.1315391	-.6029956	-.4683492	-.5344601	-.7887937	-1.224058	.3417246	.5011308	.4846749	.7496121	-.2957227	1.006961
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_C02	200914	2	NC523	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	15.219028	.2041776	.68180869	.3743256	3.7411968	1	18	67															106	792326	7127	3675.1583	2956.8179	2.62e+07	250.3891	-3815053	0	4244.393	1110575	1524880	9_GLO1	1	1	2	9.383333	1	1	4	.1289011	.0956362	.2599896	-.2872603	-.3271033	-1.166919	-.4593015	-.8727259	.1375134	.1079158	1.00999	-.5513477	-.011824	.452452	.2753871	.2677537	-.0139262													
