index	filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	assay_jitter	time_jitter	sirt1_dich	intgluc
SIRT1_504	20240516_GGTassay_7dpf_SIRT1_fasted_plate06_H05	0	2	plate06	fasted	5	H	O18	184500	178800	181650	2.218832	NA	172693.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	5.198604	14.76876	O	18	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	181650	5700	.9691057	89	2.128	3.51	1	.7773429
SIRT1_421	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_E07	0	2	plate05	fasted	7	E	I07	118400	120200	119300	1.066884	NA	110343.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	3.352009	9.522752	I	7	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	119300	1800	1.015203	63	2.076	2.47	1	.0027246
SIRT1_071	20240516_GGTassay_7dpf_SIRT1_fasted_plate01_G09	0	2	plate01	fasted	9	G	M09	38170	36570	37370	3.027484	NA	30773.75	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	.8297557	2.35726	M	9	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	37370	1600	.9580823	91	1.132	3.59	1	-2.258523
SIRT1_098	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_B01	0	2	plate02	fasted	1	B	C14	175300	179200	177250	1.555834	NA	170653.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	4.821543	13.69757	C	14	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	177250	3900	1.022248	37	1.024	1.43	1	.6174219
SIRT1_423	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_G07	0	2	plate05	fasted	7	G	M07	165800	174900	170350	3.777324	NA	161393.2	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	4.863936	13.818	M	7	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	170350	9100	1.054885	90	2.13	3.55	1	.6373252
SIRT1_429	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_E08	0	1	plate05	fasted	8	E	I08	60140	55060	57600	6.236289	NA	48643.17	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	1.524664	4.331431	I	8	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	57600	5080	.9155304	75	2.1	2.95	0	-1.439531
SIRT1_420	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_D07	0	2	plate05	fasted	7	D	G07	83370	83930	83650	.4733769	NA	74693.16	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	2.296176	6.523228	G	7	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	83650	560	1.006717	9	1.968	.31	1	-.7699925
SIRT1_427	20240516_GGTassay_7dpf_SIRT1_fasted_plate05_C08	0	1	plate05	fasted	8	C	E08	68540	68630	68585	.0927894	NA	59628.17	.9970179	y = 33764.8363388985 * x + ( -2836.85115240107 )	-2836.851	33764.84	8956.833	1698500	1.850002	5.255688	E	8	20241004_gluGLO_SIRT1-02	2	20240516	GGTassay	SIRT1	fasted	1	7	68585	90	1.001313	71	2.092	2.79	0	-1.182628
SIRT1_209	20240516_GGTassay_7dpf_SIRT1_fasted_plate03_A03	0	2	plate03	fasted	3	A	B03	125400	121800	123600	2.059534	NA	117003.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.290521	9.34807	B	3	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	123600	3600	.9712918	71	1.092	2.79	1	-.0517905
SIRT1_099	20240516_GGTassay_7dpf_SIRT1_fasted_plate02_C01	0	2	plate02	fasted	1	C	E14	122800	123400	123100	.3446499	NA	116503.8	.9966736	y = 35041.9482854681 * x + ( 1697.49581175753 )	1697.496	35041.95	6596.25	1756625	3.276252	9.307534	E	14	20240920_gluGLO_SIRT1-01	1	20240516	GGTassay	SIRT1	fasted	1	7	123100	600	1.004886	1	.952	-.01	1	-.0681677
